
[00:00:00.000 --> 00:00:03.000]  多謝施這麼好的師哥
[00:00:03.000 --> 00:00:05.000]  在有需要的地方
[00:00:05.000 --> 00:00:08.000]  我們送出我們的愛 我們的關懷
[00:00:08.000 --> 00:00:10.000]  我們的光明
[00:00:10.000 --> 00:00:12.000]  這個也是我們生命裏面一個
[00:00:12.000 --> 00:00:15.000]  很重要的訊息 也是我們的使命
[00:00:15.000 --> 00:00:18.000]  今天我們講的聖經其實和這個有關
[00:00:18.000 --> 00:00:21.000]  我們打開剛才我們所讀的那段聖經
[00:00:21.000 --> 00:00:23.000]  提摩太前書第六章
[00:00:23.000 --> 00:00:25.000]  如果大家用唐用聖經
[00:00:25.000 --> 00:00:30.000]  是大家聖經裏面的1793頁
[00:00:30.000 --> 00:00:32.000]  1793
[00:00:32.000 --> 00:00:34.000]  提摩太前書第六章
[00:00:34.000 --> 00:00:36.000]  我們剛才讀了幾節的聖經
[00:00:36.000 --> 00:00:38.000]  但是很精彩的 也是很深刻的意思
[00:00:38.000 --> 00:00:40.000]  第六節至第十節
[00:00:40.000 --> 00:00:43.000]  然後我們十七節又讀完第十九節
[00:00:43.000 --> 00:00:45.000]  我們今天的題目就是
[00:00:45.000 --> 00:00:46.000]  師比壽更為有福
[00:00:46.000 --> 00:00:48.000]  但是其實大家可能知道
[00:00:48.000 --> 00:00:50.000]  其實這幾個星期我們一直下去
[00:00:50.000 --> 00:00:52.000]  都要講一個主題
[00:00:52.000 --> 00:00:55.000]  這個主題就是講我們北宣家的
[00:00:55.000 --> 00:00:57.000]  屬靈傳統
[00:00:57.000 --> 00:01:00.000]  我們今年六十週年
[00:01:00.000 --> 00:01:02.000]  我們就要回顧一下
[00:01:02.000 --> 00:01:05.000]  我們再提醒我們每一個北宣家的弟兄姊妹
[00:01:05.000 --> 00:01:07.000]  我們北宣家這六十年裏面
[00:01:07.000 --> 00:01:09.000]  我們有屬靈的傳統
[00:01:09.000 --> 00:01:12.000]  屬靈傳統的講法就比較傳統
[00:01:12.000 --> 00:01:19.000]  電視機的講法就叫做
[00:01:19.000 --> 00:01:21.000]  核心價值
[00:01:22.000 --> 00:01:25.000]  我們北宣家有屬靈的核心價值
[00:01:25.000 --> 00:01:27.000]  今天我們講一個核心價值
[00:01:27.000 --> 00:01:29.000]  下個星期我們又講一個核心價值
[00:01:29.000 --> 00:01:30.000]  一路講下去
[00:01:30.000 --> 00:01:31.000]  今天這個核心價值
[00:01:31.000 --> 00:01:33.000]  剛才你讀了聖經你會看到
