
[00:00:00.000 --> 00:00:18.000]  字幕:MGNMT, 加拿大遠東廣播製作。
[00:00:18.000 --> 00:00:32.000]  親愛的弟兄,親愛的姐妹,你好!
[00:00:32.000 --> 00:00:38.000]  我們在這個末世風雲的課程當中,我們已經進入他的第五課了。
[00:00:38.000 --> 00:00:46.000]  上一次第四課裡面我們講到七人之災,這個是第一次的在啟示錄裡面的災難,
[00:00:46.000 --> 00:00:55.000]  就是第一期的災難,而他第一期的災難當中,第一個環節的災難就是那個四馬之刃。
[00:00:55.000 --> 00:01:07.000]  我們上一次用第四課來專心研討這個四馬之刃的時候,我不知道你印象當中還有沒有什麼可以遺留在你的腦海裡面。
[00:01:07.000 --> 00:01:16.000]  我講這個課程的主要原因,其實是希望你能夠對照一下現在我們社會裡面所發生的事。
[00:01:16.000 --> 00:01:27.000]  比如說最近所發生的金融風暴,最近所發生的很多地震,最近所發生的很多瘟疫的災難等等。
[00:01:27.000 --> 00:01:32.000]  不是說從前沒有,但是現在好像越來越重要。
[00:01:32.000 --> 00:01:37.000]  這一切的事一再警告我們,主耶穌回來的日子很近了。
[00:01:37.000 --> 00:01:46.000]  在七人之災最開始的時候,我們現在已經好像已經開始碰到一些跡象,
[00:01:46.000 --> 00:01:49.000]  跟我們現在的世代是相似的時候。
[00:01:49.000 --> 00:01:55.000]  那你說我們是來到這個世界的哪一個時間,哪一個地點?
[00:01:55.000 --> 00:02:06.000]  我只能夠在這個時候再一次提醒我自己和提醒你,我想我們是差不多要開始啟示錄裡面的七年的災難了。
[00:02:06.000 --> 00:02:18.000]  既然是這樣的時候,就是說教會很接近它被提的時候,教會的職責,教會的見證已經超過了2000年了。
[00:02:18.000 --> 00:02:24.000]  在這個2000年裡面,教會已經應該盡了它應該做的事,是不是呢?
[00:02:24.000 --> 00:02:30.000]  我們是這麼相信,我們也相信神是這樣的來的,來印代。
[00:02:30.000 --> 00:02:36.000]  既然是接近的時候,那我們對於現在我們所身處的環境,
[00:02:36.000 --> 00:02:42.000]  以及我們所做的基督徒的本份,我們又應該採取一個什麼樣的態度呢?
[00:02:42.000 --> 00:02:48.000]  我不是說要求你好像有一些人一樣,賣光所有的東西走去深山裡面居住,
[00:02:48.000 --> 00:02:53.000]  或者是換光白衣服準備被提,不一定是這樣。
[00:02:53.000 --> 00:03:00.000]  我不敢說別人所做的是什麼,但是我只不過是希望你有一個很清晰的頭腦,
[00:03:00.000 --> 00:03:06.000]  上上在聖靈的帶領下面,來看到這些功課而已。
[00:03:06.000 --> 00:03:15.000]  今天我們進入第五課,第五課是一個題目,那個題目是說到神的永恆計劃,
[00:03:15.000 --> 00:03:20.000]  所用的經文是什麼呢?就是將全本聖經來使用了。
[00:03:20.000 --> 00:03:25.000]  在這個課程裡面,我覺得是非常重要的,
[00:03:25.000 --> 00:03:31.000]  因為我們能夠站在人的立場裡面,靠著神的靈的幫助,
[00:03:31.000 --> 00:03:38.000]  能夠稍微窺探一下神在這個世代裡面,祂要做一些什麼的事,
[00:03:38.000 --> 00:03:44.000]  以及祂在人類的歷史裡面,祂到底是怎麼分開各方面的歷史的。
[00:03:44.000 --> 00:03:50.000]  什麼叫做神的永恆計劃呢?當然我們不是說代神在這裡說什麼話,
[00:03:50.000 --> 00:03:58.000]  但是當我們思想這一方面的問題的時候,特別是當我們將整本的聖經打開來看一看的時候,
[00:03:58.000 --> 00:04:06.000]  就知道我們自己現在身處的地位,就可以體貼神的心意,而努力的來服侍祂了。
[00:04:06.000 --> 00:04:15.000]  另外一方面,我們這個課程,我很想用人類歷史裡面的時代來做一個背景,
[00:04:15.000 --> 00:04:20.000]  有人稱它為時代論,我不管它是什麼論也好,
[00:04:20.000 --> 00:04:28.000]  但是我覺得如果將它分為時代來分析的時候,好像是容易明白一點,
[00:04:28.000 --> 00:04:35.000]  以及是每一個時期都能夠吸收,那豈不是可以被使用的一個辦法呢?
[00:04:35.000 --> 00:04:45.000]  無論現在的人對時代論怎麼看,我不需要怎麼理會了,除非它是異端邪說,否則我就可以這樣用法。
[00:04:45.000 --> 00:04:51.000]  今天我們知道時代論實在是仍然可以被使用的,既然是這樣的時候,
[00:04:51.000 --> 00:04:56.000]  我就在今天這個課程裡面,將這個課程分為五個時期,
[00:04:56.000 --> 00:05:04.000]  希望你能夠跟我一起按照這五個時期來仔細地學習,來吸收。
[00:05:04.000 --> 00:05:12.000]  第一個時期,我就用了整本聖經,用了整本聖經的哪一個部分呢?
[00:05:12.000 --> 00:05:23.000]  第一個時期,我是用《創世紀》這個地方,這個地方是特別講到亞當到阿伯拉罕這個時期,
[00:05:23.000 --> 00:05:30.000]  這個時期大概人類在這個地球上生存開始的時期,
[00:05:30.000 --> 00:05:40.000]  它的年日大概有2000年,當時人類的活動是以宗族為主的,
[00:05:40.000 --> 00:05:50.000]  於是有人稱它為族長時期,我們看到當時好像那個國家的體系都還沒有很明顯,
[00:05:50.000 --> 00:05:57.000]  只不過是有一些部長或者族長,他們來掌管一切,所以我們叫它做族長時期。
[00:05:57.000 --> 00:06:03.000]  而這個時期當中最特別的一個特點,我一定要你知道的,
[00:06:03.000 --> 00:06:15.000]  就是神一定在一直在人類的歷史裡面,尋找一個人或者一些人與他自己同行的,
