
[00:00:00.000 --> 00:00:06.760]  多謝教會的邀請 第一次來到大家當中
[00:00:06.760 --> 00:00:10.880]  首先抱歉 第一還有點感冒
[00:00:10.880 --> 00:00:13.760]  所以如果覺得我的聲音很性感
[00:00:13.760 --> 00:00:17.040]  或者一會兒有些咳嗽 請大家包涵
[00:00:17.040 --> 00:00:20.240]  第二樣東西請這邊的弟兄姐妹包涵
[00:00:20.240 --> 00:00:22.640]  我知道實際上的需要
[00:00:22.640 --> 00:00:25.440]  不過現在越來越多教會是要這樣講的
[00:00:25.440 --> 00:00:26.800]  我開始頭暈了
[00:00:26.800 --> 00:00:29.840]  所以沒什麼望你們 請你們多多包涵
[00:00:29.840 --> 00:00:37.520]  今天我想和大家分享的一段經文是來自詩篇第二篇
[00:00:37.520 --> 00:00:40.800]  請大家首先打開聖經
[00:00:40.800 --> 00:00:44.400]  無論是紙的聖經 或者你的手機
[00:00:44.400 --> 00:00:48.080]  和合盤 大家都用第幾多頁
[00:00:48.080 --> 00:00:50.400]  詩篇第二篇 有誰找到可以說一說
[00:00:50.400 --> 00:00:56.720]  659頁 舊約659頁 詩篇第二篇
[00:00:56.720 --> 00:01:01.840]  我們一會兒講到的時候 請大家繼續打開這篇詩篇
[00:01:01.840 --> 00:01:11.440]  12節不是很長 我們一起讀完12節的經文
[00:01:11.440 --> 00:01:14.000]  第二章第一節開始
[00:01:14.000 --> 00:01:20.400]  外邦為什麼爭鬧 萬民為什麼謀算虛妄的事
[00:01:20.400 --> 00:01:25.840]  世上的君王一起起來 神在一同相議
[00:01:25.840 --> 00:01:30.320]  要抵擋耶和華並他的受高者說
[00:01:30.320 --> 00:01:35.840]  我們要掙開他們的捆綁 脫去他們的繩索
[00:01:35.840 --> 00:01:39.280]  那坐在天上的必發笑
[00:01:39.280 --> 00:01:41.680]  主必癡笑他們
[00:01:41.680 --> 00:01:45.440]  那時他要在怒中責備他們
[00:01:45.440 --> 00:01:49.520]  在憐怒中驚嚇他們 說
[00:01:49.520 --> 00:01:54.480]  我已經立我的君在石案我的聖山上了
[00:01:54.480 --> 00:01:57.920]  受高者說 我要傳聖旨
[00:01:57.920 --> 00:02:00.240]  耶和華曾對我說
[00:02:00.240 --> 00:02:03.840]  你是我的兒子 我今日生你
[00:02:03.840 --> 00:02:08.320]  你求我 我就將這國賜你為基業
[00:02:08.320 --> 00:02:11.200]  將地極賜你為田產
