
[00:00:00.000 --> 00:00:04.000]  多謝張牧師 多謝長老
[00:00:04.000 --> 00:00:12.000]  兩首不應該叫古老 應該叫古典的聖詩
[00:00:12.000 --> 00:00:19.000]  將我帶回到中學夏令會的記憶裡
[00:00:19.000 --> 00:00:23.000]  這是80後沒辦法明白的
[00:00:23.000 --> 00:00:32.000]  不過今天的古典就是昨天的搖滾
[00:00:32.000 --> 00:00:38.000]  當時沒有盧永鏗 只有蘇在陽牧師
[00:00:38.000 --> 00:00:42.000]  所以他寫的廣東話聖詩
[00:00:42.000 --> 00:00:47.000]  你可以領略到他的功力 其實很深厚
[00:00:47.000 --> 00:00:51.000]  蘇牧師已經離開世界
[00:00:51.000 --> 00:00:59.000]  但他的聖詩感召了一代的基督徒
[00:00:59.000 --> 00:01:05.000]  就好像今天讚美之川 還是齊唱新歌
[00:01:05.000 --> 00:01:09.000]  齊唱新歌已經老了25年
[00:01:09.000 --> 00:01:17.000]  如果你有印象記得啟示錄
[00:01:17.000 --> 00:01:23.000]  約翰寫信給七個教會
[00:01:23.000 --> 00:01:27.000]  第一封信寫給爾弗所教會
[00:01:27.000 --> 00:01:37.000]  在爾弗所教會種種好的美德當中
[00:01:37.000 --> 00:01:44.000]  約翰說主耶穌有一件事情要責備他們
[00:01:44.000 --> 00:01:53.000]  記不記得 就是你把起初的愛心離棄了
[00:01:53.000 --> 00:02:02.000]  當然我們知道聖經本來是希臘文寫成的
[00:02:02.000 --> 00:02:07.000]  這句話在希臘文有些特別
[00:02:07.000 --> 00:02:12.000]  中文已經很好 三分二譯得很準確
[00:02:12.000 --> 00:02:20.000]  然而你把起初的愛心離棄了
[00:02:20.000 --> 00:02:27.000]  這句話其實在原本約翰寫的當中不是那麼通順
[00:02:27.000 --> 00:02:34.000]  因為他將最重要的兩個字眼調轉了來寫
[00:02:34.000 --> 00:02:43.000]  你把愛心那起初的離棄了
[00:02:43.000 --> 00:02:45.000]  懂不懂得聽
[00:02:45.000 --> 00:02:53.000]  當他這樣說的時候 強調的重點在哪裡
[00:02:53.000 --> 00:02:55.000]  就是起初
[00:02:55.000 --> 00:03:00.000]  他先說了名詞 然後才說形容詞
