
[00:00:00.000 --> 00:00:04.640]  各位大兄姊妹你好
[00:00:04.640 --> 00:00:08.560]  很高興在網上和大家一起去敬拜我們的主
[00:00:08.560 --> 00:00:09.560]  我們的神
[00:00:09.560 --> 00:00:12.320]  希望大家保重你的身體
[00:00:12.320 --> 00:00:15.320]  身心靈都能夠康健
[00:00:15.320 --> 00:00:18.560]  我想趁著在這個疫情期間
[00:00:18.560 --> 00:00:22.280]  和大家討論哈巴谷書的信息
[00:00:22.280 --> 00:00:26.240]  主題是從恐懼到相信
[00:00:26.240 --> 00:00:28.800]  From Fear to Faith
[00:00:28.800 --> 00:00:30.720]  今天第一講就和大家討論
[00:00:30.720 --> 00:00:35.560]  成本哈巴谷書的中心核心思想是甚麼
[00:00:35.560 --> 00:00:38.320]  我叫神 你在哪裡
[00:00:38.320 --> 00:00:41.040]  在2020年3月
[00:00:41.040 --> 00:00:43.640]  一本中國雜誌叫做《人物》
[00:00:43.640 --> 00:00:45.640]  刊登了一篇文章
[00:00:45.640 --> 00:00:48.960]  這篇文章分辨了整個中國、香港
[00:00:48.960 --> 00:00:51.440]  甚至可以說是世界
[00:00:51.440 --> 00:00:53.920]  這篇文章究竟說甚麼呢
[00:00:53.920 --> 00:00:56.000]  這一期的封面
[00:00:56.000 --> 00:00:59.040]  中國雜誌《人物》這一期的封面
[00:00:59.040 --> 00:01:01.960]  是寫著武漢醫生
[00:01:01.960 --> 00:01:06.960]  其中一篇是訪問武漢中心醫院急診科的主任
[00:01:06.960 --> 00:01:08.480]  艾芬醫生
[00:01:08.480 --> 00:01:09.960]  文章的題目就是
[00:01:09.960 --> 00:01:11.960]  我做錯了甚麼
[00:01:11.960 --> 00:01:14.640]  全篇文章大概有8000字
[00:01:14.640 --> 00:01:15.840]  不過不到幾天
[00:01:15.840 --> 00:01:21.440]  這篇文章就遭受到全面的刪除和封鎖
[00:01:21.440 --> 00:01:24.920]  究竟艾芬醫生何許人也呢
[00:01:24.920 --> 00:01:26.920]  原來在12月底
[00:01:26.920 --> 00:01:28.920]  武漢有8個醫生
[00:01:28.920 --> 00:01:30.920]  在微信討論
[00:01:30.920 --> 00:01:32.720]  在當中他們說
[00:01:32.720 --> 00:01:35.240]  發現一個病人檢測的報告
[00:01:35.240 --> 00:01:37.800]  有一種新型的冠狀病毒
[00:01:37.800 --> 00:01:39.440]  類似SARS的
[00:01:39.440 --> 00:01:41.040]  這8個人當中
[00:01:41.040 --> 00:01:44.520]  包括大家聽過的李文亮醫生
[00:01:44.520 --> 00:01:49.880]  當時他們傳出這個病人的報告和圖片
[00:01:49.880 --> 00:01:52.760]  原來就是艾芬醫生所拍的
[00:01:52.760 --> 00:01:54.160]  所以他就說了
[00:01:54.160 --> 00:01:55.640]  他不是吹哨人
[00:01:55.640 --> 00:01:57.360]  他是發哨人
[00:01:57.360 --> 00:01:59.360]  根據艾醫生所述
[00:01:59.360 --> 00:02:01.840]  當群組發出這個通訊之後
[00:02:01.840 --> 00:02:03.360]  在1月2日
[00:02:03.360 --> 00:02:07.400]  艾醫生被醫院的監察科約談
[00:02:07.400 --> 00:02:09.400]  指他沒有原則
[00:02:09.400 --> 00:02:10.920]  沒有組織紀律
[00:02:10.920 --> 00:02:12.240]  造謠生非
[00:02:12.240 --> 00:02:13.880]  造謠生事
[00:02:13.880 --> 00:02:17.120]  他說我遭受到前所未有的
[00:02:17.120 --> 00:02:19.440]  非常嚴厲的斥責
[00:02:19.440 --> 00:02:22.880]  並且要求他向200個人一一傳出
[00:02:22.880 --> 00:02:28.200]  不能用通訊或微信討論肺炎這件事
[00:02:28.200 --> 00:02:31.200]  艾醫生當時真的不知所措
[00:02:31.200 --> 00:02:34.480]  他和同行討論病人的情況
[00:02:34.480 --> 00:02:37.200]  是一件非常正常的事
[00:02:37.200 --> 00:02:40.640]  更何況所發現是重要的病毒
[00:02:40.640 --> 00:02:42.640]  怎可以不說呢
[00:02:42.640 --> 00:02:46.960]  這就是醫生的本能和天職
[00:02:46.960 --> 00:02:49.440]  在約談和警告中
[00:02:49.440 --> 00:02:51.840]  對他的影響很大
[00:02:51.840 --> 00:02:54.880]  說他整個人的心都垮了
[00:02:54.880 --> 00:02:57.760]  曾一度想辭職不幹
[00:02:57.760 --> 00:02:59.760]  之後有人問他
[00:02:59.760 --> 00:03:01.760]  有關肺炎這件事
[00:03:01.760 --> 00:03:03.520]  他閉口不言
[00:03:03.520 --> 00:03:06.240]  連丈夫都沒有提及
[00:03:06.240 --> 00:03:08.480]  一直到1月20日
[00:03:08.480 --> 00:03:10.560]  當鍾南山教授說
[00:03:10.560 --> 00:03:14.240]  這病毒可以人傳人的時候
[00:03:14.240 --> 00:03:19.280]  他才敢和丈夫說出這件事的來龍去脈
[00:03:19.280 --> 00:03:21.280]  在那段期間
[00:03:21.280 --> 00:03:26.400]  有醫生提議穿隔離袍保護自己
[00:03:26.400 --> 00:03:28.960]  但醫院當局開會後就做了決定
[00:03:28.960 --> 00:03:32.800]  將隔離袍引起外面的恐慌
[00:03:32.800 --> 00:03:34.080]  所以不准
[00:03:34.080 --> 00:03:36.400]  艾醫生無奈
[00:03:36.400 --> 00:03:39.520]  只吩咐急診部的醫護人員
[00:03:39.520 --> 00:03:41.520]  將隔離袍穿在裡面
[00:03:41.520 --> 00:03:43.840]  再加上一件白袍遮住
[00:03:43.840 --> 00:03:47.200]  他覺得是一件非常荒謬的事
[00:03:47.200 --> 00:03:49.200]  到1月11日
[00:03:49.200 --> 00:03:53.040]  有急診科的護士受感染
[00:03:53.040 --> 00:03:56.240]  艾醫生第一時間作出報告
[00:03:56.240 --> 00:03:57.920]  院方開始做了決定
[00:03:57.920 --> 00:04:03.040]  在報告裡就將病毒性肺炎這個字句刪除
[00:04:03.040 --> 00:04:04.320]  他認為
[00:04:04.320 --> 00:04:08.000]  艾醫生在報告裡寫上
[00:04:08.000 --> 00:04:11.840]  病毒性感染肺炎會嚇死人
[00:04:11.840 --> 00:04:13.840]  所以要刪除
[00:04:13.840 --> 00:04:16.880]  他也提到在這個專訪當中
[00:04:16.880 --> 00:04:20.480]  講到當時武漢醫院的慘況
[00:04:20.480 --> 00:04:24.080]  他說急診部一天要看1500個病人
[00:04:24.080 --> 00:04:26.720]  比平常多出不知多少倍
[00:04:26.720 --> 00:04:32.080]  病人往往要在醫院裡排幾個小時隊
[00:04:32.080 --> 00:04:34.880]  醫院塞滿病人
[00:04:34.880 --> 00:04:38.240]  醫生和護士日以繼夜的工作
[00:04:38.240 --> 00:04:39.840]  根本沒得休息
[00:04:39.840 --> 00:04:41.280]  沒下班
[00:04:41.280 --> 00:04:45.120]  他曾經親眼看到穿著有體面的女病人
[00:04:45.120 --> 00:04:48.560]  在排隊期間突然滾下來
[00:04:48.560 --> 00:04:50.560]  沒人敢去扶她
[00:04:50.560 --> 00:04:52.800]  沒人敢去幫她
[00:04:52.800 --> 00:04:55.680]  有些家屬送病人來醫院
[00:04:55.680 --> 00:04:58.560]  還沒下車就已經離開了
[00:04:58.560 --> 00:05:01.920]  他又看到他的同事一個一個倒下來
[00:05:01.920 --> 00:05:07.520]  包括眼科醫生李文亮在2月7日因感染而死
[00:05:07.520 --> 00:05:13.920]  甲狀科主任江學慶醫生在3月1日也因感染而死
[00:05:13.920 --> 00:05:22.400]  兩日後李文亮的同事眼科部醫生梅仲明醫生
[00:05:22.400 --> 00:05:24.560]  通常病人叫他名量
[00:05:24.560 --> 00:05:26.560]  因為他們都是眼科醫生
[00:05:26.560 --> 00:05:28.560]  都是優秀的眼科醫生
[00:05:28.560 --> 00:05:32.320]  梅醫生也是因感染而死
[00:05:32.320 --> 00:05:34.640]  直至3月9日為止
[00:05:34.640 --> 00:05:38.880]  武漢中心醫院有4位醫生因感染而死亡
[00:05:38.880 --> 00:05:41.520]  200多個醫護人員受感染
[00:05:41.520 --> 00:05:45.840]  包括副院長和某些部門的主任
[00:05:45.840 --> 00:05:50.240]  但沒人敢去討論這件事
[00:05:50.240 --> 00:05:54.320]  只能夠私下默默為他們哀悼
[00:05:54.320 --> 00:05:56.800]  在整篇文章裏
[00:05:56.800 --> 00:05:59.840]  艾芬醫生不住重覆他的感受
[00:05:59.840 --> 00:06:01.840]  就是後悔
[00:06:01.840 --> 00:06:07.040]  後悔自己在訓誡的時候不敢直言
[00:06:07.040 --> 00:06:09.040]  公諸醫世
