
[00:00:00.000 --> 00:00:07.000]  現在是幾點鐘?各位電影姐妹午安
[00:00:07.000 --> 00:00:12.000]  我想問一問可以說到幾點鐘?
[00:00:12.000 --> 00:00:18.000]  五點完可以嗎?四點八十?
[00:00:18.000 --> 00:00:20.000]  早一點 早兩分鐘?
[00:00:20.000 --> 00:00:24.000]  好好好 因為有很多事想和大家說
[00:00:24.000 --> 00:00:29.000]  我要說一點點我都應該和你們有交代
[00:00:29.000 --> 00:00:36.000]  2023年我從中國回來後和大家說到大家都知道我有身體有病
[00:00:36.000 --> 00:00:39.000]  那年我以為不能再回來
[00:00:39.000 --> 00:00:45.000]  去到2024年很感恩 陣神讓我很奇妙地康復
[00:00:45.000 --> 00:00:50.000]  所以我那次回來都很開心很感動可以再見到大家
[00:00:50.000 --> 00:00:54.000]  我再回去之後其實今年又不知道能不能回來
[00:00:54.000 --> 00:00:58.000]  因為我在大概一年內被很多人罵
[00:00:58.000 --> 00:01:00.000]  罵我不照顧自己
[00:01:00.000 --> 00:01:03.000]  剛才我在下面自己都很感動
[00:01:03.000 --> 00:01:06.000]  你為甚麼這樣對自己
[00:01:06.000 --> 00:01:09.000]  剛才我真的很感動
[00:01:09.000 --> 00:01:14.000]  我的學生又罵我 我家人又罵我 個個都罵我
[00:01:14.000 --> 00:01:18.000]  他說你不顧自己也要顧顧人家
[00:01:18.000 --> 00:01:21.000]  我看一看
[00:01:21.000 --> 00:01:24.000]  不用不用 我有
[00:01:24.000 --> 00:01:30.000]  有兩條毛巾 這是抹鼻子 這是抹眼淚
[00:01:30.000 --> 00:01:38.000]  所以因為我過去看很多專科
[00:01:38.000 --> 00:01:40.000]  看完一個又看完一個
[00:01:40.000 --> 00:01:45.000]  我又吃到發炎 又有個瘤 又切了個膽
[00:01:45.000 --> 00:01:49.000]  很多事很多事就是為了可以做我要做的事
[00:01:49.000 --> 00:01:53.000]  所以有個學生打來罵我
[00:01:53.000 --> 00:01:57.000]  他說徐老師你不要這樣不愛惜自己
[00:01:57.000 --> 00:02:04.000]  但是剛才那堂沒那麼感動 這一堂感動一點
[00:02:04.000 --> 00:02:09.000]  我聽陳師母分享 我看回這些學生
[00:02:09.000 --> 00:02:13.000]  我就應該用哪條毛巾
[00:02:13.000 --> 00:02:17.000]  是不是這條輕一點
[00:02:17.000 --> 00:02:22.000]  陳師母也有說我不要那麼薄
[00:02:22.000 --> 00:02:26.000]  她說你真是
[00:02:26.000 --> 00:02:29.000]  所以說對的
[00:02:29.000 --> 00:02:33.000]  因為這班學生是很需要的
[00:02:33.000 --> 00:02:37.000]  我現在分享的跟剛才說的有關
[00:02:37.000 --> 00:02:42.000]  我不是查開的 我怕徐福堂查開了下年不再請我
[00:02:42.000 --> 00:02:46.000]  因為你發覺很需要很需要
