
[00:00:00.000 --> 00:00:08.000]  大家好 今天我要跟大家講一個題目 信心攀山之旅
[00:00:08.000 --> 00:00:14.400]  我在年輕的時候很喜歡一齣電影 叫做《鮮樂飄飄住住民》
[00:00:14.400 --> 00:00:19.600]  這是香港的翻譯 而台灣的翻譯叫做《真善美》
[00:00:19.600 --> 00:00:23.680]  大陸的翻譯叫做《音樂之城》
[00:00:23.680 --> 00:00:33.840]  這齣電影非常讓我深刻的印象就是它的故事的情節和美妙的音樂
[00:00:33.840 --> 00:00:37.760]  那些歌讓我記憶很深
[00:00:37.760 --> 00:00:45.440]  故事發生在第二次世界大戰爆發前 在奧地利的Salsburg這個地方
[00:00:45.440 --> 00:00:50.560]  而女主角是瑪麗亞一位建集的修女
[00:00:50.560 --> 00:00:58.880]  她還沒被修道院正式接納之前就被安排到一個退役的海軍少校
[00:00:58.880 --> 00:01:01.760]  叫做George One-Trap
[00:01:01.760 --> 00:01:08.480]  他在她家做家庭教師 教導她七個兒女
[00:01:08.480 --> 00:01:19.360]  瑪麗亞就用她音樂的天賦 用她的愛心化解了這個冰冷的家庭
[00:01:19.360 --> 00:01:25.120]  慢慢地她和這個上教產生了愛意
[00:01:25.120 --> 00:01:31.200]  長話短說 因為愛上了這個上教
[00:01:31.200 --> 00:01:35.760]  所以她回到自己的修道院和院長談話的時候
[00:01:35.760 --> 00:01:42.400]  院長覺得她不需要有罪惡感 因為愛情是神聖的
[00:01:42.400 --> 00:01:49.760]  院長很有智慧地叫她排除萬難 勇於嘗試
[00:01:49.760 --> 00:01:54.240]  去尋找神為她安排的真正人生道路
[00:01:54.240 --> 00:02:01.760]  院長很深刻的畫面就是她唱了一首歌
[00:02:01.760 --> 00:02:08.000]  這首歌叫做Climb Every Mountain 攀越每一座山
[00:02:08.000 --> 00:02:16.480]  這首歌代表了攀越困難而勇於嘗試
[00:02:16.480 --> 00:02:24.880]  在結束的時候 他們要逃離納粹的追捕
[00:02:24.880 --> 00:02:30.080]  在夜幕的掩護下 他們徒步翻越了阿爾卑斯山
[00:02:30.080 --> 00:02:35.280]  告別了他們所心愛的故鄉 奧地利的Salsburg
[00:02:35.280 --> 00:02:37.680]  然後奔向自由的瑞士
[00:02:37.680 --> 00:02:48.160]  故事在壯麗的景色和攀越每一座山的合唱結束
[00:02:48.160 --> 00:02:56.080]  我回想這套電影其實是用一個實際的山
[00:02:56.080 --> 00:02:59.200]  就是他們爬阿爾卑斯山
[00:02:59.200 --> 00:03:02.640]  然後又用一個象徵的山
[00:03:02.640 --> 00:03:07.120]  就是瑪利亞所面對的婚姻的重重困難
[00:03:07.120 --> 00:03:11.600]  說到人生是要攀越每一座山
[00:03:11.600 --> 00:03:15.440]  而這首歌給我很深的印象
[00:03:15.440 --> 00:03:16.800]  我很喜歡這首歌
[00:03:16.800 --> 00:03:21.680]  攀越每一座山嶺 尋憂探繩
[00:03:21.680 --> 00:03:27.360]  追隨每一條的溪徑 走已知的路
[00:03:27.360 --> 00:03:33.360]  攀著每一座山嶺 竊每一條溪
[00:03:33.360 --> 00:03:37.840]  追隨每一道的彩虹 讓夢想可以實現
[00:03:37.840 --> 00:03:43.600]  而要達成這個夢 是要專注你所有的愛
[00:03:43.600 --> 00:03:47.760]  生命的每一刻 直到地久天長
[00:03:47.760 --> 00:03:53.200]  攀越每一座山嶺 竊每一條溪
[00:03:53.200 --> 00:03:58.320]  追隨每一道的彩虹 讓夢想實現
[00:03:58.320 --> 00:04:04.080]  弟兄姊妹 你是否攀山者呢? 抑或你是紮營者呢?
