
[00:00:00.000 --> 00:00:10.000]  今天我要講的篇是「風缺氧走不下去了」
[00:00:10.000 --> 00:00:28.000]  在過去一年多兩年的時間,我想大家都被疫情悶到想出來好好釋放一下
[00:00:28.000 --> 00:00:38.000]  能夠回復正常的生活,我相信沒有人是熟齡到一個地步疫情不影響他
[00:00:38.000 --> 00:00:44.000]  我知道我們中間也有熟齡人,但無論你怎樣熟齡也好
[00:00:44.000 --> 00:00:49.000]  你不能站在熟齡的高地上說「我不受影響的」
[00:00:49.000 --> 00:01:01.000]  你多少也會受影響,有一種情況就是走到極端,很悶很煩甚至抑骨
[00:01:01.000 --> 00:01:05.000]  有些甚至要去自殺,這是極端
[00:01:05.000 --> 00:01:09.000]  另外一個極端是剛才我所說的,不影響我的
[00:01:09.000 --> 00:01:15.000]  兩個極端其實都不是在正常運作的情況下
[00:01:15.000 --> 00:01:22.000]  我們不知道黑暗的湧動到底何時才能見到光明
[00:01:22.000 --> 00:01:26.000]  大家同意嗎?現在Omicron又來了
[00:01:26.000 --> 00:01:34.000]  我覺得Omicron是輿論的勢比實際的影響更大
[00:01:34.000 --> 00:01:41.000]  我相信輿論是需要大家提高警惕的,也是對的
[00:01:41.000 --> 00:01:46.000]  不過我覺得我們也不需要懼怕得這麼厲害
[00:01:46.000 --> 00:01:51.000]  不過有一個基本的問題,基督徒在這個地上
[00:01:51.000 --> 00:01:59.000]  是不是會無災難無痛苦而百事順利百事可樂地過人生呢?
[00:01:59.000 --> 00:02:06.000]  其實我們基督徒和微信主的人都是同樣在這個世界
[00:02:06.000 --> 00:02:10.000]  我們經歷的不會是另一個世界的生活
[00:02:10.000 --> 00:02:14.000]  所以無論如何,主耶穌基督說過的說話
[00:02:14.000 --> 00:02:19.000]  你們在世上有苦難是非常清晰的
[00:02:19.000 --> 00:02:25.000]  現在有一個基本的問題,就是當你聽從主的吩咐
[00:02:25.000 --> 00:02:30.000]  反而遇到困難的時候,那個時候才是很大的挑戰
[00:02:30.000 --> 00:02:35.000]  你說我敷衍敷衍,主給我一些苦難
[00:02:35.000 --> 00:02:40.000]  提醒我,激勵我,鞭策我
[00:02:40.000 --> 00:02:44.000]  我愛主,我熱心,我聽主的話語
[00:02:44.000 --> 00:02:51.000]  到頭來我遇到的反而比不信主的更加慘
[00:02:51.000 --> 00:02:56.000]  到那個時候,你的信仰就會經歷很大的挑戰
[00:02:56.000 --> 00:03:02.000]  我知道有些基督徒在職場上是忠心的
[00:03:02.000 --> 00:03:06.000]  他是聽從主的話語的,他是有見證的
[00:03:06.000 --> 00:03:10.000]  他是持守信仰的立場去生活的
[00:03:10.000 --> 00:03:13.000]  但是你有沒有發現呢?
[00:03:13.000 --> 00:03:18.000]  就是有時這些人就會遇到老闆更多的嘲諷
[00:03:18.000 --> 00:03:21.000]  同事更多的排斥
[00:03:21.000 --> 00:03:26.000]  在這些情況下,我想你基本上都會問一個問題
[00:03:26.000 --> 00:03:31.000]  到底我們信的神靈不靈呢?好不好呢?
[00:03:31.000 --> 00:03:38.000]  他說有恩典有憐憫,保護屬於他的人,到底是不是真的呢?
[00:03:38.000 --> 00:03:42.000]  這是基本問題,我相信大家經常都會問
[00:03:42.000 --> 00:03:51.000]  在這個疫情裡面,有些愛主的信主反而受到COVID-19就過去了
[00:03:51.000 --> 00:03:55.000]  很多時候經常都會問這個問題
[00:03:55.000 --> 00:04:01.000]  今天我要跟大家說這個,我們耳熟能詳
[00:04:01.000 --> 00:04:05.000]  我相信你從信耶穌開始,沒多久就聽過這個故事
[00:04:05.000 --> 00:04:07.000]  聽了N這麼多次
[00:04:07.000 --> 00:04:12.000]  那你說,賴牧師,人家都聽了這麼多次了,你還要說?
[00:04:12.000 --> 00:04:16.000]  我今天要從另一個角度來切入這段經文
[00:04:16.000 --> 00:04:19.000]  其實神的話語是非常豐富的
[00:04:19.000 --> 00:04:23.000]  神的話語也是安定在天,傳道永遠
[00:04:23.000 --> 00:04:26.000]  剛才已經讀過了,我就不再讀了
[00:04:26.000 --> 00:04:34.000]  當那天晚上,到底那一天耶穌和門徒做了什麼呢?
[00:04:34.000 --> 00:04:39.000]  大家如果注意,你看馬可福音第四章就知道
[00:04:39.000 --> 00:04:45.000]  當天耶穌基督對著眾人和門徒說了很多道理
[00:04:45.000 --> 00:04:54.000]  那天耶穌說了很多的比喻,撒種的比喻,點燈的比喻,五穀生長的比喻
[00:04:54.000 --> 00:05:01.000]  說了很多道理,如果你回去看馬可福音第四章第1到第34節
