
[00:00:00.000 --> 00:00:04.680]  謝謝 各位早晨
[00:00:04.680 --> 00:00:07.480]  好 今天對我來說是很特別的日子
[00:00:07.480 --> 00:00:12.260]  就是我這個星期三
[00:00:12.260 --> 00:00:16.400]  將會開始另外三個月的寫作的時間
[00:00:16.400 --> 00:00:18.140]  有些人跟我說 你走了
[00:00:18.140 --> 00:00:21.280]  其實我只有三個月 我還沒死
[00:00:21.280 --> 00:00:24.160]  靠著那些還沒死的 但我會回來的
[00:00:24.160 --> 00:00:27.620]  所以暫時跟大家離開一段時間
[00:00:27.620 --> 00:00:32.660]  還有就是 如果大家剛才看的經文
[00:00:32.660 --> 00:00:37.720]  《哥倫多後書》第八章和《一造十五指令》經文
[00:00:37.720 --> 00:00:40.840]  你大概知道我講到關於奉獻的問題
[00:00:40.840 --> 00:00:43.180]  有一個牧師很幽默的說
[00:00:43.180 --> 00:00:45.660]  他說他《聖經》講到《哥倫多後書》第八章、第九章
[00:00:45.660 --> 00:00:46.660]  講到奉獻問題的時候
[00:00:46.660 --> 00:00:48.580]  那些會眾開始不安的了
[00:00:48.580 --> 00:00:50.820]  就說 啊 又講錢了?
[00:00:50.820 --> 00:00:52.500]  我記得不知道是誰告訴我
[00:00:52.500 --> 00:00:55.960]  我記得好多年前 我想是六、七年前
[00:00:55.960 --> 00:01:00.580]  我在東莞小學時代 我講到的時候講到奉獻
[00:01:00.580 --> 00:01:02.680]  接著有人上網問
[00:01:02.680 --> 00:01:05.620]  教會講奉獻的 是不是邪教?
[00:01:05.620 --> 00:01:09.080]  有人告訴我 你看看
[00:01:09.080 --> 00:01:12.280]  我在平時的日子裡面
[00:01:12.280 --> 00:01:15.300]  其實常常聽到一些慕道朋友
[00:01:15.300 --> 00:01:16.580]  我不認識的慕道朋友
[00:01:16.580 --> 00:01:20.180]  最多講到教會就是奉獻的問題
[00:01:20.180 --> 00:01:21.760]  有時候我喝茶 聽到隔壁的茶
[00:01:21.760 --> 00:01:23.440]  我不是專門的 它大聲的我聽到
[00:01:23.440 --> 00:01:24.980]  我不是專門偷聽別人講話
[00:01:24.980 --> 00:01:28.260]  他們會說 不要去教會啊
[00:01:28.260 --> 00:01:30.860]  為什麼? 要十一奉獻的
[00:01:30.860 --> 00:01:32.440]  十一奉獻?有沒有搞錯?
[00:01:32.440 --> 00:01:33.740]  他給家人都沒有給我那麼多
[00:01:33.740 --> 00:01:35.500]  還要十一奉獻?
[00:01:35.500 --> 00:01:38.620]  所以這是一個很敏感的題目
[00:01:38.620 --> 00:01:42.460]  在教會裡面 不單是教會外的人覺得
[00:01:42.460 --> 00:01:46.080]  我千萬不要去教會 更加不要洗禮
[00:01:46.080 --> 00:01:47.880]  因為要十一奉獻的
