
[00:00:00.000 --> 00:00:07.000]  我們在主日崇拜讀列王記的經文
[00:00:07.000 --> 00:00:13.000]  思想君王與領導這個主題
[00:00:13.000 --> 00:00:17.000]  今天我們來到最後一次
[00:00:17.000 --> 00:00:21.000]  在猶大國的歷史當中
[00:00:21.000 --> 00:00:25.000]  或者說在列王記的記載裏面
[00:00:25.000 --> 00:00:34.000]  兩位君王都有很高的評價
[00:00:34.000 --> 00:00:36.000]  怎樣高呢?
[00:00:36.000 --> 00:00:40.000]  如果你參考我們的大綱
[00:00:40.000 --> 00:00:47.000]  你回去看關於這兩個君王最後的評價
[00:00:47.000 --> 00:00:49.000]  你就會發現
[00:00:49.000 --> 00:00:56.000]  列王記都給了他們同一句說話
[00:00:56.000 --> 00:01:01.000]  簡單用中文的成語來說
[00:01:01.000 --> 00:01:06.000]  就是「前無古人,後無來者」
[00:01:06.000 --> 00:01:08.000]  這八個字你懂得解釋吧?
[00:01:08.000 --> 00:01:12.000]  以之前的皇帝沒有一個救他這麼好
[00:01:12.000 --> 00:01:14.000]  之後也沒有
[00:01:14.000 --> 00:01:22.000]  說一個就是照著字面的意思去理解
[00:01:22.000 --> 00:01:25.000]  說兩個就心水清一點
[00:01:25.000 --> 00:01:27.000]  就說是矛盾
[00:01:27.000 --> 00:01:30.000]  如果兩個皇帝都是這麼好
[00:01:30.000 --> 00:01:32.000]  一個說前無古人
[00:01:32.000 --> 00:01:34.000]  前面那個怎麼算?
[00:01:34.000 --> 00:01:35.000]  後無來者
[00:01:35.000 --> 00:01:37.000]  反過來看就不對
[00:01:37.000 --> 00:01:39.000]  我們讀聖經很少這樣問問題
[00:01:39.000 --> 00:01:44.000]  你要明白這是一個文學的手法
[00:01:44.000 --> 00:01:46.000]  用了一個很高的評價
[00:01:46.000 --> 00:01:52.000]  其實不是照著字面的意思去理解
[00:01:52.000 --> 00:01:53.000]  懂不懂?
[00:01:53.000 --> 00:01:56.000]  譬如我們說
[00:01:56.000 --> 00:02:01.000]  十年樹木,百年樹人
[00:02:01.000 --> 00:02:03.000]  你不要斤斤計較
[00:02:03.000 --> 00:02:06.000]  十一年還是十二年才種到一棵樹
[00:02:06.000 --> 00:02:07.000]  一百年
[00:02:07.000 --> 00:02:10.000]  不是,那只是一個比較
[00:02:10.000 --> 00:02:14.000]  十和百的倍數
[00:02:14.000 --> 00:02:18.000]  聖經裡用這些稱讚的說話
[00:02:18.000 --> 00:02:20.000]  是很崇高的
[00:02:20.000 --> 00:02:22.000]  一個是給希西加王
[00:02:22.000 --> 00:02:25.000]  一個是給今天我們要討論
[00:02:25.000 --> 00:02:31.000]  來到猶太國的歷史差不多結束了
[00:02:31.000 --> 00:02:34.000]  你可以說最後一代
[00:02:34.000 --> 00:02:36.000]  約西亞王
[00:02:36.000 --> 00:02:37.000]  為什麼這麼說?
[00:02:37.000 --> 00:02:41.000]  因為在約西亞王在位期間
[00:02:41.000 --> 00:02:44.000]  耶利米先知蒙召
[00:02:44.000 --> 00:02:46.000]  耶利米書第一章告訴我們
[00:02:46.000 --> 00:02:50.000]  耶利米先知是在約西亞王十三年
[00:02:50.000 --> 00:02:52.000]  蒙召作先知
[00:02:52.000 --> 00:02:54.000]  做了四十年
[00:02:54.000 --> 00:02:57.000]  為什麼是四十年?這麼巧?
[00:02:57.000 --> 00:02:59.000]  不是,因為在第四十年
[00:02:59.000 --> 00:03:04.000]  耶路撒冷亡國被擄
[00:03:04.000 --> 00:03:09.000]  約西亞王的一生
[00:03:09.000 --> 00:03:12.000]  其實很短
[00:03:12.000 --> 00:03:15.000]  未到四十歲
[00:03:15.000 --> 00:03:18.000]  他就戰死沙場
[00:03:18.000 --> 00:03:22.000]  在戰爭當中陣亡
[00:03:22.000 --> 00:03:27.000]  但是他的一生很特別
[00:03:27.000 --> 00:03:29.000]  剛才我們所讀的
[00:03:29.000 --> 00:03:32.000]  我們是由他祖父開始
[00:03:32.000 --> 00:03:35.000]  看到歷史的記載
[00:03:35.000 --> 00:03:40.000]  馬拿西就是希西加的兒子
[00:03:40.000 --> 00:03:44.000]  馬拿西在位超過半個世紀
[00:03:44.000 --> 00:03:46.000]  很太平的日子
[00:03:46.000 --> 00:03:48.000]  不是,巴比倫王曾經上來
[00:03:48.000 --> 00:03:50.000]  擄了他去
[00:03:50.000 --> 00:03:53.000]  但是馬拿西不是一個好的皇帝
[00:03:53.000 --> 00:03:55.000]  剛才我們讀獵王紀的記載說
[00:03:55.000 --> 00:03:57.000]  他行耶和華眼中
[00:03:57.000 --> 00:04:00.000]  看為惡的善
[00:04:00.000 --> 00:04:03.000]  他使猶大人陷在敘裡
[00:04:03.000 --> 00:04:09.000]  他流許多無辜人的血
[00:04:09.000 --> 00:04:13.000]  即是那些被自殺的
[00:04:13.000 --> 00:04:17.000]  馬拿西不是一個好的皇帝
[00:04:17.000 --> 00:04:21.000]  所以他超過半個世紀
[00:04:21.000 --> 00:04:23.000]  在位的日子
[00:04:23.000 --> 00:04:26.000]  對耶路撒冷不是一件好事
[00:04:26.000 --> 00:04:29.000]  有怎樣的領袖
[00:04:29.000 --> 00:04:34.000]  影響整個國家
[00:04:34.000 --> 00:04:38.000]  一個不好的父親影響他全家
[00:04:38.000 --> 00:04:42.000]  領袖是會有這樣的影響
[00:04:42.000 --> 00:04:45.000]  好的影響,不好的影響
[00:04:45.000 --> 00:04:48.000]  馬拿西這半個世紀
[00:04:48.000 --> 00:04:54.000]  行耶和華眼中看為惡的善
[00:04:54.000 --> 00:04:58.000]  或者我們說,說謊話說得多
[00:04:58.000 --> 00:05:00.000]  都變成是真的
[00:05:00.000 --> 00:05:02.000]  惡事做得久
[00:05:02.000 --> 00:05:05.000]  慢慢大家都習慣了
[00:05:05.000 --> 00:05:07.000]  反正不要打仗
[00:05:07.000 --> 00:05:09.000]  大家太太平平
[00:05:09.000 --> 00:05:11.000]  繼續找飯吃
[00:05:11.000 --> 00:05:14.000]  我幾乎想說那四個字
[00:05:14.000 --> 00:05:17.000]  不過在台上不可以說
[00:05:17.000 --> 00:05:22.000]  馬拿西為耶路撒冷猶大
[00:05:22.000 --> 00:05:27.000]  留下了一個怎樣的歷史
[00:05:27.000 --> 00:05:31.000]  一個怎樣的歷史
[00:05:31.000 --> 00:05:35.000]  到他的兒子阿門登基
[00:05:35.000 --> 00:05:37.000]  二十二歲
[00:05:37.000 --> 00:05:40.000]  他只是做了兩年的君王
[00:05:40.000 --> 00:05:43.000]  他繼續他父親所行的
[00:05:43.000 --> 00:05:48.000]  就是行耶和華眼中看為惡的事
[00:05:48.000 --> 00:05:52.000]  敬奉他父親所敬奉的偶像
[00:05:52.000 --> 00:05:54.000]  離棄耶和華
[00:05:54.000 --> 00:05:56.000]  他列祖的神
[00:05:56.000 --> 00:06:01.000]  不進行耶和華的道
[00:06:01.000 --> 00:06:04.000]  然後經文就說了一句
[00:06:04.000 --> 00:06:06.000]  剛才你有沒有留意到
[00:06:06.000 --> 00:06:12.000]  他的神僕就背叛他
[00:06:12.000 --> 00:06:14.000]  我們要很小心
[00:06:14.000 --> 00:06:18.000]  經文沒有說為何他的神僕背叛他
[00:06:18.000 --> 00:06:19.000]  對不對
[00:06:19.000 --> 00:06:21.000]  我們不要以為
[00:06:21.000 --> 00:06:25.000]  他們一定是因為皇帝不敬錢
[00:06:25.000 --> 00:06:26.000]  不愛主
[00:06:26.000 --> 00:06:27.000]  所以背叛他
[00:06:27.000 --> 00:06:28.000]  沒有說過
[00:06:28.000 --> 00:06:29.000]  可能是
[00:06:29.000 --> 00:06:32.000]  也可能不是
[00:06:32.000 --> 00:06:34.000]  譬如上一次
