
[00:00:00.000 --> 00:00:06.520]  好 各位觀眾讓我們在聆聽上主的話之先
[00:00:06.520 --> 00:00:10.240]  讓我們一起同心低頭禱告 願我們心思義凌
[00:00:10.240 --> 00:00:15.440]  父神多謝你 讓我們能夠再次打開你的說話
[00:00:15.440 --> 00:00:22.240]  一起去研讀 明白上主你在歷史當中的運作
[00:00:22.240 --> 00:00:31.120]  求你的帶領 當我們看見這個世界充滿很多失望的事情的時候
[00:00:31.120 --> 00:00:40.960]  以及我們周遭所遇見很多盡不如人意的事情發生在我們身上的時候
[00:00:40.960 --> 00:00:47.040]  求你讓我們明白 你仍然在掌權
[00:00:47.040 --> 00:00:57.440]  這個世界看似無神的時候 其實上主你悄悄地正在作功夫
[00:00:57.440 --> 00:01:03.720]  求你的帶領 讓我們今天在這堂經文的訊息裡
[00:01:03.720 --> 00:01:08.640]  能夠一同去明白 上主你的行事
[00:01:08.640 --> 00:01:18.880]  讓我們作為屬神的子民 能夠更有智慧有觸覺 能夠活在看似無神的世界當中
[00:01:18.880 --> 00:01:25.280]  禱告奉靠主耶穌基督 得聖的名字而求 阿們
[00:01:25.280 --> 00:01:33.680]  在聖經裡 很多時候我們誤會了聖經只是教導我們有一個神
[00:01:33.680 --> 00:01:44.720]  會有能力幫助我們解決問題 而缺乏了對聖經本來的焦點
[00:01:44.720 --> 00:01:52.400]  聖經本來的焦點是什麼呢 其實就是要讓人脫離罪的綑綁
[00:01:52.400 --> 00:02:01.760]  這個早在創世紀裡已經清楚明言 但很可惜的是隨著時日的改變
[00:02:01.760 --> 00:02:12.000]  教會也在神學上越來越走歪路 認為信一個宗教以至基督教
[00:02:12.000 --> 00:02:19.760]  都和其他宗教一樣 只是希望求神保護保守
[00:02:19.760 --> 00:02:23.520]  如果那個神沒有效果 那個當然沒用了
[00:02:23.520 --> 00:02:37.280]  因此在基督教裡就將大量看似神保守的事情 成為見證不斷去倡議或推廣
[00:02:37.280 --> 00:02:47.280]  讓人以為只要信基督教的神 耶穌 你就可以得到祂的保護
[00:02:47.280 --> 00:02:55.600]  而完全缺乏了對罪的原意 上帝要處理的目的
[00:02:55.600 --> 00:03:05.040]  在這樣的情況之下 教會也有一個為難之處
[00:03:05.040 --> 00:03:13.440]  為難在什麼呢 當教會只是全港針對人罪的問題的時候
[00:03:13.440 --> 00:03:19.520]  很多人就不喜歡聽 正所謂忠言逆耳
[00:03:19.520 --> 00:03:28.000]  上帝要你正正處理核心問題的時候 你卻不想去觸及這個問題
[00:03:28.000 --> 00:03:38.560]  因為你覺得很羞恥 反而基督教就轉向於要全港好像成功福音那類的思維
[00:03:38.560 --> 00:03:47.520]  上帝是能夠讓你所遇見的問題通通消災解難
[00:03:47.520 --> 00:03:52.000]  久而久之我們的神和其他神沒有分別
[00:03:52.000 --> 00:03:58.400]  但是這樣的做法的為難之處是什麼呢 就是這樣做法有很多人來教會
[00:03:58.400 --> 00:04:04.400]  教會不會不夠經費 教會要建教堂可以有資源
[00:04:04.400 --> 00:04:10.960]  教會要搞任何活動滿足教會的領袖的目的
[00:04:10.960 --> 00:04:19.440]  於是教會就不得不走向歪路 傳多些成功福音
[00:04:19.440 --> 00:04:32.080]  傳多些上帝是大能的神 於是你就很自然的會得到上帝的庇蔭
[00:04:32.080 --> 00:04:41.360]  這樣的觀念就造成基督教越來越無能無力
[00:04:41.360 --> 00:04:53.280]  在這兩個彼此的思維不斷有張力在發生的時候
[00:04:53.280 --> 00:04:59.760]  教會的取向就很重要了
[00:04:59.760 --> 00:05:06.880]  如果教會繼續走一條只不過為教會招攬更多的人
[00:05:06.880 --> 00:05:18.160]  教會能夠建得更加龐大 或者教會因為資源豐富在政治上也能夠有影響力的話
[00:05:18.160 --> 00:05:25.040]  教會就能夠影響世界 教會就能夠使這個世界更加美麗
[00:05:25.040 --> 00:05:38.560]  罪也更加少 這種癡心妄想的說法流傳在很多信徒的生命生活裏面
[00:05:38.560 --> 00:05:42.480]  當他以為這樣繼續做下去人人都得救的時候
[00:05:42.480 --> 00:05:56.240]  卻是教會越來越走向一個大人誤會自己信了上帝 罪已得赦的光景
[00:05:56.240 --> 00:06:02.000]  今天我們會看這段聖經 為什麼我說剛才這個局面呢
[00:06:02.000 --> 00:06:10.880]  因為今天我們所看的這段聖經會快速地走到一個新的時代裏面
