
[00:00:00.000 --> 00:00:07.000]  請各位聽神的道義,讓我們同心同意
[00:00:07.000 --> 00:00:12.000]  各位親愛的父親,多謝您
[00:00:12.000 --> 00:00:16.000]  讓我們可以再次回到您的說話
[00:00:16.000 --> 00:00:23.000]  讓您的話語成為我們生命上去明白認識您的途徑
[00:00:23.000 --> 00:00:25.000]  我們再次獻上感恩
[00:00:25.000 --> 00:00:29.000]  願您的話語能夠真的幫助我們
[00:00:29.000 --> 00:00:33.000]  能夠成為一個像您的子民
[00:00:33.000 --> 00:00:37.000]  或像您的兒子耶穌基督的人
[00:00:37.000 --> 00:00:39.000]  有您的幫助
[00:00:39.000 --> 00:00:44.000]  親愛的父親,感謝您讓我們能夠再次打開您的話語
[00:00:44.000 --> 00:00:49.000]  讓我們能夠再次體會您是怎麼一位主
[00:00:49.000 --> 00:00:52.000]  我們也再次獻上感謝
[00:00:52.000 --> 00:00:59.000]  您能夠給我們一切您的話語,讓我們了解您是怎麼一位神
[00:00:59.000 --> 00:01:05.000]  使我們學習怎麼成為一個屬神的子民
[00:01:05.000 --> 00:01:11.000]  像您的兒子耶穌一樣,活出有神的樣子
[00:01:11.000 --> 00:01:16.000]  求您的幫助,願這段時間恭敬交上
[00:01:16.000 --> 00:01:20.000]  隨著您的帶領,我們禱告奉主耶穌的名字
[00:01:20.000 --> 00:01:22.000]  阿們
[00:01:22.000 --> 00:01:27.000]  中國人有句話叫做人之將死,其言也善
[00:01:27.000 --> 00:01:31.000]  中國有句古話,人之將死,其言也善
[00:01:31.000 --> 00:01:36.000]  其實在我們做牧者的生活裏面
[00:01:36.000 --> 00:01:40.000]  經常沒辦法離開的就是死亡
[00:01:40.000 --> 00:01:45.000]  在中國有些事情是沒法避免的,就是死亡
[00:01:45.000 --> 00:01:47.000]  講到講死亡
[00:01:47.000 --> 00:01:49.000]  講到講死亡
[00:01:49.000 --> 00:01:51.000]  出入醫院又見死亡
[00:01:51.000 --> 00:01:57.000]  我曾經記得有一次有位老人家我去探訪他的時候
[00:01:57.000 --> 00:02:02.000]  因為他的家人在海外
[00:02:02.000 --> 00:02:08.000]  我和他家人都很緊密聯絡
[00:02:08.000 --> 00:02:15.000]  於是乎我去探訪他的時候,我還帶了一部手提電腦
[00:02:15.000 --> 00:02:21.000]  應該叫平板電腦
[00:02:21.000 --> 00:02:25.000]  想著探訪他的時候
[00:02:25.000 --> 00:02:31.000]  就和他聯繫上海外的家人
[00:02:31.000 --> 00:02:37.000]  然後希望人到都養到,聲音到
[00:02:37.000 --> 00:02:44.000]  但是當我去探訪這位老人家的時候
[00:02:44.000 --> 00:02:47.000]  這位老人家就和我說
[00:02:47.000 --> 00:02:49.000]  不用了
[00:02:49.000 --> 00:02:53.000]  我真的好不明白
[00:02:53.000 --> 00:03:00.000]  你家人在海外很想見到你
[00:03:00.000 --> 00:03:03.000]  不是等到人死才見
