
[00:00:00.000 --> 00:00:04.640]  各位弟姐妹新年快樂
[00:00:04.640 --> 00:00:07.280]  希望大家過個無憂無慮的新年
[00:00:07.280 --> 00:00:09.680]  今天除了是年初三之外
[00:00:09.680 --> 00:00:12.160]  也是2月14日的情人節
[00:00:12.160 --> 00:00:16.960]  年初三傳統上我們有時叫赤口
[00:00:16.960 --> 00:00:19.520]  我希望各位情人家人
[00:00:19.520 --> 00:00:22.720]  夫婦不要年初三吵架
[00:00:22.720 --> 00:00:26.480]  因為今天是我們更加學習恩愛的時間
[00:00:26.480 --> 00:00:32.240]  也很開心能夠今天和神學院的學生
[00:00:32.240 --> 00:00:35.440]  一起為大家帶來崇拜
[00:00:35.440 --> 00:00:37.520]  我知道今天聖餐崇拜
[00:00:37.520 --> 00:00:40.400]  所以我希望今天我說的話能夠精簡一點
[00:00:40.400 --> 00:00:43.120]  幫助大家一起思想
[00:00:43.120 --> 00:00:48.000]  馬克思第六章25到34節這段聖經
[00:00:48.000 --> 00:00:52.960]  過去這段時間我相信全世界
[00:00:52.960 --> 00:00:58.880]  香港特別是 都面對很大的憂慮
[00:00:58.880 --> 00:01:00.960]  很大的不開心的時間
[00:01:00.960 --> 00:01:04.160]  要真是心裏無憂無慮過新年
[00:01:04.160 --> 00:01:05.440]  我想對很多人來說
[00:01:05.440 --> 00:01:07.120]  這個差不多是不可能
[00:01:07.120 --> 00:01:10.400]  或者是超現實 脫離現實的情況
[00:01:10.400 --> 00:01:14.560]  事實上有一個這樣的統計
[00:01:14.560 --> 00:01:15.840]  我不知道大家有沒有留意到
[00:01:15.840 --> 00:01:18.480]  聯合國在2020年
[00:01:18.480 --> 00:01:21.040]  即是剛剛過去那一年做了統計
[00:01:21.040 --> 00:01:29.360]  在全球150多個國家裏面做了統計
[00:01:29.360 --> 00:01:34.320]  這個統計就說究竟那個地區
[00:01:34.320 --> 00:01:38.480]  或者世界那個國家的快樂指數
[00:01:38.480 --> 00:01:40.400]  這個表可能小一點
[00:01:40.400 --> 00:01:41.280]  大家未必看得到
[00:01:41.280 --> 00:01:42.240]  不過我可以告訴大家
[00:01:42.240 --> 00:01:45.520]  最快樂的那幾個國家都是北歐國家
[00:01:45.520 --> 00:01:46.640]  可能他們的民族性
[00:01:46.640 --> 00:01:48.880]  或者他們的社會福利等等
[00:01:48.880 --> 00:01:50.320]  是比較樂天的
[00:01:50.320 --> 00:01:52.880]  而最不開心的那幾個國家
[00:01:52.880 --> 00:01:56.720]  就是那些戰亂的黎巴嫩、敘利亞
[00:01:56.720 --> 00:02:00.320]  現在是民不聊生的地方
[00:02:00.320 --> 00:02:04.640]  而香港其實在這個統計裏面
[00:02:04.640 --> 00:02:08.000]  153個國家或地區裏面
[00:02:08.000 --> 00:02:10.560]  快樂指數是排行78的
[00:02:10.560 --> 00:02:12.400]  即是大約中間
[00:02:12.400 --> 00:02:14.800]  都比上不足 比下有餘
[00:02:14.800 --> 00:02:18.880]  但是如果你再將其他的指數加上去
[00:02:18.880 --> 00:02:22.080]  你見到這是一個相當不合理的情況
[00:02:22.080 --> 00:02:23.600]  那些甚麼指數呢?
[00:02:23.600 --> 00:02:26.640]  就是香港人的GDP
[00:02:26.640 --> 00:02:28.240]  就是平均收入
[00:02:28.240 --> 00:02:31.360]  香港人的那個壽命的長度
[00:02:31.360 --> 00:02:33.360]  差不多是全球之冠
[00:02:33.360 --> 00:02:35.120]  你將這些指數加上去
[00:02:35.120 --> 00:02:40.880]  人生追求的那個生存的
[00:02:40.880 --> 00:02:43.920]  無論是財富或者是壽命
[00:02:43.920 --> 00:02:46.000]  可以說是數一數二的
[00:02:46.000 --> 00:02:50.240]  但是卻換來快樂指數是大約中間
[00:02:50.240 --> 00:02:52.000]  我們香港生活的人都知道
[00:02:52.000 --> 00:02:55.600]  我們有很多原因令到我們不開心的
[00:02:55.600 --> 00:02:58.320]  社會事件上發生的事
[00:02:58.320 --> 00:03:01.200]  我們疫情之下
[00:03:01.200 --> 00:03:05.040]  以及種種的居住的環境
[00:03:05.040 --> 00:03:10.880]  令到我們可能有很多憂慮在心裏面
[00:03:10.880 --> 00:03:13.360]  我們最常講的在教會裏面
[00:03:13.360 --> 00:03:16.960]  過時過節講的祝賀說話都是新年快樂
[00:03:16.960 --> 00:03:19.600]  聖誕快樂 生日快樂
[00:03:19.600 --> 00:03:20.880]  我們都是講快樂
[00:03:20.880 --> 00:03:23.600]  這個差不多是我們這麼多祝福語裏面
[00:03:23.600 --> 00:03:26.640]  我估計這個是最常用的一個
[00:03:26.640 --> 00:03:28.240]  不過我經常都問
[00:03:28.240 --> 00:03:31.600]  究竟基督徒的快樂指數
[00:03:31.600 --> 00:03:34.560]  比起其他不是基督徒的快樂指數
[00:03:34.560 --> 00:03:37.840]  是不是真的有明顯的分別呢?
[00:03:37.840 --> 00:03:39.520]  還是那些快樂指數
[00:03:39.520 --> 00:03:43.840]  其實一早決定於我們個人的氣質
[00:03:43.840 --> 00:03:45.920]  以及我們的習慣
[00:03:45.920 --> 00:03:47.520]  如果一向都是這麼憂慮的
[00:03:47.520 --> 00:03:49.760]  你信耶穌之後都是這麼憂慮
[00:03:49.760 --> 00:03:51.200]  只不過是加多了
[00:03:51.200 --> 00:03:53.760]  教徒主啦 不過都很擔心的
[00:03:53.760 --> 00:03:55.680]  加多了一些屬靈的字眼
[00:03:55.680 --> 00:03:59.600]  但實際上那個心境是沒有分別的
[00:03:59.600 --> 00:04:01.200]  我希望這段聖經
[00:04:01.200 --> 00:04:04.000]  主耶穌在登山補訓教導的一段經文
[00:04:04.000 --> 00:04:06.720]  能夠對我們實際提醒
[00:04:06.720 --> 00:04:09.600]  這段經文開始的時候
[00:04:09.600 --> 00:04:12.880]  我將這段經文分為三個段落
[00:04:12.880 --> 00:04:14.080]  第一個段落是一節
[00:04:14.080 --> 00:04:16.640]  第二節是二十五節
[00:04:16.640 --> 00:04:19.120]  耶穌說:所以我告訴你們
[00:04:19.120 --> 00:04:23.440]  不要為你們的生命憂慮吃什麼喝什麼
[00:04:23.440 --> 00:04:27.600]  或你們的身體憂慮穿什麼
[00:04:27.600 --> 00:04:29.360]  這裏問了三個問題
[00:04:29.360 --> 00:04:33.360]  吃什麼 喝什麼 穿什麼
[00:04:33.360 --> 00:04:36.240]  這三個問題也分為兩組
[00:04:36.240 --> 00:04:38.080]  第一組是紅色的字眼
[00:04:38.080 --> 00:04:39.840]  吃什麼 喝什麼
[00:04:39.840 --> 00:04:41.840]  是和生命有關係的
[00:04:41.840 --> 00:04:44.000]  吃喝是維持我們生命
[00:04:44.000 --> 00:04:46.240]  反過來問 哪樣比較重要呢
[00:04:46.240 --> 00:04:48.080]  吃什麼 喝什麼
[00:04:48.080 --> 00:04:50.000]  還是我們生命的健康
[00:04:50.000 --> 00:04:52.400]  我們生命的長短更加重要呢
[00:04:52.400 --> 00:04:53.360]  答案很明顯
[00:04:53.360 --> 00:04:54.480]  當然生命重要
[00:04:54.480 --> 00:04:56.960]  那些只是維持生命的一些因素
[00:04:56.960 --> 00:05:00.000]  那些因素不應該大於生命本身
[00:05:00.000 --> 00:05:03.280]  另外一組就是一個問題
[00:05:03.280 --> 00:05:04.400]  穿什麼
[00:05:04.400 --> 00:05:08.560]  這當然是和身體比較
[00:05:08.560 --> 00:05:10.960]  身體需要衣著打扮
[00:05:10.960 --> 00:05:12.000]  需要保護
[00:05:12.000 --> 00:05:15.920]  所以穿什麼和身體是另外一組
[00:05:15.920 --> 00:05:17.440]  問題仍然是
[00:05:17.440 --> 00:05:20.400]  究竟身體重要還是衣服重要呢
[00:05:20.400 --> 00:05:21.760]  答案當然很明顯
[00:05:21.760 --> 00:05:24.640]  身體比衣服重要
[00:05:24.640 --> 00:05:28.240]  這些吃什麼喝什麼穿什麼
[00:05:28.240 --> 00:05:29.360]  這三個問題
[00:05:29.360 --> 00:05:32.720]  也許今天我們問的方法
[00:05:32.720 --> 00:05:35.280]  我們問的答案
[00:05:35.280 --> 00:05:36.720]  可能和當時
[00:05:36.720 --> 00:05:41.040]  二千年前的耶穌的社會有很大分別
[00:05:41.040 --> 00:05:42.240]  我們現在問的就是
[00:05:42.240 --> 00:05:43.200]  究竟吃什麼比較好
[00:05:43.200 --> 00:05:45.040]  哪家有新的菜式
[00:05:45.040 --> 00:05:47.600]  或者哪些比較合口味
[00:05:47.600 --> 00:05:52.400]  我們穿什麼衣服更加貼近時尚
[00:05:52.400 --> 00:05:54.080]  或者這些衣服
[00:05:54.080 --> 00:05:56.480]  怎樣更顯出我的身份
[00:05:56.480 --> 00:05:59.600]  或者顯出我的品味等等
[00:05:59.760 --> 00:06:03.760]  當時吃什麼喝什麼穿什麼
[00:06:03.760 --> 00:06:05.360]  是他們維持生命
[00:06:05.360 --> 00:06:07.360]  或大部分人維持生命
[00:06:07.360 --> 00:06:09.600]  每天需要想的問題
[00:06:09.600 --> 00:06:12.080]  對他們來說是很重要的
[00:06:12.080 --> 00:06:13.440]  是維生的問題
[00:06:13.440 --> 00:06:16.400]  你記得聖經舊約也有說
[00:06:16.400 --> 00:06:19.040]  在舊約時代的人
[00:06:19.040 --> 00:06:22.480]  他們可能窮到只有外衣
[00:06:22.480 --> 00:06:26.240]  所以舊約的律法很體貼地說
[00:06:26.480 --> 00:06:29.760]  如果你真的要拿他的衣服當當頭
[00:06:29.760 --> 00:06:31.360]  抵押品的話
[00:06:31.360 --> 00:06:32.240]  你晚上也要給他
[00:06:32.240 --> 00:06:35.200]  因為那件外衣是他唯一的財物
[00:06:35.200 --> 00:06:37.920]  然後他晚上要當被子
[00:06:37.920 --> 00:06:39.040]  否則他會冷死
[00:06:39.040 --> 00:06:43.840]  衣服不用說到耶穌的時代
[00:06:43.840 --> 00:06:45.200]  就算我們上一代
[00:06:45.200 --> 00:06:47.840]  都是一些很寶貴的東西
[00:06:47.840 --> 00:06:50.240]  我們小朋友過年
[00:06:50.240 --> 00:06:52.880]  很多一段很長的時間
[00:06:52.880 --> 00:06:55.280]  都是買一些去舊衣店裏面
[00:06:55.280 --> 00:06:57.840]  買一些比較新的衣服
[00:06:57.840 --> 00:07:01.680]  衣服成為家庭裏面的財產
[00:07:01.680 --> 00:07:04.880]  食物更加是基本的衛生要素
[00:07:04.880 --> 00:07:06.160]  耶穌現在告訴我們
[00:07:06.160 --> 00:07:09.120]  不要為這些事憂慮
[00:07:09.120 --> 00:07:14.320]  反而要將重點放在生命和身體
[00:07:14.320 --> 00:07:15.760]  更基本的
[00:07:15.760 --> 00:07:17.280]  你為了這些事情
[00:07:17.280 --> 00:07:19.040]  背後要達到的目的
[00:07:19.040 --> 00:07:20.640]  目的更加重要
[00:07:20.640 --> 00:07:23.440]  生命和身體
[00:07:23.440 --> 00:07:25.760]  這對我們更加重要
[00:07:25.760 --> 00:07:27.280]  因為大部份香港人
[00:07:27.280 --> 00:07:28.800]  我相信九成多的人
[00:07:28.800 --> 00:07:32.640]  都真的不能吃和不能穿
[00:07:32.640 --> 00:07:36.000]  不過我們同樣為食物
