
[00:00:00.000 --> 00:00:07.320]  請我們繼續打開路加福音第十九章
[00:00:07.320 --> 00:00:11.520]  我會讀下面兩節,即是45-48節
[00:00:11.520 --> 00:00:16.000]  如果有聖經就跟我一起讀,好嗎?
[00:00:16.000 --> 00:00:17.480]  45-48
[00:00:17.480 --> 00:00:22.600]  耶穌進了殿,說出裡頭作買賣的人,對他們說
[00:00:22.600 --> 00:00:29.600]  經上說:我的殿必作禱告的殿,你們都使它成為賊窩了
[00:00:29.600 --> 00:00:32.400]  耶穌天天在殿裡教訓人
[00:00:32.400 --> 00:00:37.200]  祭司長和文士與百姓的尊長都想要殺他
[00:00:37.200 --> 00:00:42.600]  但尋不出法子來,因為百姓都質疑聽他
[00:00:42.600 --> 00:00:45.600]  好像只有我一個人讀
[00:00:45.600 --> 00:00:55.600]  我將題目改為聖殿風雲,好像比較好看
[00:00:55.600 --> 00:00:59.600]  所以在秩序表上看到聖殿風雲
[00:00:59.600 --> 00:01:02.600]  請我們同心一起祈禱
[00:01:02.600 --> 00:01:07.200]  天父我再次感謝祢給我們寶貴的話語作為我們生命的指引
[00:01:07.200 --> 00:01:10.600]  求祢藉著祢的話語挑戰我們,警醒我們
[00:01:10.600 --> 00:01:13.600]  幫助我們,教導我們,改變我們
[00:01:13.600 --> 00:01:16.600]  奉耶穌基督命求,阿門
[00:01:16.600 --> 00:01:22.600]  在1990年10月8日,星期一
[00:01:22.600 --> 00:01:28.600]  以色列有一個組織叫做Temple Mount Faithful
[00:01:28.600 --> 00:01:32.600]  這個組織派了一群成員
[00:01:32.600 --> 00:01:35.600]  預備在這一天的十點半
[00:01:35.600 --> 00:01:38.600]  走到耶路撒冷Temple Mount的地方
[00:01:38.600 --> 00:01:44.600]  Temple Mount是以前以色列人的聖殿所在的地方
[00:01:44.600 --> 00:01:49.600]  但現在已經沒有聖殿,只有兩個很重要的回教寺
[00:01:49.600 --> 00:01:53.600]  這群人為什麼要在這一天走到Temple Mount呢?
[00:01:53.600 --> 00:01:59.600]  他們拿著一個石頭
[00:01:59.600 --> 00:02:03.600]  他們稱之為第三聖殿的防角石
[00:02:03.600 --> 00:02:05.600]  要放在那裡
[00:02:05.600 --> 00:02:13.600]  但當時在回教寺裡有很多的回教徒巴勒斯坦人在祈禱
[00:02:13.600 --> 00:02:19.600]  因為那裡不應該有猶太人在,所以就提出抗議
[00:02:19.600 --> 00:02:22.600]  於是就引起衝突
[00:02:22.600 --> 00:02:29.600]  當時有很多回教徒巴勒斯坦人出來抗議
[00:02:29.600 --> 00:02:33.600]  那裡有很多以色列的警察守衛著
[00:02:33.600 --> 00:02:37.600]  加以干預,引起武裝的衝突
[00:02:37.600 --> 00:02:42.600]  原來這群回教徒早已經帶了很多的石頭
[00:02:42.600 --> 00:02:48.600]  到聖殿山裡,就用石頭擲向警察
[00:02:48.600 --> 00:02:51.600]  警察就開始開槍
[00:02:51.600 --> 00:02:57.600]  在這次武裝暴動中,在混亂中
[00:02:57.600 --> 00:03:01.600]  現在上網都可以看到當時的圖片
[00:03:01.600 --> 00:03:04.600]  即是電視台的報告
[00:03:04.600 --> 00:03:13.600]  當時的巴勒斯坦信眾大聲喊叫
[00:03:13.600 --> 00:03:16.600]  阿拉卡巴,意思是真主偉大
[00:03:16.600 --> 00:03:19.600]  然後又說阿克,即是聖戰
[00:03:19.600 --> 00:03:22.600]  又說是屠殺猶太人
[00:03:22.600 --> 00:03:26.600]  於是警察就開槍鎮壓
[00:03:26.600 --> 00:03:30.600]  在這次暴動中,在這次蘇聯當中
[00:03:30.600 --> 00:03:34.600]  死了20個巴勒斯坦人,有150人受傷
[00:03:34.600 --> 00:03:39.600]  這就稱為黑色的星期日
[00:03:39.600 --> 00:03:46.600]  在猶太人的以色列歷史中,這是一件很引人注意的事
[00:03:46.600 --> 00:03:51.600]  這件事發生之後,很多人就開始有興趣
[00:03:51.600 --> 00:03:54.600]  就問究竟這個組織是一個什麼組織
[00:03:54.600 --> 00:03:59.600]  這個叫做Temple Mount Faithful究竟是什麼事
[00:03:59.600 --> 00:04:03.600]  原來這個組織是一群很保守的猶太人
[00:04:03.600 --> 00:04:07.600]  他們是屬於保守派的猶太教人士
[00:04:07.600 --> 00:04:09.600]  他們相信一件事
[00:04:09.600 --> 00:04:14.600]  他們相信今天的以色列仍然很小,很弱
[00:04:14.600 --> 00:04:17.600]  但有一天,有一個尼塞亞尼來到我們的時候
[00:04:17.600 --> 00:04:20.600]  以色列會成為一個強而大的強國
[00:04:20.600 --> 00:04:26.600]  這個尼塞亞尼的象徵,其中一個象徵是什麼呢?
[00:04:26.600 --> 00:04:31.600]  就是在這個聖殿山,這個回教廟的地址當中
[00:04:31.600 --> 00:04:34.600]  會重建第三個聖殿
[00:04:34.600 --> 00:04:37.600]  當這個第三個聖殿重建的時候
[00:04:37.600 --> 00:04:42.600]  就是以色列強大的時候,尼塞亞尼來到的時候
[00:04:42.600 --> 00:04:44.600]  所以為了促使這件事
[00:04:44.600 --> 00:04:52.600]  這個組織就要千方百計炸掉兩個回教寺
[00:04:52.600 --> 00:04:55.600]  然後在那裡重建他們所謂的第三個聖殿
[00:04:55.600 --> 00:05:02.600]  第三個聖殿對這些極端的猶太人來說
