
[00:00:00.000 --> 00:00:07.000]  新年快樂平安
[00:00:07.000 --> 00:00:13.000]  今日和大家講這段經文是按照教會的規定
[00:00:13.000 --> 00:00:15.000]  是講勞駕福音
[00:00:15.000 --> 00:00:17.000]  本來我有幾段的
[00:00:17.000 --> 00:00:19.000]  我有幾篇要講
[00:00:19.000 --> 00:00:24.000]  這篇是未講過的
[00:00:24.000 --> 00:00:29.000]  不死的盼望這段經文大家剛才讀過
[00:00:29.000 --> 00:00:31.000]  但聖經不要蓋過
[00:00:31.000 --> 00:00:33.000]  因為這段經文
[00:00:33.000 --> 00:00:37.000]  你不知道整段經文是講什麼
[00:00:37.000 --> 00:00:44.000]  路交方十二章前面是講到不要擔憂衣食
[00:00:44.000 --> 00:00:49.000]  由不要擔憂衣食去到三十一節
[00:00:49.000 --> 00:00:53.000]  三十一節總結
[00:00:53.000 --> 00:00:59.000]  只要求他國,這些東西就必加給你們了
[00:00:59.000 --> 00:01:08.000]  馬大夫音六章三十三節
[00:01:08.000 --> 00:01:12.000]  你們先求他國和他的義
[00:01:12.000 --> 00:01:16.000]  上帝一切的東西就會給你們
[00:01:16.000 --> 00:01:19.000]  我們先求上帝國和他的義
[00:01:19.000 --> 00:01:25.000]  這就是前面總結後開始講三十二節
[00:01:25.000 --> 00:01:28.000]  三十二節開始怎樣講呢
[00:01:28.000 --> 00:01:31.000]  不要懼怕
[00:01:31.000 --> 00:01:37.000]  這個簡體字不太好看
[00:01:37.000 --> 00:01:38.000]  看繁體字吧
[00:01:38.000 --> 00:01:40.000]  我們喜歡繁體字
[00:01:40.000 --> 00:01:45.000]  三十二節說不要懼怕
[00:01:45.000 --> 00:01:48.000]  我們父樂義將國賜給你們
[00:01:48.000 --> 00:01:49.000]  這是承接前面的
[00:01:49.000 --> 00:01:52.000]  不要擔心先求上帝國和上帝義
[00:01:52.000 --> 00:01:54.000]  一切好處都給我們
[00:01:54.000 --> 00:01:56.000]  我們不要懼怕
[00:01:56.000 --> 00:01:58.000]  上帝樂義將國賜給我們
[00:01:58.000 --> 00:02:00.000]  這是承接前面的一節
[00:02:00.000 --> 00:02:03.000]  這段經文完結後
[00:02:03.000 --> 00:02:06.000]  就是講到善瀆和惡瀆
[00:02:06.000 --> 00:02:11.000]  彼得說究竟這段經文是和我們講還是和什麼人講呢
[00:02:11.000 --> 00:02:15.000]  耶穌說哪一個是忠心的僕人
[00:02:15.000 --> 00:02:18.000]  這段經文之後我們會交代
[00:02:18.000 --> 00:02:21.000]  這段經文由三十二到四十節
[00:02:21.000 --> 00:02:23.000]  我們分三段去講
[00:02:23.000 --> 00:02:26.000]  第一段是講到盼望的角度
[00:02:26.000 --> 00:02:28.000]  今天沒有圖片看
[00:02:28.000 --> 00:02:29.000]  只是經文
[00:02:29.000 --> 00:02:34.000]  盼望的角度是由三十二到三十四節
[00:02:34.000 --> 00:02:36.000]  三十二到三十四節
[00:02:36.000 --> 00:02:37.000]  這是第一段
[00:02:37.000 --> 00:02:41.000]  第二段是盼望的人生
[00:02:41.000 --> 00:02:45.000]  盼望的人生是由三十五節
[00:02:45.000 --> 00:02:47.000]  即是前面的三十五節
[00:02:47.000 --> 00:02:49.000]  到三十七節
[00:02:49.000 --> 00:02:52.000]  第三段是盼望的等候
[00:02:52.000 --> 00:02:54.000]  構成了這篇講章
[00:02:54.000 --> 00:02:56.000]  不死的盼望
[00:02:56.000 --> 00:03:00.000]  路加夫音是一本很獨特的書
[00:03:00.000 --> 00:03:03.000]  我相信其他同工已經交代過很多次
[00:03:03.000 --> 00:03:10.000]  耶穌基督特別照顧到弱勢群體孤兒寡婦
[00:03:10.000 --> 00:03:12.000]  還有很有憐憫的
[00:03:12.000 --> 00:03:13.000]  憐憫這個字
[00:03:13.000 --> 00:03:14.000]  passion這個字
[00:03:14.000 --> 00:03:16.000]  在路加出了很多次
[00:03:16.000 --> 00:03:21.000]  當耶穌和這群門徒相處的時候
[00:03:21.000 --> 00:03:24.000]  當時的門徒見到很多困難
[00:03:24.000 --> 00:03:26.000]  那些人對耶穌的態度
[00:03:26.000 --> 00:03:33.000]  還有耶穌在幾處地方被法利賽人
[00:03:33.000 --> 00:03:36.000]  被權貴驅逐
[00:03:36.000 --> 00:03:38.000]  耶穌是很辛苦的
[00:03:38.000 --> 00:03:41.000]  路加特別記載耶穌是終日勞碌的
[00:03:41.000 --> 00:03:45.000]  不過有些婦女去接待他幫助他
[00:03:45.000 --> 00:03:49.000]  所以耶穌是一個在人看來很基層
[00:03:49.000 --> 00:03:54.000]  不是很有能力
[00:03:54.000 --> 00:03:59.000]  和馬太所描述的角度上是有點不同的
[00:03:59.000 --> 00:04:03.000]  這一篇講章主要是提到
