
[00:00:00.000 --> 00:00:06.000]  好 感謝神給我這個機會
[00:00:06.000 --> 00:00:09.000]  在這裡宣講上帝的說話
[00:00:09.000 --> 00:00:11.000]  這次是挺特別的
[00:00:11.000 --> 00:00:14.000]  我來到那裡都是坐滿了人
[00:00:14.000 --> 00:00:17.000]  這次大家坐在家裏
[00:00:17.000 --> 00:00:20.000]  同樣也不會影響大家的健康
[00:00:20.000 --> 00:00:23.000]  我出了一個題目
[00:00:23.000 --> 00:00:26.000]  其實後來覺得有點古怪
[00:00:26.000 --> 00:00:28.000]  好像多謝都沒有聲音
[00:00:28.000 --> 00:00:30.000]  說什麼呢?
[00:00:30.000 --> 00:00:32.000]  這個其實是我看一段經文的時候
[00:00:32.000 --> 00:00:34.000]  第一個感覺
[00:00:34.000 --> 00:00:37.000]  如果大家誠實地看剛才讀的經文
[00:00:37.000 --> 00:00:40.000]  你試一下找寶來講多個謝
[00:00:40.000 --> 00:00:42.000]  你是找不到的
[00:00:42.000 --> 00:00:43.000]  你讀完整篇了
[00:00:43.000 --> 00:00:46.000]  你不覺得它有一點謝意
[00:00:46.000 --> 00:00:49.000]  我就想利用這段時間
[00:00:49.000 --> 00:00:52.000]  看看究竟為什麼它會這樣寫東西
[00:00:52.000 --> 00:00:54.000]  我先講我自己
[00:00:54.000 --> 00:00:58.000]  我是在澳門出生的
[00:00:58.000 --> 00:01:00.000]  所以我是澳門人
[00:01:00.000 --> 00:01:02.000]  大家都知道澳門這幾年
[00:01:02.000 --> 00:01:04.000]  每年都有錢派
[00:01:04.000 --> 00:01:09.000]  有時派一萬 有時多過一萬
[00:01:09.000 --> 00:01:11.000]  去年不是挺好的情景
[00:01:11.000 --> 00:01:13.000]  還要給你一些消費卡
[00:01:13.000 --> 00:01:16.000]  加起來就一萬多二萬元
[00:01:16.000 --> 00:01:19.000]  從來沒有一個人知道我是在澳門出生的
[00:01:19.000 --> 00:01:21.000]  從來沒有一個人問我
[00:01:21.000 --> 00:01:24.000]  很感謝澳門的特首
[00:01:24.000 --> 00:01:26.000]  沒有人會問的
[00:01:26.000 --> 00:01:28.000]  我相信大家香港人
[00:01:28.000 --> 00:01:31.000]  過往應該都收到一萬元
[00:01:31.000 --> 00:01:35.000]  又或者你坐車的車費超過某個限額
[00:01:35.000 --> 00:01:39.000]  你去地鐵機上拿一點補貼的時候
[00:01:39.000 --> 00:01:44.000]  你有沒有寫張卡多謝林鄭月娥女士
[00:01:44.000 --> 00:01:45.000]  我們沒有做的
[00:01:45.000 --> 00:01:46.000]  我們不會多謝
[00:01:46.000 --> 00:01:49.000]  為什麼? 這些是我們的錢
[00:01:49.000 --> 00:01:51.000]  給我們是應該的
[00:01:51.000 --> 00:01:54.000]  所以不會覺得抱歉
[00:01:54.000 --> 00:01:56.000]  也不會覺得不好意思
[00:01:56.000 --> 00:01:59.000]  為什麼不多謝我們兩位特首
[00:01:59.000 --> 00:02:04.000]  不過這樣 保羅在這裡就不是
