
[00:00:00.000 --> 00:00:09.000]  《文素記》是摩西五經的第四部書
[00:00:09.000 --> 00:00:13.000]  所謂創出利民生
[00:00:13.000 --> 00:00:19.000]  創世記、出埃及記、利未記、文素記和生命記
[00:00:19.000 --> 00:00:27.000]  我不會用很多時間去講摩西就是摩西五經的作者
[00:00:27.000 --> 00:00:31.000]  因為在新約裏面耶穌基督講得很清楚
[00:00:31.000 --> 00:00:34.000]  說是摩西的律法
[00:00:34.000 --> 00:00:37.000]  如果耶穌基督說律法書是摩西的律法
[00:00:37.000 --> 00:00:39.000]  是摩西所寫
[00:00:39.000 --> 00:00:42.000]  相信我們就應該相信
[00:00:42.000 --> 00:00:45.000]  如果我們不相信耶穌基督的話
[00:00:45.000 --> 00:00:50.000]  我們就有一個更加大的問題需要去面對
[00:00:50.000 --> 00:00:53.000]  我們講到文素記
[00:00:53.000 --> 00:00:56.000]  很多人對文素記都沒有什麼好感
[00:00:56.000 --> 00:00:59.000]  以前都跟大家講過
[00:00:59.000 --> 00:01:03.000]  讀聖經的話讀到創世記就很開心
[00:01:03.000 --> 00:01:05.000]  出埃及記都很快樂
[00:01:05.000 --> 00:01:09.000]  去到利未記就開始有些阻滯
[00:01:09.000 --> 00:01:15.000]  去到文素記就很多人都出不到礦野
[00:01:15.000 --> 00:01:18.000]  死在礦野就不會再讀了
[00:01:18.000 --> 00:01:21.000]  印象都不是那麼好
[00:01:21.000 --> 00:01:23.000]  經常記得的是什麼
[00:01:23.000 --> 00:01:27.000]  是以色列人在礦野漂流的四十年
[00:01:27.000 --> 00:01:30.000]  一筆一筆的漂流
[00:01:30.000 --> 00:01:34.000]  最後死在礦野當中
[00:01:34.000 --> 00:01:39.000]  令人非常沉悶非常頹喪
[00:01:39.000 --> 00:01:44.000]  新年來還講文素記
[00:01:44.000 --> 00:01:49.000]  其實文素記和新年是有關的
[00:01:49.000 --> 00:01:52.000]  大家可能不知道文素記和新年是有關的
[00:01:52.000 --> 00:01:54.000]  我們一起來看看
[00:01:54.000 --> 00:02:00.000]  其實整個摩西五經都和新的開始和誕生有關
[00:02:00.000 --> 00:02:03.000]  創世記就最簡單
[00:02:03.000 --> 00:02:07.000]  是所有被造之物的誕生
[00:02:07.000 --> 00:02:10.000]  一切神所造的誕生
[00:02:10.000 --> 00:02:15.000]  在神所誕生中包括人類
[00:02:15.000 --> 00:02:23.000]  在人類當中神又揀選了一個民族
[00:02:23.000 --> 00:02:26.000]  這個就是出埃及記
[00:02:26.000 --> 00:02:28.000]  出埃及記的時候
[00:02:28.000 --> 00:02:31.000]  以色列人已經變成一個民族
[00:02:31.000 --> 00:02:33.000]  當他們進入埃及的時候
