
[00:00:00.000 --> 00:00:02.240]  今天給的題目叫做
[00:00:02.240 --> 00:00:05.920]  神交給我們的屬靈清單
[00:00:05.920 --> 00:00:08.760]  清單就是英文所說的
[00:00:08.760 --> 00:00:11.040]  spiritual checklist
[00:00:11.040 --> 00:00:12.240]  是一個checklist
[00:00:12.240 --> 00:00:13.920]  check著我們自己
[00:00:13.920 --> 00:00:15.200]  也是好的
[00:00:15.200 --> 00:00:17.000]  一年開始的時候
[00:00:17.000 --> 00:00:18.560]  我們就向前有一個方向
[00:00:18.560 --> 00:00:19.760]  有一個標準
[00:00:19.760 --> 00:00:22.160]  希望我們今年時常都將
[00:00:22.160 --> 00:00:25.440]  這個屬靈的清單放在我們的心裡面
[00:00:25.440 --> 00:00:27.000]  時常提醒
[00:00:27.000 --> 00:00:28.400]  也對照一下
[00:00:28.400 --> 00:00:29.760]  這個清單是什麼呢?
[00:00:29.760 --> 00:00:31.000]  當然你也知道了
[00:00:31.000 --> 00:00:32.400]  就是今天我們會說的
[00:00:32.400 --> 00:00:35.280]  聖靈所結的果子
[00:00:35.280 --> 00:00:36.880]  那麼有多少個果子呢?
[00:00:36.880 --> 00:00:38.480]  九個
[00:00:38.480 --> 00:00:39.720]  不是七個
[00:00:39.720 --> 00:00:41.800]  有些弟兄姊妹說什麼都是七個
[00:00:41.800 --> 00:00:42.360]  不是的
[00:00:42.360 --> 00:00:43.560]  九個
[00:00:43.560 --> 00:00:44.520]  有時是九個
[00:00:44.520 --> 00:00:45.560]  不是一定是七個
[00:00:45.560 --> 00:00:47.680]  九個聖靈所結的果子
[00:00:47.680 --> 00:00:50.240]  會成為我們希望今年我們
[00:00:50.240 --> 00:00:51.320]  提醒自己
[00:00:51.320 --> 00:00:52.840]  又時常提醒著
[00:00:52.840 --> 00:00:56.920]  我們身邊的弟兄姊妹的清單
[00:00:56.920 --> 00:00:58.440]  那麼這個清單呢
[00:00:58.440 --> 00:01:00.440]  既然是送給大家
[00:01:00.440 --> 00:01:01.200]  不是我送的
[00:01:01.200 --> 00:01:02.040]  我沒有資格送
[00:01:02.040 --> 00:01:03.040]  轉送
[00:01:03.040 --> 00:01:05.600]  在神的話語裡面送給你們的時候
[00:01:05.600 --> 00:01:07.400]  我們試一下有一點點的要求
[00:01:07.400 --> 00:01:09.960]  就是我們今天崇拜完的時候
[00:01:09.960 --> 00:01:11.440]  我們背了它好不好?
[00:01:11.440 --> 00:01:13.120]  背了這九個
[00:01:13.120 --> 00:01:15.440]  九個屬靈所結的果子
[00:01:15.440 --> 00:01:16.200]  不難背的
[00:01:16.200 --> 00:01:17.920]  這些小學的東西而已
[00:01:17.920 --> 00:01:19.240]  弟兄姊妹開始
[00:01:19.240 --> 00:01:21.040]  馬上想背不用急的
[00:01:21.040 --> 00:01:21.960]  一定能背的
[00:01:21.960 --> 00:01:24.800]  待會我教你不是念口往地背
[00:01:24.800 --> 00:01:26.720]  念口往地背是沒什麼意思的
[00:01:26.720 --> 00:01:28.640]  唱歌仔背是沒什麼意思的
[00:01:28.640 --> 00:01:31.480]  其實我們知道裡面的意思
[00:01:31.480 --> 00:01:32.360]  內容
[00:01:32.360 --> 00:01:33.840]  每一個果子
[00:01:33.840 --> 00:01:35.080]  有一個印象
[00:01:35.080 --> 00:01:36.480]  然後我們把它分類
[00:01:36.480 --> 00:01:37.160]  待會告訴你
[00:01:37.160 --> 00:01:38.160]  是很容易背的
[00:01:38.160 --> 00:01:39.080]  一定能背的
[00:01:39.080 --> 00:01:40.120]  背了再出去
[00:01:40.120 --> 00:01:40.760]  好不好?
[00:01:40.760 --> 00:01:42.920]  這成為我們一點點的功課
[00:01:42.920 --> 00:01:45.040]  也成為我們今年的一個目標
[00:01:45.040 --> 00:01:45.640]  好
[00:01:45.640 --> 00:01:48.880]  我們打開這個加拉太書的時候
[00:01:48.880 --> 00:01:49.720]  我們看到
[00:01:49.720 --> 00:01:52.000]  當然是第22至23節
[00:01:52.000 --> 00:01:53.600]  記載了這九個
[00:01:53.600 --> 00:01:55.600]  聖靈所結的果子
[00:01:55.600 --> 00:01:58.320]  但是為什麼今天我們從第16節開始讀呢?
[00:01:58.320 --> 00:02:00.000]  因為聖經告訴我們
[00:02:00.000 --> 00:02:03.760]  這段聖經和聖靈所結的果子是分不開的
[00:02:03.760 --> 00:02:05.840]  一定要一起來了解
[00:02:05.840 --> 00:02:08.880]  所以我們說這九個果子之前
[00:02:08.880 --> 00:02:11.960]  我們先跟大家看看
[00:02:11.960 --> 00:02:14.280]  前面這段聖經所說的話
[00:02:14.280 --> 00:02:17.520]  這裡我很想跟大家特別留意三個
[00:02:17.520 --> 00:02:19.840]  很重要的真理
[00:02:19.840 --> 00:02:22.360]  第一樣
[00:02:24.680 --> 00:02:26.240]  大家有沒有留意呢?
[00:02:26.240 --> 00:02:27.960]  我們剛剛所說的是
[00:02:27.960 --> 00:02:31.240]  聖靈所結的果子
[00:02:31.240 --> 00:02:33.440]  這麼長的名稱
[00:02:33.440 --> 00:02:36.480]  去描述那九樣美德
[00:02:36.480 --> 00:02:38.280]  其實如果你看那九樣美德
[00:02:38.280 --> 00:02:40.360]  有些大英姐妹稍微背得了一下
[00:02:40.360 --> 00:02:41.760]  背不完也背得了一下
[00:02:41.760 --> 00:02:45.680]  有人愛、喜樂、節制
[00:02:45.680 --> 00:02:47.840]  這些美德坦白說
[00:02:47.840 --> 00:02:49.000]  有沒有信仰
[00:02:49.000 --> 00:02:53.480]  是不是基督徒都應該去努力讓自己修為
[00:02:53.480 --> 00:02:54.600]  修煉
[00:02:54.600 --> 00:02:57.840]  或者至少讓自己做得好一點
[00:02:57.840 --> 00:02:59.560]  我們都希望能夠忍耐
[00:02:59.560 --> 00:03:01.280]  今年希望多點忍耐
[00:03:01.280 --> 00:03:02.840]  今年希望多點節制
[00:03:02.840 --> 00:03:06.000]  今年希望自己多點仁愛、良善
[00:03:06.000 --> 00:03:07.640]  這些都是好事
[00:03:07.640 --> 00:03:11.000]  但是究竟在信仰裡面
[00:03:11.000 --> 00:03:12.880]  在我們的信仰裡面
[00:03:12.880 --> 00:03:14.640]  作為一個基督徒
[00:03:14.640 --> 00:03:16.120]  這些美德
[00:03:16.120 --> 00:03:19.800]  和一般我們所了解的這些行為上的
[00:03:19.800 --> 00:03:21.600]  美德這些性格
[00:03:21.600 --> 00:03:24.080]  有沒有不同呢?
[00:03:24.080 --> 00:03:26.440]  當然有更深刻的意思
[00:03:26.440 --> 00:03:28.480]  深刻在哪裡呢?
[00:03:28.480 --> 00:03:31.400]  我們首先第一件真的要留意的
[00:03:31.400 --> 00:03:33.360]  就是從這個名字開始
[00:03:33.360 --> 00:03:36.760]  他們是聖靈所結的果子
[00:03:36.760 --> 00:03:40.720]  不是普通人格的美德修養
[00:03:40.720 --> 00:03:44.440]  為什麼叫做聖靈所結的果子呢?
[00:03:44.440 --> 00:03:46.520]  這裡其實很清楚
[00:03:46.520 --> 00:03:50.520]  用了一個植物的比喻
[00:03:50.520 --> 00:03:51.600]  果子嘛
[00:03:51.600 --> 00:03:53.200]  Fruits
[00:03:53.200 --> 00:03:56.000]  果子是由一棵植物生出來的
[00:03:56.000 --> 00:03:57.480]  所以那些美德
[00:03:57.480 --> 00:04:00.760]  只是一個最後的結果和表現
[00:04:00.760 --> 00:04:04.720]  重點在乎那棵植物的重心
[00:04:04.720 --> 00:04:07.240]  是聖靈在一個人
[00:04:07.240 --> 00:04:09.440]  在你和我的心裡面
[00:04:09.440 --> 00:04:13.360]  滋潤生長出來的結果
[00:04:13.360 --> 00:04:15.200]  所以我們記住
[00:04:15.200 --> 00:04:15.920]  今天呢
[00:04:15.920 --> 00:04:17.400]  待會我當然要求大家
[00:04:17.400 --> 00:04:19.280]  在這些不同的美德上
[00:04:19.280 --> 00:04:20.120]  我們要努力
[00:04:20.120 --> 00:04:21.080]  我們也要努力的
[00:04:21.080 --> 00:04:22.640]  不用坐在這裡
[00:04:22.640 --> 00:04:23.680]  自己會有的
[00:04:23.680 --> 00:04:24.400]  不過
[00:04:24.400 --> 00:04:27.160]  最基本的基礎
[00:04:27.160 --> 00:04:30.240]  是在於我們裡面有沒有這種生命
[00:04:30.240 --> 00:04:31.400]  有這種生命
[00:04:31.400 --> 00:04:33.720]  是滋長這些果實
[00:04:33.720 --> 00:04:37.000]  所以這個聖靈在我們生命裡面
[00:04:37.000 --> 00:04:39.960]  更加是基礎和重要
[00:04:39.960 --> 00:04:42.440]  怪不得他講這些果子之前
[00:04:42.440 --> 00:04:44.160]  有一大段是講聖靈的
[00:04:44.160 --> 00:04:44.760]  是不是?
[00:04:44.760 --> 00:04:46.480]  待會我們會再提一提
[00:04:46.480 --> 00:04:49.080]  這個很明顯
[00:04:49.080 --> 00:04:52.040]  是要我們特別提醒自己的
[00:04:52.040 --> 00:04:55.480]  我們不僅僅像普通人那樣
[00:04:55.480 --> 00:04:57.320]  去收養我們自己
[00:04:57.320 --> 00:04:58.880]  我們要更加明白
[00:04:58.880 --> 00:05:02.640]  我們裡面的生命究竟如何
[00:05:02.640 --> 00:05:03.920]  一個好的生命
[00:05:03.920 --> 00:05:05.360]  滋長出好的果子
[00:05:05.360 --> 00:05:06.920]  這個聖經講了很多次
[00:05:06.920 --> 00:05:09.400]  就好像我們今天吃橙
[00:05:09.400 --> 00:05:10.960]  在街上買橙
[00:05:10.960 --> 00:05:13.840]  在街市、水果店買
[00:05:13.840 --> 00:05:14.960]  多數都很甜的
[00:05:14.960 --> 00:05:15.360]  是不是?
[00:05:15.360 --> 00:05:16.440]  現在橙很甜的
[00:05:16.440 --> 00:05:17.280]  為什麼呢?
[00:05:17.280 --> 00:05:19.320]  其實我們知道的
[00:05:19.320 --> 00:05:21.840]  因為它慢慢慢慢變的
[00:05:21.840 --> 00:05:23.400]  像我這種年紀你就知道了
[00:05:23.400 --> 00:05:24.240]  三四十年前
[00:05:24.240 --> 00:05:25.280]  橙很酸的
[00:05:25.280 --> 00:05:25.920]  是不是?
[00:05:25.920 --> 00:05:27.080]  吃到的橙都酸的
[00:05:27.080 --> 00:05:28.440]  又有口皮又有核的
[00:05:28.440 --> 00:05:29.240]  是不是?
[00:05:29.240 --> 00:05:31.120]  但是今天多數買的橙是甜的
[00:05:31.120 --> 00:05:31.720]  為什麼呢?
[00:05:31.720 --> 00:05:34.640]  因為那棵樹慢慢慢慢改造了
[00:05:34.640 --> 00:05:39.680]  它裡面那種生命生出來的甜的橙
[00:05:39.680 --> 00:05:40.680]  同樣的
[00:05:40.680 --> 00:05:44.120]  生命生出來的結果才是這些果子
[00:05:44.120 --> 00:05:45.680]  果子是結果
[00:05:45.680 --> 00:05:47.680]  那棵樹是核心
[00:05:47.680 --> 00:05:51.240]  所以一定要明白這個重要的分別
[00:05:51.240 --> 00:05:53.440]  我記得幾年前有一位年輕人
