
[00:00:00.000 --> 00:00:05.000]  各位電影節目的各位朋友你們好
[00:00:05.000 --> 00:00:11.000]  歡迎大家參加我們三藩市報道會的網上五堂崇拜
[00:00:11.000 --> 00:00:14.000]  我們今天繼續思想啟示錄的訊息
[00:00:14.000 --> 00:00:18.000]  我們來到啟示錄第十九章六節至十六節
[00:00:18.000 --> 00:00:21.000]  題目是叫做最後勝利
[00:00:21.000 --> 00:00:24.000]  在還沒開始討論這段聖經之前
[00:00:24.000 --> 00:00:26.000]  請我們同心低頭我們禱告
[00:00:26.000 --> 00:00:29.000]  慈悲人為天父我們滿心感謝你
[00:00:29.000 --> 00:00:33.000]  因為我們知道你是萬王之王萬主之主
[00:00:33.000 --> 00:00:37.000]  你會來到西廂打敗這個敵基督
[00:00:37.000 --> 00:00:41.000]  建立新天新地掌管王權
[00:00:41.000 --> 00:00:43.000]  我們感謝你
[00:00:43.000 --> 00:00:45.000]  求你讓我們在黑暗的時代
[00:00:45.000 --> 00:00:47.000]  仍然用信心仰望你
[00:00:47.000 --> 00:00:50.000]  又用你自己的話語去提醒
[00:00:50.000 --> 00:00:54.000]  勸勉安慰督責改變我們的生命
[00:00:54.000 --> 00:00:56.000]  改變我們的看法
[00:00:56.000 --> 00:00:59.000]  我們今天禱告是奉耶穌基督的名教
[00:00:59.000 --> 00:01:01.000]  阿們
[00:01:01.000 --> 00:01:05.000]  我在1946年2月17日出生
[00:01:05.000 --> 00:01:08.000]  即是農曆年的正月十六日
[00:01:08.000 --> 00:01:12.000]  我記得我小時候不少的長輩都對我說
[00:01:12.000 --> 00:01:15.000]  榮耀你真的很幸福
[00:01:15.000 --> 00:01:20.000]  抗戰的時候你仍然可以躲在你媽媽的肚子裡
[00:01:20.000 --> 00:01:23.000]  不用經歷艱辛的日子
[00:01:23.000 --> 00:01:26.000]  一出生天下太平了
[00:01:26.000 --> 00:01:29.000]  我本來以為他們說的很對
[00:01:29.000 --> 00:01:33.000]  但年紀漸大對歷史稍有認識
[00:01:33.000 --> 00:01:37.000]  我心中不禁起了疑問
[00:01:37.000 --> 00:01:39.000]  我是不是真的這麼幸福呢?
[00:01:39.000 --> 00:01:42.000]  問題其實不是這麼簡單
[00:01:42.000 --> 00:01:44.000]  1945年9月2日
[00:01:44.000 --> 00:01:51.000]  日本政府代表正式在美國密蘇里號巡洋艦簽署函書
[00:01:51.000 --> 00:01:54.000]  當時中國舉國歡慶
[00:01:54.000 --> 00:01:58.000]  國民政府定在9月3日為紀念日
[00:01:58.000 --> 00:02:02.000]  在這天蔣介石政府積極籌備祝節大會
[00:02:02.000 --> 00:02:06.000]  上午在培都重慶鳴放禮炮一百零一響
[00:02:06.000 --> 00:02:11.000]  蔣介石率領文武百官向東面垂手
[00:02:11.000 --> 00:02:18.000]  以朝向南京的鐘山陵並向全國發表勝利的文告
[00:02:18.000 --> 00:02:20.000]  蔣介石的說法
