
[00:00:00.000 --> 00:00:12.000]  很多人對於信耶穌的看法都是帶著一種傳統宗教觀去相信的
[00:00:12.000 --> 00:00:21.000]  信耶穌只不過是一種類同於得到一個護身符的信仰模式
[00:00:21.000 --> 00:00:23.000]  護身符的意思是什麼呢?
[00:00:23.000 --> 00:00:25.000]  就是有事的時候就可以用
[00:00:25.000 --> 00:00:32.000]  例如大家有沒有看過一些武俠電影
[00:00:32.000 --> 00:00:38.000]  通常武俠電影對於徒弟都會說
[00:00:38.000 --> 00:00:40.000]  你已經學師完成了
[00:00:40.000 --> 00:00:45.000]  現在要下山去闖蕩江湖
[00:00:45.000 --> 00:00:47.000]  不只是在師父身邊
[00:00:47.000 --> 00:00:51.000]  不過師父就沒辦法再和你一起
[00:00:51.000 --> 00:00:56.000]  因此師父就賜你一道錦囊
[00:00:56.000 --> 00:00:59.000]  這道錦囊什麼時候用呢?
[00:00:59.000 --> 00:01:01.000]  不要隨便開啊
[00:01:01.000 --> 00:01:05.000]  當你有真的危急到一個地步
[00:01:05.000 --> 00:01:07.000]  不開不得的時候
[00:01:07.000 --> 00:01:09.000]  你就才開這個錦囊
[00:01:09.000 --> 00:01:14.000]  你就能夠知道有什麼方法去面對
[00:01:14.000 --> 00:01:16.000]  笑話說
[00:01:16.000 --> 00:01:19.000]  通常錦囊要打開的時候
[00:01:19.000 --> 00:01:21.000]  裡面師父只有一句話
[00:01:21.000 --> 00:01:25.000]  寫著「死定啦」
[00:01:25.000 --> 00:01:28.000]  我們上帝是不是這樣呢?
[00:01:28.000 --> 00:01:31.000]  不過很多信徒都是這樣相信耶穌的
[00:01:31.000 --> 00:01:36.000]  相信耶穌是一道護身符一樣
[00:01:36.000 --> 00:01:38.000]  你說不是的牧師
[00:01:38.000 --> 00:01:40.000]  我們教會不是這樣的
[00:01:40.000 --> 00:01:42.000]  我們作為信徒很清楚信主的
[00:01:42.000 --> 00:01:45.000]  不過是不是呢?
[00:01:45.000 --> 00:01:47.000]  只要問一條問題就知道了
[00:01:47.000 --> 00:01:49.000]  你會不會經常留意到
[00:01:49.000 --> 00:01:52.000]  你自己去和別人傳講上帝的時候
[00:01:52.000 --> 00:01:55.000]  你都一定不斷地重複地說
[00:01:55.000 --> 00:01:58.000]  這個上帝是無所不能
[00:01:58.000 --> 00:01:59.000]  全能的主
[00:01:59.000 --> 00:02:01.000]  大能大力
[00:02:01.000 --> 00:02:05.000]  如果你在這樣的思想栽培之下
[00:02:05.000 --> 00:02:06.000]  我不怪
[00:02:06.000 --> 00:02:08.000]  因為我在教會生活了三十多年
[00:02:08.000 --> 00:02:10.000]  我都發覺教會很喜歡
[00:02:10.000 --> 00:02:12.000]  傳揚這件事
[00:02:12.000 --> 00:02:16.000]  用上帝我們相信的耶和華神
[00:02:16.000 --> 00:02:19.000]  是這個世界上唯一最有能力的主
[00:02:19.000 --> 00:02:22.000]  有需要他一定幫你
[00:02:22.000 --> 00:02:25.000]  如果我們用這種思想去傳道
[00:02:25.000 --> 00:02:28.000]  甚至連我們自己都這樣相信的時候
[00:02:28.000 --> 00:02:30.000]  很自然你會走進去
[00:02:30.000 --> 00:02:31.000]  剛才我所說
[00:02:31.000 --> 00:02:34.000]  當上帝只是一個護身符一樣
[00:02:34.000 --> 00:02:37.000]  因為如果你不是認為祂最強的那個
[00:02:37.000 --> 00:02:39.000]  你有什麼作用
[00:02:39.000 --> 00:02:44.000]  你只相信上帝在危急存亡的時候
[00:02:44.000 --> 00:02:46.000]  祂才發揮祂的功用
[00:02:46.000 --> 00:02:48.000]  簡單來說
[00:02:48.000 --> 00:02:52.000]  我們視上帝只不過是一個功能
[00:02:52.000 --> 00:02:55.000]  我沒有視上帝是一個我們的主
