
[00:00:00.000 --> 00:00:07.000]  有時候我們很多慣用的說話
[00:00:07.000 --> 00:00:10.000]  需要想深一層
[00:00:10.000 --> 00:00:15.000]  神的道為何要釋放出來呢?
[00:00:15.000 --> 00:00:21.000]  聖經用的字眼是解開,不是釋放
[00:00:21.000 --> 00:00:23.000]  很不同的意思
[00:00:23.000 --> 00:00:26.000]  釋放即是有人捆綁了神的道
[00:00:26.000 --> 00:00:31.000]  誰有這樣的權力和能力去捆綁神的真理
[00:00:31.000 --> 00:00:34.000]  釋放我們的心靈還說得通
[00:00:34.000 --> 00:00:36.000]  有時候我們自己蒙蔽了自己
[00:00:36.000 --> 00:00:40.000]  剛才讀以賽雅書第六章
[00:00:40.000 --> 00:00:43.000]  那裡說先知以賽雅剛剛舉了手
[00:00:43.000 --> 00:00:45.000]  上帝呼召她說
[00:00:45.000 --> 00:00:47.000]  我在這裡請差遣我
[00:00:47.000 --> 00:00:48.000]  上帝原來告訴她
[00:00:48.000 --> 00:00:49.000]  你去傳道吧
[00:00:49.000 --> 00:00:53.000]  但是人們恐怕自己聽得見
[00:00:53.000 --> 00:00:54.000]  有時候很多這些字眼
[00:00:54.000 --> 00:00:55.000]  我們用得很多
[00:00:55.000 --> 00:00:59.000]  我們沒有仔細去思想
[00:00:59.000 --> 00:01:01.000]  另外一句很容易
[00:01:01.000 --> 00:01:03.000]  希望你不會這樣說
[00:01:03.000 --> 00:01:04.000]  為講完祈禱的時候
[00:01:04.000 --> 00:01:06.000]  你求神只是高抹他的口
[00:01:06.000 --> 00:01:08.000]  潔淨他的口
[00:01:08.000 --> 00:01:10.000]  只是用口來服侍神
[00:01:10.000 --> 00:01:12.000]  是不可以的
[00:01:12.000 --> 00:01:14.000]  神高抹的是整個人
[00:01:14.000 --> 00:01:16.000]  神潔淨的是整個人
[00:01:16.000 --> 00:01:20.000]  我不是掛塊布剪個洞突出個口
[00:01:20.000 --> 00:01:22.000]  我不是跟你講道的
[00:01:22.000 --> 00:01:25.000]  是吧
[00:01:25.000 --> 00:01:28.000]  回到正題一點
[00:01:28.000 --> 00:01:31.000]  我們時時都很容易有一個錯覺
[00:01:31.000 --> 00:01:34.000]  我們認為上帝來到這個世界
[00:01:34.000 --> 00:01:37.000]  耶穌基督釘在十字架上
[00:01:37.000 --> 00:01:40.000]  全部是為我們
[00:01:40.000 --> 00:01:42.000]  救主寫命為我
[00:01:42.000 --> 00:01:44.000]  這個就不只是我們的問題
[00:01:44.000 --> 00:01:48.000]  很多詩歌都是這樣唱的
[00:01:48.000 --> 00:01:50.000]  有時候這個觀念
[00:01:50.000 --> 00:01:52.000]  你想深一層
[00:01:52.000 --> 00:01:55.000]  我們是誰
[00:01:55.000 --> 00:01:59.000]  有這樣的尊貴
[00:01:59.000 --> 00:02:03.000]  連創造宇宙萬物的上帝
[00:02:03.000 --> 00:02:06.000]  都要為我們
[00:02:06.000 --> 00:02:10.000]  由創造到新天新地都是為我
[00:02:10.000 --> 00:02:11.000]  這個我
[00:02:11.000 --> 00:02:15.000]  自我膨脹極度膨脹
[00:02:15.000 --> 00:02:18.000]  所以每樣東西都是上帝不對的
[00:02:18.000 --> 00:02:21.000]  基督徒很多時候有這樣的觀念
[00:02:21.000 --> 00:02:23.000]  上帝虧負我
[00:02:23.000 --> 00:02:24.000]  上帝待我不好
[00:02:24.000 --> 00:02:25.000]  為什麼讓我生病
[00:02:25.000 --> 00:02:27.000]  為什麼讓我考不到試合格
