
[00:00:00.000 --> 00:00:10.240]  我們這次選了一個財主和拉薩路的比喻
[00:00:10.240 --> 00:00:13.520]  來做這個系列的結束
[00:00:13.520 --> 00:00:17.340]  我等一下再告訴大家為什麼我會選這個
[00:00:17.340 --> 00:00:22.320]  我們大家一起打開路加福音第16章
[00:00:22.320 --> 00:00:27.620]  我們試試再讀這個比喻一次
[00:00:27.620 --> 00:00:31.100]  路加福音第16章
[00:00:31.100 --> 00:00:40.200]  我們會由第19節讀完第31節
[00:00:40.200 --> 00:00:44.960]  找到的請聽我讀出來就可以了
[00:00:44.960 --> 00:00:49.640]  路加福音第16章19到31節
[00:00:49.640 --> 00:00:56.880]  有一個財主穿著紫色袍和細麻布衣服
[00:00:56.880 --> 00:00:59.560]  天天奢華艷樂
[00:00:59.560 --> 00:01:02.880]  又有一個土飯的名叫拉薩路
[00:01:02.880 --> 00:01:07.000]  渾身生瘡被人放在財主門口
[00:01:07.000 --> 00:01:13.040]  要得財主桌子上掉下來的零碎重機
[00:01:13.040 --> 00:01:16.040]  並且久來添他的瘡
[00:01:16.040 --> 00:01:20.240]  後來那土飯的死了被天使帶去
[00:01:20.240 --> 00:01:22.560]  放在阿巴拉罕的懷裡
[00:01:22.560 --> 00:01:26.640]  財主也死了並且埋葬了
[00:01:26.640 --> 00:01:32.120]  財主因受痛苦舉目遠遠地望見阿巴拉罕
[00:01:32.120 --> 00:01:34.960]  又望見拉薩路在他懷裡
[00:01:34.960 --> 00:01:36.200]  就喊著說
[00:01:36.200 --> 00:01:38.640]  我祖阿巴拉罕可憐我伯
[00:01:38.640 --> 00:01:43.720]  打發拉薩路來用指頭沾點水
[00:01:43.720 --> 00:01:45.440]  涼涼我的舌頭
[00:01:45.440 --> 00:01:48.920]  因為我在這火焰裡極其痛苦
[00:01:48.920 --> 00:01:49.920]  阿巴拉罕說
[00:01:49.920 --> 00:01:53.320]  你該回想你生前享過福
[00:01:53.320 --> 00:01:55.640]  拉薩路也受過苦
[00:01:55.640 --> 00:01:58.120]  如今他在這裡得安慰
[00:01:58.120 --> 00:01:59.920]  你也受痛苦
[00:01:59.920 --> 00:02:01.120]  不但這樣
[00:02:01.120 --> 00:02:04.400]  並且在你我之間有深淵限定
[00:02:04.400 --> 00:02:06.720]  以至人要從這邊過到那
[00:02:06.720 --> 00:02:08.920]  你們那邊是不能的
