
[00:00:00.000 --> 00:00:08.840]  各位姐妹平安 在場內和在鏡頭面前的
[00:00:08.840 --> 00:00:12.860]  我們很感恩可以開始一年四堂
[00:00:12.860 --> 00:00:15.320]  這個彼得前書的思想
[00:00:15.320 --> 00:00:18.020]  想問一問 有多少人
[00:00:18.020 --> 00:00:22.020]  背了很多彼得前書的金句?
[00:00:22.020 --> 00:00:27.080]  只是五章而已 每一章都有一兩節是很熟的
[00:00:27.080 --> 00:00:31.120]  剛才我們敬拜的時候聽得最多的那一節
[00:00:31.120 --> 00:00:33.460]  是第五章的 是不是?
[00:00:33.460 --> 00:00:38.780]  你們要將一切憂慮赦給神
[00:00:38.780 --> 00:00:43.140]  因為祂顧念你們 是不是?
[00:00:43.140 --> 00:00:45.640]  很熟的 還有什麼?
[00:00:45.640 --> 00:00:47.940]  我想第二章 是不是?
[00:00:47.940 --> 00:00:50.080]  九至十節那些
[00:00:50.080 --> 00:00:52.840]  唯有你們是被揀選的族類等等
[00:00:52.840 --> 00:00:54.520]  有君尊的祭司
[00:00:54.520 --> 00:00:56.520]  其實大家都很熟的
[00:00:56.520 --> 00:01:01.700]  禱告主使用我們這四次彼此的分享
[00:01:01.700 --> 00:01:07.480]  一起能夠在走走這條天路的時候
[00:01:07.480 --> 00:01:09.480]  繼續得力
[00:01:09.480 --> 00:01:14.840]  其實我真是有一個難題的
[00:01:14.840 --> 00:01:21.900]  距離大家這麼遠 一直是最緊張的時候
[00:01:21.900 --> 00:01:27.540]  我去到周圍我都習慣是脫了口罩
[00:01:27.540 --> 00:01:32.760]  不過不知道會不會令到大家不安心
[00:01:32.760 --> 00:01:35.560]  我都是會體諒大家的
[00:01:35.560 --> 00:01:40.040]  但是我就是表達自己有一點點被迫著
[00:01:40.040 --> 00:01:43.920]  就不是很相信
[00:01:43.920 --> 00:01:49.320]  好 言歸正傳
[00:01:49.320 --> 00:01:52.960]  彼得大家真是非常熟悉的
[00:01:52.960 --> 00:01:56.380]  我覺得他的書信在我們今天
[00:01:56.380 --> 00:01:58.380]  很需要牧養的時候
[00:01:58.380 --> 00:02:02.300]  都沿著使用這些話來幫助我們
[00:02:02.300 --> 00:02:05.440]  大家對彼得應該是印象非常之深刻
[00:02:05.440 --> 00:02:08.660]  因為說話又大聲又不準
[00:02:08.660 --> 00:02:12.400]  又是衝動 不過又很快回頭
[00:02:12.400 --> 00:02:15.280]  其實和我們都有些相似的
[00:02:15.280 --> 00:02:19.540]  所以這些人他說的話
[00:02:19.540 --> 00:02:25.960]  我相信能夠觸及人心的那種味道
[00:02:25.960 --> 00:02:27.960]  是強很多的
[00:02:27.960 --> 00:02:31.460]  我們如果有很強的人
[00:02:31.460 --> 00:02:33.460]  用他很強的經歷
