
[00:00:00.000 --> 00:00:04.000]  在我們未進入今天的第17章之前
[00:00:04.000 --> 00:00:10.000]  我特別想提一提上一次我們的第16章
[00:00:10.000 --> 00:00:13.000]  第16章我們去到尾端那裡
[00:00:13.000 --> 00:00:18.000]  是說到有一樣東西是關於同性戀的
[00:00:18.000 --> 00:00:20.000]  是關於索多瑪的
[00:00:20.000 --> 00:00:23.000]  之後有弟兄姊妹來跟我談
[00:00:23.000 --> 00:00:26.000]  我又給多了其他的資料給他
[00:00:26.000 --> 00:00:29.000]  上一次你記得我們去到第16章的時候
[00:00:29.000 --> 00:00:35.000]  那裡是提到以色列的兩個姐妹
[00:00:35.000 --> 00:00:37.000]  一個是薩馬利亞
[00:00:37.000 --> 00:00:38.000]  那個是北國
[00:00:38.000 --> 00:00:39.000]  那個我們先不理
[00:00:39.000 --> 00:00:42.000]  第二個是提到索多瑪
[00:00:42.000 --> 00:00:45.000]  索多瑪我們知道索多瑪和摩拉
[00:00:45.000 --> 00:00:49.000]  是舊約創世記那裡兩個很重要的城市
[00:00:49.000 --> 00:00:50.000]  羅德呢
[00:00:50.000 --> 00:00:52.000]  當時阿伯拉罕的侄子羅德
[00:00:52.000 --> 00:00:55.000]  是搬了過去河的東邊
[00:00:55.000 --> 00:00:58.000]  漸漸的就接近索多瑪
[00:00:58.000 --> 00:01:01.000]  我們也知道是發生了什麼事
[00:01:01.000 --> 00:01:02.000]  在索多瑪
[00:01:02.000 --> 00:01:04.000]  索多瑪是被神所滅的
[00:01:04.000 --> 00:01:07.000]  是犯很多罪的
[00:01:07.000 --> 00:01:12.000]  很多時候我們一想到同性戀這個罪的時候
[00:01:12.000 --> 00:01:16.000]  我們就會將它和索多瑪放在一起
[00:01:16.000 --> 00:01:18.000]  索多瑪這個字
[00:01:18.000 --> 00:01:21.000]  今天也是和同性戀連接的
[00:01:21.000 --> 00:01:25.000]  所以很多時候包括我自己以前
[00:01:25.000 --> 00:01:28.000]  都是說你看神多麼的恨和同性戀
[00:01:28.000 --> 00:01:35.000]  甚至是降天火來滅了恆同性戀的城市索多瑪和摩拉
[00:01:35.000 --> 00:01:38.000]  這個我們就算在教會長大
[00:01:38.000 --> 00:01:41.000]  我們一直都是說神滅索多瑪和摩拉
[00:01:41.000 --> 00:01:44.000]  就是因為他和同性戀的罪
[00:01:44.000 --> 00:01:49.000]  他和同性戀的罪就是有三個人
[00:01:49.000 --> 00:01:54.000]  兩個天使和降世為人的主耶穌
[00:01:54.000 --> 00:02:01.000]  他們中間的兩個天使是去索多瑪救羅德一家的
