
[00:00:00.000 --> 00:00:06.080]  我們今天來到去思上一段的聖經
[00:00:06.080 --> 00:00:08.680]  我們一起翻開何西亞書第六章
[00:00:08.680 --> 00:00:12.760]  何西亞書第六章第一至到第三節
[00:00:12.760 --> 00:00:16.280]  找到的時候我們一起讀一下 請讀
[00:00:16.280 --> 00:00:19.320]  內罷!我們歸向耶和華
[00:00:19.320 --> 00:00:22.200]  他撕裂我們也必醫治
[00:00:22.200 --> 00:00:25.280]  他打傷我們也必前果
[00:00:25.280 --> 00:00:28.520]  過兩天他必使我們蘇醒
[00:00:28.520 --> 00:00:31.520]  第三天他必使我們興起
[00:00:31.520 --> 00:00:34.640]  我們就在他面前得以存活
[00:00:34.640 --> 00:00:37.080]  我們務要認識耶和華
[00:00:37.080 --> 00:00:39.280]  切利追求認識他
[00:00:39.280 --> 00:00:41.520]  他出現確如神光
[00:00:41.520 --> 00:00:44.240]  他必臨到我們像金魚
[00:00:44.240 --> 00:00:47.120]  像滋潤田地的春雨
[00:00:47.120 --> 00:00:51.280]  今天給一個題目叫做神光的英許
[00:00:51.280 --> 00:00:55.680]  天氣這麼冷 大家都知道
[00:00:55.680 --> 00:01:00.040]  白天短 晚上長
[00:01:00.040 --> 00:01:04.520]  我們有差不多18、20天
[00:01:04.520 --> 00:01:07.160]  以合拼之後 你就發覺
[00:01:07.160 --> 00:01:12.000]  開始很早就醒 晚上睡得不太熟
[00:01:12.000 --> 00:01:13.840]  我還記得前一陣子
[00:01:13.840 --> 00:01:15.760]  我的醫生第一次這樣問我
[00:01:15.760 --> 00:01:19.600]  他說:彭錦慧 你晚上要去多少次洗手間?
[00:01:19.600 --> 00:01:22.360]  我說:啊 為什麼這樣問呢?
[00:01:22.360 --> 00:01:24.880]  他說:你年紀都不輕
[00:01:24.880 --> 00:01:28.240]  都是時候晚上要多洗一次洗手間了
[00:01:28.240 --> 00:01:32.560]  原來年紀慢慢長 機能就慢慢衰退了
[00:01:32.560 --> 00:01:33.360]  是不是?
[00:01:33.360 --> 00:01:35.800]  我還記得我第一次
[00:01:35.800 --> 00:01:38.480]  今天白天很光猛
[00:01:38.480 --> 00:01:40.480]  我還記得有一次
[00:01:40.480 --> 00:01:47.640]  我第一次晚上要去講壽苦節的聚會
[00:01:47.640 --> 00:01:50.520]  那間教會又暗暗的
[00:01:50.520 --> 00:01:52.960]  其實不是暗暗的 相當之暗
[00:01:52.960 --> 00:01:56.240]  又沒有像你們那樣有一支燈放在講台那裡
[00:01:56.240 --> 00:02:00.440]  我一打開聖經 我一隻字都看不到
[00:02:00.440 --> 00:02:04.680]  我多怕 以為發生什麼事
[00:02:04.680 --> 00:02:07.560]  馬上約醫生看
[00:02:07.560 --> 00:02:11.840]  他說:沒事 老花而已
[00:02:11.840 --> 00:02:15.280]  原來人慢慢年紀大
[00:02:15.280 --> 00:02:18.400]  眼睛就矇 耳朵就聾
[00:02:18.400 --> 00:02:22.280]  牙齒又沒有了 背脊又彎曲了 是不是?
[00:02:22.280 --> 00:02:24.640]  所以如果能夠
[00:02:24.640 --> 00:02:28.400]  如果老花其中一種可以幫助我們看得更清楚的
[00:02:28.400 --> 00:02:29.960]  就是要夠光
[00:02:29.960 --> 00:02:32.160]  夠光就看得清楚一點
[00:02:32.160 --> 00:02:36.800]  所以這支燈對我很大幫助
[00:02:36.800 --> 00:02:38.680]  聽王先生的書這樣說
[00:02:38.680 --> 00:02:42.400]  內霸是什麼來的?
[00:02:42.400 --> 00:02:44.080]  是一種呼籲
[00:02:44.080 --> 00:02:48.080]  如果家裡有些天使年紀的青年人
[00:02:48.080 --> 00:02:50.040]  就是天使
[00:02:50.040 --> 00:02:52.800]  天使年紀的年輕人 你就知道
[00:02:52.800 --> 00:02:55.480]  內霸 吃飯了
[00:02:55.480 --> 00:02:58.200]  又沒有人回應你 又沒有人理會你
[00:02:58.200 --> 00:03:00.600]  是不是? 因為他們自己在忙自己的事
