
[00:00:00.000 --> 00:00:03.000]  各位早晨 我們低頭祈禱
[00:00:03.000 --> 00:00:07.000]  天父我們多謝你在主日的早上
[00:00:07.000 --> 00:00:10.000]  給我們這一段敬拜你的時間
[00:00:10.000 --> 00:00:13.000]  給我們聽到你天使的聲音
[00:00:13.000 --> 00:00:16.000]  給我們聽到你自己的說話
[00:00:16.000 --> 00:00:19.000]  求主你使用以下這一段時間
[00:00:19.000 --> 00:00:23.000]  讓我們反省我們對於教育
[00:00:23.000 --> 00:00:26.000]  我們對於我們的子女 我們的學生
[00:00:26.000 --> 00:00:31.000]  所應做的事情 和你自己親自的向我們說話
[00:00:31.000 --> 00:00:35.000]  請我們這樣去祈禱 用耶穌基督的名堂 阿們
[00:00:35.000 --> 00:00:39.000]  這次是我第一次來到貴堂
[00:00:39.000 --> 00:00:42.000]  參加你們的主日崇拜
[00:00:42.000 --> 00:00:44.000]  也是做很多第一次的事
[00:00:44.000 --> 00:00:47.000]  譬如我從來沒有試過穿著一件牧師的袍
[00:00:47.000 --> 00:00:50.000]  在台上跟大家分享
[00:00:50.000 --> 00:00:53.000]  袍我也穿了很多 我有黃色的 有黃色的
[00:00:53.000 --> 00:00:57.000]  有藍色的 但是我沒有試過穿一件白色的
[00:00:57.000 --> 00:01:00.000]  好像天使一樣的袍在台上
[00:01:00.000 --> 00:01:03.000]  又第一次和這麼多的校長一起在台上
[00:01:03.000 --> 00:01:05.000]  來參與一個崇拜
[00:01:05.000 --> 00:01:08.000]  我發覺原來這間教會有很多校長
[00:01:08.000 --> 00:01:11.000]  請問有多少人是校長 請你舉手給我看看
[00:01:11.000 --> 00:01:14.000]  我以前做過校長 原來很多
[00:01:14.000 --> 00:01:19.000]  在這裡我希望用一段時間
[00:01:19.000 --> 00:01:24.000]  和大家分享有關我自己對教育的一些看法
[00:01:24.000 --> 00:01:29.000]  其實這個題目對於我來說是一個挑戰
[00:01:29.000 --> 00:01:33.000]  如果教會叫我去講信仰與醫療
[00:01:33.000 --> 00:01:37.000]  我可以不用怎麼預備 都可以和你說幾個小時
[00:01:37.000 --> 00:01:40.000]  但是講到信仰和教育
[00:01:40.000 --> 00:01:42.000]  對於我來說是一個挑戰
[00:01:42.000 --> 00:01:45.000]  因為我從來沒有接受過正式的教育問題
[00:01:45.000 --> 00:01:49.000]  我的教育理念是從我的老師
[00:01:49.000 --> 00:01:51.000]  從我自己去做老師
[00:01:51.000 --> 00:01:55.000]  和我的學生 和我過去的六年
[00:01:55.000 --> 00:01:58.000]  在大學裡面的教學工作經驗
[00:01:58.000 --> 00:02:00.000]  和大家做一些分享
[00:02:00.000 --> 00:02:04.000]  但是教育其實是一個相當重要的議題
[00:02:04.000 --> 00:02:07.000]  即使在我們的信仰裡面
[00:02:07.000 --> 00:02:12.000]  常常都提到教導是一個非常重要的議題
[00:02:12.000 --> 00:02:18.000]  常常都提到教導是一個非常重要的部份
[00:02:18.000 --> 00:02:21.000]  聖經裡面經常說我們的上帝
[00:02:21.000 --> 00:02:26.000]  是背著我們來教導我們走人生的每一個道路
[00:02:26.000 --> 00:02:30.000]  他也要我們每一個作信徒的
[00:02:30.000 --> 00:02:34.000]  是帶著自己的那個屬靈的教訓
[00:02:34.000 --> 00:02:36.000]  去教導我們的下一代
[00:02:36.000 --> 00:02:40.000]  教導我們的老百姓
[00:02:40.000 --> 00:02:42.000]  教導我們身邊的人
[00:02:42.000 --> 00:02:49.000]  作父母的更加需要按著聖經真理的道去教導他的子女
[00:02:49.000 --> 00:02:54.000]  最大的例子 最明顯的例子莫過於耶穌基督
[00:02:54.000 --> 00:02:58.000]  他自己本身其實就是一個教育家
[00:02:58.000 --> 00:03:01.000]  你看到他的一生裡面是做了很多次的
[00:03:01.000 --> 00:03:04.000]  聖經裡面提到他去到會堂
[00:03:04.000 --> 00:03:08.000]  去到聖殿 去到不同的地方去教導別人
[00:03:08.000 --> 00:03:14.000]  所以如果你說耶穌的一生裡面做最多的是哪一種的職業呢?
[00:03:14.000 --> 00:03:17.000]  我相信他是一個教師
[00:03:17.000 --> 00:03:21.000]  甚至是多過他做醫治的工作
[00:03:21.000 --> 00:03:25.000]  在聖經裡面多番的提到他教導別人
[00:03:25.000 --> 00:03:29.000]  他教導別人的時候他用的說話
[00:03:29.000 --> 00:03:32.000]  未必一定是合聽的
[00:03:32.000 --> 00:03:36.000]  他用的說話未必一定是受到群眾的擁戴
[00:03:36.000 --> 00:03:42.000]  和叫他做BB
[00:03:42.000 --> 00:03:48.000]  或者叫他做一些很喜歡他的口號
[00:03:48.000 --> 00:03:53.000]  他的教導可能甚至是引起了一些人對他的反感
[00:03:53.000 --> 00:03:56.000]  甚至是惹來殺身之禍
[00:03:56.000 --> 00:04:00.000]  但是耶穌次次的教導都是按著聖經裡面
[00:04:00.000 --> 00:04:04.000]  是舊約的聖經裡面的說話來教導別人
[00:04:04.000 --> 00:04:09.000]  還有一樣東西他令我很深刻印象的就是他的教導
[00:04:09.000 --> 00:04:15.000]  不是坐在班房裡面拿個PowerPoint出來或者派Notes
[00:04:15.000 --> 00:04:20.000]  他的教導是他和信徒生活在一起
[00:04:20.000 --> 00:04:23.000]  以他的言行 以他的生活
[00:04:23.000 --> 00:04:29.000]  以他對事物的反應作為一個教導的材料
[00:04:29.000 --> 00:04:35.000]  所以如果說新教是他最拿手的工作
[00:04:35.000 --> 00:04:37.000]  我相信我們都不會有反對
[00:04:37.000 --> 00:04:41.000]  他就是用他自己的一生來教導
[00:04:41.000 --> 00:04:44.000]  用他自己的榜樣來教導
[00:04:44.000 --> 00:04:48.000]  今天我想和大家去看一段短短的聖經
