
[00:00:00.000 --> 00:00:02.000]  我今天不是來看的
[00:00:02.000 --> 00:00:05.000]  如果我看的話 你就買一部電影去看
[00:00:05.000 --> 00:00:09.000]  今天又不是來吃飯的
[00:00:09.000 --> 00:00:11.000]  有些人是不是有飯吃才來的
[00:00:11.000 --> 00:00:14.000]  我告訴你 你是不是有飯吃
[00:00:14.000 --> 00:00:17.000]  今天又不是因為你的朋友或者親者
[00:00:17.000 --> 00:00:21.000]  強行約你來 你不好意思給他面子來
[00:00:21.000 --> 00:00:24.000]  今天又不是因為你的朋友或者親者
[00:00:24.000 --> 00:00:27.000]  強行約你來 你不好意思給他面子來
[00:00:27.000 --> 00:00:30.000]  今天又不是因為你的朋友或者親者
[00:00:30.000 --> 00:00:33.000]  強行約你來 你不好意思給他面子來
[00:00:33.000 --> 00:00:35.000]  都不是的
[00:00:35.000 --> 00:00:38.000]  今天是要解決一個問題
[00:00:38.000 --> 00:00:41.000]  什麼問題呢
[00:00:41.000 --> 00:00:44.000]  就是不要怕
[00:00:44.000 --> 00:00:47.000]  孝正主義說過
[00:00:47.000 --> 00:00:51.000]  我們香港人很多時候有很多恐懼
[00:00:51.000 --> 00:00:55.000]  在我們的生活中真的有很多恐懼
[00:00:55.000 --> 00:00:59.000]  怕爸爸媽媽罵 每天都有恐懼
[00:00:59.000 --> 00:01:02.000]  什麼都做得對 做不對的時候就被罵
[00:01:02.000 --> 00:01:04.000]  一種恐懼
[00:01:04.000 --> 00:01:08.000]  開始讀書的時候要交功課
[00:01:08.000 --> 00:01:12.000]  交不到又是一種恐懼
[00:01:12.000 --> 00:01:15.000]  我記得小時候手冊拿回來
[00:01:15.000 --> 00:01:18.000]  要爸爸媽媽給我刻印或者簽字的時候
[00:01:18.000 --> 00:01:20.000]  很多時候是一種恐懼
[00:01:20.000 --> 00:01:23.000]  因為手冊裡面 書架上寫了一些東西
[00:01:23.000 --> 00:01:26.000]  那些東西寫下去 結果不是很好
[00:01:26.000 --> 00:01:28.000]  所以恐懼
[00:01:28.000 --> 00:01:30.000]  社會有恐懼
[00:01:30.000 --> 00:01:33.000]  朋友之間有恐懼
[00:01:33.000 --> 00:01:36.000]  拍拖的時候有恐懼
[00:01:36.000 --> 00:01:39.000]  結了婚 有家庭有恐懼
[00:01:39.000 --> 00:01:42.000]  我記得自己的職業 我記得前途
[00:01:42.000 --> 00:01:45.000]  我記得賺的錢夠不夠用
[00:01:45.000 --> 00:01:49.000]  很多很多的恐懼
[00:01:49.000 --> 00:01:52.000]  但我覺得這裏有一個故事
[00:01:52.000 --> 00:01:55.000]  真的很恐懼
[00:01:55.000 --> 00:01:57.000]  我們有電影可以看
[00:01:57.000 --> 00:01:59.000]  在教育
[00:01:59.000 --> 00:02:02.000]  以西傑書
[00:02:02.000 --> 00:02:04.000]  37章
[00:02:04.000 --> 00:02:07.000]  第一節到第十節
[00:02:07.000 --> 00:02:10.000]  以西傑是一位先天
[00:02:10.000 --> 00:02:15.000]  但有一次他真的面臨一個非常恐懼的場面
