
[00:00:00.000 --> 00:00:07.440]  很快的 今天已經講到已不所書的第四講
[00:00:07.440 --> 00:00:11.840]  前面那三講 我們講完了第一章
[00:00:11.840 --> 00:00:16.000]  第一章保羅告訴我們我們都是很有福氣的人
[00:00:16.000 --> 00:00:22.240]  神充充滿滿的將他的福氣賜給我們每一個基督徒
[00:00:22.240 --> 00:00:26.720]  然後在第一章的尾 保羅就為我們禱告
[00:00:26.720 --> 00:00:30.800]  要我們明白自己的身份 自己的地位
[00:00:30.800 --> 00:00:34.000]  能夠將自己的身份地位活出來
[00:00:34.000 --> 00:00:38.560]  去到第二章 保羅又一次講我們的身份
[00:00:38.560 --> 00:00:43.040]  這次很有趣 是由我們以前的身份講起
[00:00:43.040 --> 00:00:45.680]  你說以前有什麼身份啊
[00:00:45.680 --> 00:00:49.760]  以前的身份就是我們每一個都是死人一個
[00:00:49.760 --> 00:00:52.880]  死在過犯罪惡的裡面
[00:00:52.880 --> 00:00:58.480]  所以我叫今天的這篇道 叫做「行屍走肉都會復活」
[00:00:58.480 --> 00:01:03.280]  我們認識耶穌基督之前 我們每個人都是行屍走肉
[00:01:03.280 --> 00:01:08.320]  是因為神的憐憫 神的愛 神的恩典
[00:01:08.320 --> 00:01:12.400]  以致我們能夠靈裡面復活
[00:01:12.400 --> 00:01:16.320]  我們知道已不所書是給基督徒的一本書
[00:01:16.320 --> 00:01:18.640]  但是在已不所書的第二章
[00:01:18.640 --> 00:01:24.720]  清清楚楚地告訴我們一個人怎樣能夠得救
[00:01:24.720 --> 00:01:28.640]  一個人是經過三個階段來得救
[00:01:28.640 --> 00:01:31.120]  第一個階段是過去的
[00:01:31.120 --> 00:01:34.160]  是已不所書的二章一至三節
[00:01:34.160 --> 00:01:36.880]  說我們聽救贖的需要
[00:01:36.880 --> 00:01:40.800]  每一個罪人都需要被救贖
[00:01:40.800 --> 00:01:45.120]  然後第二個階段是講到現在
[00:01:45.120 --> 00:01:50.640]  是已不所書第二章四至九節除了第七節
[00:01:50.640 --> 00:01:56.400]  告訴我們救贖的途徑怎樣能夠被救贖
[00:01:56.400 --> 00:02:00.320]  然後第三個階段就是告訴我們將來的事
[00:02:00.320 --> 00:02:03.280]  已不所書的二章七節和十節
[00:02:03.280 --> 00:02:08.320]  告訴我們救贖得救之後的結果是怎樣
[00:02:08.320 --> 00:02:13.280]  我們應該有什麼行為 有什麼表示
[00:02:13.280 --> 00:02:17.120]  我們可以一起來看看第一點
[00:02:17.120 --> 00:02:19.680]  就是救贖的需要
[00:02:19.680 --> 00:02:22.640]  為什麼我們需要別人來救贖自己
[00:02:22.640 --> 00:02:25.440]  保羅告訴我們我們每個人都是死人
[00:02:25.440 --> 00:02:29.440]  一個死在罪惡禍犯的裡面
[00:02:29.440 --> 00:02:32.880]  試問一個死人怎樣能夠救自己
[00:02:32.880 --> 00:02:36.480]  所以我們每個人都需要是耶穌基督的救贖
[00:02:36.480 --> 00:02:39.040]  我們不能夠自己救自己
[00:02:39.040 --> 00:02:40.960]  不知道大家記不記得
[00:02:40.960 --> 00:02:47.680]  十年前在智利有一個礦場出現了一件意外
[00:02:47.680 --> 00:02:53.760]  就是有33個工人被困在地底的一個礦場裡面
[00:02:53.760 --> 00:02:59.440]  原來這個地底的礦場距離地面有2300呎
[00:02:59.440 --> 00:03:02.880]  2300呎就是差不多半里的路
[00:03:02.880 --> 00:03:06.320]  半里的路是直接升降半里
[00:03:06.320 --> 00:03:08.640]  但那裡沒有升降機
[00:03:08.640 --> 00:03:13.760]  所以你要下去那個礦場要走一條旋轉的通路
[00:03:13.760 --> 00:03:15.760]  一直旋轉下去
[00:03:15.760 --> 00:03:18.880]  這條旋轉的路就三里那麼長
[00:03:18.880 --> 00:03:21.200]  距離地面的礦場只是半里
[00:03:21.200 --> 00:03:24.800]  但你要走這條旋轉的路就三里那麼長
[00:03:24.800 --> 00:03:27.600]  下去地底的大件事
[00:03:27.600 --> 00:03:30.480]  那個旋轉的通路倒塌了
[00:03:30.480 --> 00:03:31.600]  阻塞了
[00:03:31.600 --> 00:03:33.840]  那些工人不能夠上去
[00:03:33.840 --> 00:03:35.920]  困在地底裡面
