
[00:00:00.000 --> 00:00:02.000]  各位聽眾
[00:00:02.000 --> 00:00:05.520]  很想給大家看看一些新聞
[00:00:05.520 --> 00:00:09.760]  我不知道大家是不是記憶猶新
[00:00:09.760 --> 00:00:15.600]  在油麻地發生一些五逆子
[00:00:15.600 --> 00:00:17.600]  殺了父母
[00:00:17.600 --> 00:00:20.600]  甚至將他們肢解
[00:00:20.600 --> 00:00:27.760]  分開來擺放父母的屍體
[00:00:27.760 --> 00:00:30.400]  有幾個人還記得這個新聞
[00:00:30.400 --> 00:00:32.400]  可不可以舉手
[00:00:32.400 --> 00:00:34.400]  我相信很多人都記得
[00:00:34.400 --> 00:00:36.400]  有可能你會覺得很誇張
[00:00:36.400 --> 00:00:38.400]  很少發生這些事
[00:00:38.400 --> 00:00:44.400]  原來在今天虐待老人家的事是非常多
[00:00:44.400 --> 00:00:47.400]  有位社工的弟兄告訴我
[00:00:47.400 --> 00:00:51.400]  其實今日香港接到的投訴
[00:00:51.400 --> 00:00:55.400]  虐兒是越來越少
[00:00:55.400 --> 00:00:57.400]  我再講一次
[00:00:57.400 --> 00:01:02.400]  在以前虐兒的個案是少了
[00:01:02.400 --> 00:01:05.400]  但虐老的個案是一直增加
[00:01:05.400 --> 00:01:08.400]  虐老包括不給家用
[00:01:08.400 --> 00:01:10.400]  包括罵
[00:01:10.400 --> 00:01:12.400]  包括拿東西叫他們搬走
[00:01:12.400 --> 00:01:14.400]  包括不讓他們抱孫
[00:01:14.400 --> 00:01:17.400]  不讓他們接近他們的孫
[00:01:17.400 --> 00:01:23.400]  包括用很多很惡毒的話罵他們
[00:01:23.400 --> 00:01:25.400]  我自己的輔導裏面
[00:01:25.400 --> 00:01:29.400]  也輔導過有好幾個老人家
[00:01:29.400 --> 00:01:31.400]  來向我們投訴
[00:01:31.400 --> 00:01:33.400]  他們投訴的時間
[00:01:33.400 --> 00:01:42.400]  就是子女不讓他們見孫子孫女
[00:01:42.400 --> 00:01:44.400]  本來孫子孫女出世
[00:01:44.400 --> 00:01:50.400]  是老人家期待很久的事
[00:01:50.400 --> 00:01:52.400]  很想去抱他們
[00:01:52.400 --> 00:01:55.400]  親他們 和他們玩
[00:01:55.400 --> 00:01:59.400]  去探望他們 請他們認識
[00:01:59.400 --> 00:02:03.400]  這件事我也找了父母和他們談
[00:02:03.400 --> 00:02:09.400]  他們說他們不想老人家縱懷他們的兒子
[00:02:09.400 --> 00:02:12.400]  我說抱也不會縱懷吧
[00:02:12.400 --> 00:02:14.400]  抱一抱就縱懷?
[00:02:14.400 --> 00:02:16.400]  如果讓他養 讓他照顧
[00:02:16.400 --> 00:02:18.400]  當然容易
[00:02:18.400 --> 00:02:20.400]  現在不是 他們想見他們
