
[00:00:00.000 --> 00:00:04.560]  我們最熱烈介紹的
[00:00:04.560 --> 00:00:08.760]  今天我相信很多頂主會
[00:00:08.760 --> 00:00:12.720]  上個星期我們剛結束了公主日
[00:00:12.720 --> 00:00:14.080]  都帶了親友來
[00:00:14.080 --> 00:00:17.240]  有多少個是上個星期才回來我們教會
[00:00:17.240 --> 00:00:18.720]  在沙田那裡聚會
[00:00:18.720 --> 00:00:21.520]  今天在我們當中請你舉舉手 好嗎
[00:00:21.520 --> 00:00:25.280]  有幾位
[00:00:25.280 --> 00:00:26.840]  好 我們歡迎你
[00:00:26.840 --> 00:00:29.360]  給點掌聲特別歡迎這班人
[00:00:29.360 --> 00:00:32.040]  多謝各位的加賞
[00:00:32.040 --> 00:00:34.080]  我想待會到我們報告時間
[00:00:34.080 --> 00:00:35.680]  你們各自的介紹
[00:00:35.680 --> 00:00:37.640]  我想特別提到歡迎大家
[00:00:37.640 --> 00:00:40.880]  今天也是在我準備7月
[00:00:40.880 --> 00:00:42.360]  有另外三個月過
[00:00:42.360 --> 00:00:44.080]  找歌或寫書的期間裡面
[00:00:44.080 --> 00:00:46.960]  今天是最後一天的跟大家分享一層的說話
[00:00:46.960 --> 00:00:49.640]  在上個星期我想想
[00:00:49.640 --> 00:00:51.280]  在我離開之前
[00:00:51.280 --> 00:00:54.360]  《馬爾福音》第八章應該是剛剛的段落了
[00:00:54.360 --> 00:00:55.800]  都在這個時間
[00:00:55.800 --> 00:00:59.360]  可能我見到了解頂主會的需要
[00:00:59.360 --> 00:01:01.360]  不如我改這邊的題目
[00:01:01.360 --> 00:01:03.080]  《無語文倉》
[00:01:03.080 --> 00:01:04.880]  實際上當有機會上訪頂主會
[00:01:04.880 --> 00:01:06.480]  或二仔節目交通的時間
[00:01:06.480 --> 00:01:09.880]  其實很多頂主會都有不同的困難和難處
[00:01:09.880 --> 00:01:11.520]  我也很想今天透過
[00:01:11.520 --> 00:01:15.800]  這個差不多距離我們三千年前
[00:01:15.800 --> 00:01:17.000]  一個詩人
[00:01:17.000 --> 00:01:18.400]  他寫了一篇詩篇
[00:01:18.400 --> 00:01:20.280]  詩篇是講情感的
[00:01:20.280 --> 00:01:24.160]  不是一篇好像教義性的問題
[00:01:24.160 --> 00:01:26.520]  是他用他的心情去描述
[00:01:26.520 --> 00:01:28.440]  他和上帝之間的關係
[00:01:28.440 --> 00:01:31.120]  在我講之前我想問大家的問題
[00:01:31.120 --> 00:01:34.720]  你覺得在你的人生裡面
[00:01:34.720 --> 00:01:39.640]  由順境進入逆境容易些嗎?
[00:01:39.640 --> 00:01:44.600]  還是由逆境進入順境容易些呢?
[00:01:44.600 --> 00:01:47.240]  由順去逆容易些嗎?
[00:01:47.240 --> 00:01:51.080]  還是逆去順容易些呢?
[00:01:51.080 --> 00:01:52.040]  後者是不是?
[00:01:52.040 --> 00:01:53.560]  你說剛才什麼順境容易些
[00:01:53.560 --> 00:01:55.040]  我還未很清楚
[00:01:55.040 --> 00:01:56.240]  不過我舉個例子
[00:01:56.240 --> 00:01:59.760]  譬如你打一份工是15000元的工資
[00:01:59.760 --> 00:02:01.000]  突然老闆看電影
[00:02:01.000 --> 00:02:01.800]  認識你做經理
[00:02:01.800 --> 00:02:03.000]  5萬元吧
[00:02:03.000 --> 00:02:06.400]  你會不會很立即認?
[00:02:06.400 --> 00:02:07.360]  哎呀 我認不到了
[00:02:07.360 --> 00:02:08.480]  不要認識我了
[00:02:08.480 --> 00:02:12.440]  會不會這樣呢?
[00:02:12.440 --> 00:02:14.040]  突然反過來
[00:02:14.040 --> 00:02:15.680]  你是5萬元的工資
[00:02:15.680 --> 00:02:16.720]  老闆你做得不好
[00:02:16.720 --> 00:02:19.400]  明天開始做15000元那份吧
[00:02:19.400 --> 00:02:23.400]  你就會怎樣呢?
[00:02:23.400 --> 00:02:24.760]  你會無語問錯
[00:02:24.760 --> 00:02:26.120]  哎呀 為什麼選擇我
[00:02:26.120 --> 00:02:27.240]  YE這樣
[00:02:27.240 --> 00:02:28.800]  升你不會問的
[00:02:28.800 --> 00:02:31.120]  升的時候你不會問YE
[00:02:31.120 --> 00:02:32.640]  應該是我吧
[00:02:32.640 --> 00:02:35.080]  但你見到我相信你跟我一樣
[00:02:35.080 --> 00:02:36.560]  在人生裡面
[00:02:36.560 --> 00:02:38.760]  如果由順境走到逆境
[00:02:38.760 --> 00:02:40.320]  你會很辛苦的
[00:02:40.320 --> 00:02:42.240]  由逆境走到順境
[00:02:42.240 --> 00:02:44.000]  你會很高興的
[00:02:44.000 --> 00:02:45.600]  如果升一升
[00:02:45.600 --> 00:02:48.400]  如果你在人生裡面
[00:02:48.400 --> 00:02:50.240]  有很多很如意的事
[00:02:50.240 --> 00:02:51.400]  你不會那麼辛苦的
[00:02:51.400 --> 00:02:52.680]  但是反過來
[00:02:52.680 --> 00:02:54.600]  逆境的時候是很難的
[00:02:54.600 --> 00:02:56.160]  特別是由順境走到逆境
[00:02:56.160 --> 00:02:57.200]  是很困難的
[00:02:57.200 --> 00:02:59.800]  如果這個想法是對的話
[00:02:59.800 --> 00:03:01.840]  那你會想像到
[00:03:01.840 --> 00:03:03.200]  基督徒什麼時候
[00:03:03.200 --> 00:03:07.160]  靈性會低落呢?
[00:03:07.160 --> 00:03:08.600]  在環境裡面
[00:03:08.600 --> 00:03:11.520]  你在遇見困難的時候
[00:03:11.520 --> 00:03:13.000]  特別你不知道為什麼會有困難
[00:03:13.000 --> 00:03:13.800]  你覺得很不合理
[00:03:13.800 --> 00:03:15.680]  你們淋到你身上
[00:03:15.680 --> 00:03:17.600]  我估計那個時候往往
[00:03:17.600 --> 00:03:20.400]  就是我們用身體信心的時間
[00:03:20.400 --> 00:03:22.600]  而我們中國人說
[00:03:22.600 --> 00:03:24.640]  不如意的事
[00:03:24.640 --> 00:03:25.840]  十上八九
[00:03:25.840 --> 00:03:27.320]  就是說其實我們就算是基督徒
[00:03:27.320 --> 00:03:28.800]  也好 信耶穌之後也好
[00:03:28.800 --> 00:03:30.440]  我們上個禮拜舉手決志
[00:03:30.440 --> 00:03:31.600]  相信耶穌之後也好
[00:03:31.600 --> 00:03:35.680]  我們都會面對人生很多不如意的事
[00:03:35.680 --> 00:03:37.320]  如果你準備得不好的話
[00:03:37.320 --> 00:03:39.680]  可能當你遇見不如意的事的時候
[00:03:39.680 --> 00:03:41.320]  你會埋怨這個蒼天
[00:03:41.320 --> 00:03:42.440]  埋怨上帝
[00:03:42.440 --> 00:03:44.960]  為什麼我會遇到這些事呢?
[00:03:44.960 --> 00:03:46.120]  反正我很想
[00:03:46.120 --> 00:03:48.440]  在我們開始基督徒的旅程
[00:03:48.440 --> 00:03:50.120]  又或者我們很多基督徒
[00:03:50.120 --> 00:03:52.960]  在人生的不同的處境裡面
[00:03:52.960 --> 00:03:54.480]  特別在低潮裡面
