
[00:00:00.000 --> 00:00:08.500]  上次我和大家講了路德記最後一個訊息
[00:00:08.500 --> 00:00:14.000]  路德記最後一個訊息我叫做奧庇猶隱藏的外邦辛苦
[00:00:14.000 --> 00:00:18.500]  這個訊息是講了很多耶穌基督的遇象
[00:00:18.500 --> 00:00:22.000]  我也講了路德就是教會的遇象
[00:00:22.000 --> 00:00:26.000]  可能被很多人認為我是一個如意解經家
[00:00:26.000 --> 00:00:28.000]  是一個靈意解經家
[00:00:28.000 --> 00:00:30.000]  因為我講了這麼多遇象
[00:00:30.000 --> 00:00:35.000]  所以今天不得不講多一篇道來替我自己辯護一下
[00:00:35.000 --> 00:00:37.000]  我不是一個靈意解經家
[00:00:37.000 --> 00:00:39.000]  我也不是一個如意解經家
[00:00:39.000 --> 00:00:43.000]  其實我是反對靈意和如意的解經
[00:00:43.000 --> 00:00:47.000]  我今天叫這篇道做聖經中的比喻
[00:00:47.000 --> 00:00:48.000]  隱喻
[00:00:48.000 --> 00:00:51.000]  如意和密碼
[00:00:51.000 --> 00:00:56.000]  其實在聖經裡真的有很多修辭手法
[00:00:56.000 --> 00:00:58.000]  Figure of speech
[00:00:58.000 --> 00:01:00.000]  這些修辭手法有什麼呢?
[00:01:00.000 --> 00:01:02.000]  有很多的比喻
[00:01:02.000 --> 00:01:04.000]  有很多的隱喻
[00:01:04.000 --> 00:01:06.000]  甚至是類比
[00:01:06.000 --> 00:01:09.000]  就好像我講的遇象一樣
[00:01:09.000 --> 00:01:11.000]  如果能夠掌握得好的話
[00:01:11.000 --> 00:01:14.000]  能夠幫助我們更加明白聖經
[00:01:14.000 --> 00:01:16.000]  但如果你掌握不好呢
[00:01:16.000 --> 00:01:20.000]  人家解經你就只有聽的份
[00:01:20.000 --> 00:01:23.000]  人家解錯經你就跟著一起錯
[00:01:23.000 --> 00:01:26.000]  這絕對不是神所喜悅的
[00:01:26.000 --> 00:01:32.000]  所以我們是很需要自己學習怎樣來解釋聖經
[00:01:32.000 --> 00:01:35.000]  就好像提摩太后書的二章十五節
[00:01:35.000 --> 00:01:39.000]  當你竭力在神的面前得蒙喜悅
[00:01:39.000 --> 00:01:41.000]  作無愧的工人
[00:01:41.000 --> 00:01:44.000]  按著正義分解真理的道
[00:01:44.000 --> 00:01:50.000]  每一個基督徒都應該按著正義來分解神的話語
[00:01:50.000 --> 00:01:52.000]  這才是蒙神喜悅
[00:01:52.000 --> 00:01:54.000]  所以今天這篇道是很重要
[00:01:54.000 --> 00:01:57.000]  幫助我們怎樣能夠明白聖經
[00:01:57.000 --> 00:02:02.000]  我把它放進聖經難題解答的系列裡
[00:02:02.000 --> 00:02:05.000]  其實這篇道也可以叫它做
[00:02:05.000 --> 00:02:10.000]  聖經裡的比喻、隱喻、寓意和密碼的分別
[00:02:10.000 --> 00:02:13.000]  我們先講比喻
[00:02:13.000 --> 00:02:15.000]  聖經裡真的有很多比喻
[00:02:15.000 --> 00:02:21.000]  比喻這個字是由希臘文的parable這個字演變而成
[00:02:21.000 --> 00:02:23.000]  parable是什麼?
[00:02:23.000 --> 00:02:25.000]  是由兩個字組成
[00:02:25.000 --> 00:02:26.000]  para和ble
[00:02:26.000 --> 00:02:28.000]  para是什麼?
[00:02:28.000 --> 00:02:31.000]  para就是一對,para就是兩件事
[00:02:31.000 --> 00:02:36.000]  所以你看到聖經裡的比喻永遠是將兩件事放在你的面前
[00:02:36.000 --> 00:02:38.000]  ble就是丟
[00:02:38.000 --> 00:02:41.000]  將兩件事丟在一起來比較
[00:02:41.000 --> 00:02:43.000]  這個就是parable
[00:02:43.000 --> 00:02:49.000]  第二個特徵比喻就是虛構的故事
[00:02:49.000 --> 00:02:55.000]  如果你看到比喻是沒有時間、地點、人的名字
[00:02:55.000 --> 00:02:57.000]  是虛構的
[00:02:57.000 --> 00:03:03.000]  最後故事的後面都有一個真理、有一個屬靈的意義
[00:03:03.000 --> 00:03:05.000]  這個就是parable
[00:03:05.000 --> 00:03:07.000]  這個就是比喻
[00:03:07.000 --> 00:03:09.000]  聖經裡真的有很多比喻
[00:03:09.000 --> 00:03:16.000]  我用了很多時間將所有聖經裡的比喻都列出來
[00:03:16.000 --> 00:03:21.000]  絕無例外,一講到比喻的話一定是兩件事放在你的面前
[00:03:21.000 --> 00:03:25.000]  永遠不會只是一件事要你猜想
[00:03:25.000 --> 00:03:29.000]  要你用自己的智慧來解釋
[00:03:29.000 --> 00:03:30.000]  沒有這樣的事
[00:03:30.000 --> 00:03:33.000]  比喻永遠是兩件事來比較
[00:03:33.000 --> 00:03:39.000]  最早在聖經裡的舊約比喻可以說是眾樹立黃
