
[00:00:00.000 --> 00:00:06.080]  今日我要跟大家開始一本新的書
[00:00:06.080 --> 00:00:07.680]  就是羅馬書
[00:00:07.680 --> 00:00:12.480]  我剛剛才跟大家講完舊約的史詩記
[00:00:12.480 --> 00:00:15.280]  史詩記是歷史書
[00:00:15.280 --> 00:00:17.120]  所以有很多故事
[00:00:17.120 --> 00:00:20.480]  我身為一個牧師很喜歡講故事
[00:00:20.480 --> 00:00:23.920]  但我更喜歡的是神學
[00:00:23.920 --> 00:00:29.440]  現在新約的羅馬書充滿了很多神學思想
[00:00:29.440 --> 00:00:32.000]  非常非常之豐富
[00:00:32.000 --> 00:00:37.120]  我叫今天的這篇道為何要讀羅馬書
[00:00:37.120 --> 00:00:39.680]  我每講一本新的書
[00:00:39.680 --> 00:00:43.920]  我就會用這個題目為何要讀這本書
[00:00:43.920 --> 00:00:48.400]  如果你只想知道羅馬書大概講什麼
[00:00:48.400 --> 00:00:50.800]  你只聽今天的這篇道就可以
[00:00:50.800 --> 00:00:54.800]  但如果你想知道羅馬書的細節
[00:00:54.800 --> 00:00:58.240]  你就需要聽完整個系列
[00:00:58.240 --> 00:01:01.760]  羅馬書的書名叫做羅馬書
[00:01:01.760 --> 00:01:06.160]  因為是保羅寫給羅馬的信徒
[00:01:06.160 --> 00:01:10.400]  所以用修信人的名字來做這本書的名字
[00:01:10.400 --> 00:01:11.840]  就是羅馬書
[00:01:11.840 --> 00:01:14.880]  羅馬這個城很有趣
[00:01:14.880 --> 00:01:17.200]  它是羅馬帝國的首都
[00:01:17.200 --> 00:01:19.520]  它是一個很重要的城市
[00:01:19.520 --> 00:01:22.560]  它被七座山圍繞著
[00:01:22.560 --> 00:01:28.320]  羅馬城是公元前的七八五十三年被建立
[00:01:28.320 --> 00:01:31.200]  早在舊約的時候已經被建立
[00:01:31.200 --> 00:01:33.120]  但到了新約的時候
[00:01:33.120 --> 00:01:35.680]  聖經才有提及羅馬城
[00:01:35.680 --> 00:01:40.000]  歷代的羅馬王蓋薩王或海薩王
[00:01:40.000 --> 00:01:44.640]  他們都是將他們的宮殿建立在羅馬城裏面
[00:01:44.640 --> 00:01:49.040]  羅馬的位置在台柏河
[00:01:49.040 --> 00:01:54.400]  台柏河的沿岸距離地中海大概十五里
[00:01:54.400 --> 00:02:00.080]  它聚集了東西文化商業的交流
[00:02:00.080 --> 00:02:04.960]  所以是一個非常混雜非常亂的地方
[00:02:04.960 --> 00:02:07.600]  有很多不同的宗教
[00:02:07.600 --> 00:02:10.320]  有物質主義的教導
[00:02:10.320 --> 00:02:12.560]  有多神論主義
[00:02:12.560 --> 00:02:16.240]  它的宗教是包括埃及希臘
[00:02:16.240 --> 00:02:18.880]  還有羅馬本色的宗教
[00:02:18.880 --> 00:02:24.000]  以軍事來說它征服了很多國家
[00:02:24.000 --> 00:02:25.600]  包括希臘
[00:02:25.600 --> 00:02:31.680]  但在文化上它反而被希臘的文化同化了
[00:02:31.680 --> 00:02:34.080]  羅馬的交通發達
[00:02:34.080 --> 00:02:36.480]  有一句話相信大家都認識
[00:02:36.480 --> 00:02:38.880]  就是條條大路通羅馬
[00:02:38.880 --> 00:02:43.040]  羅馬每個地方都有重兵駐守
[00:02:43.040 --> 00:02:44.960]  所以是非常的太平
[00:02:45.680 --> 00:02:49.440]  羅馬城裏面一般的生活又是怎樣?
[00:02:49.440 --> 00:02:52.320]  在耶穌基督出生的前後
[00:02:52.320 --> 00:02:57.760]  大概是公元前的二十七年到公元的一百八十年間
[00:02:57.760 --> 00:03:00.720]  羅馬是一片的太平盛世
[00:03:00.720 --> 00:03:03.360]  各人都是安居樂業
[00:03:03.360 --> 00:03:07.200]  歷史學家稱它為羅馬太平
[00:03:07.200 --> 00:03:09.760]  就是Pax Romana
[00:03:09.760 --> 00:03:11.760]  在保羅的時代
[00:03:11.760 --> 00:03:14.640]  羅馬城裏面有一百萬的人口
[00:03:14.640 --> 00:03:17.680]  但有一半都是奴隸
[00:03:17.680 --> 00:03:21.280]  你看到一半是主人一半是奴隸
[00:03:21.280 --> 00:03:25.040]  所以羅馬是一個貧富懸殊的地方
[00:03:25.040 --> 00:03:35.360]  它是豪華簡陋尊貴卑賤富足貧窮的一個很強烈對比的地方
[00:03:35.360 --> 00:03:37.680]  在羅馬城裏面的貴族
[00:03:37.680 --> 00:03:39.920]  他們享盡榮華富貴
[00:03:39.920 --> 00:03:44.720]  他們的生活他們的娛樂包括喝烈酒
[00:03:44.720 --> 00:03:46.080]  看戲劇
[00:03:46.080 --> 00:03:48.640]  看國鬥士Gladiators
[00:03:48.640 --> 00:03:51.600]  還有人和野獸的搏鬥
[00:03:51.600 --> 00:03:53.600]  這就是他們的娛樂
[00:03:53.600 --> 00:03:59.120]  在羅馬城裏面有很多猶太人居住
[00:03:59.120 --> 00:04:04.400]  大部分的人都是由羅馬將軍龐培
[00:04:04.400 --> 00:04:09.360]  他佔領了耶路撒冷征服了耶路撒冷之後
[00:04:09.360 --> 00:04:13.680]  將很多猶太人帶到羅馬城裏面居住
[00:04:13.680 --> 00:04:19.840]  但後來羅馬政府又怕猶太人會叛變
[00:04:19.840 --> 00:04:24.400]  所以大規模地將猶太人驅逐出境
[00:04:24.400 --> 00:04:29.200]  到羅馬王尼祿統治的時候
[00:04:29.200 --> 00:04:34.160]  猶太人又再一次能夠回到羅馬城裏面居住
