
[00:00:00.000 --> 00:00:07.400]  我們還有不夠一年的時間就完結了20世紀
[00:00:07.400 --> 00:00:09.400]  進入21世紀
[00:00:09.400 --> 00:00:14.200]  21世紀是一個新的時代
[00:00:14.200 --> 00:00:17.600]  這個時代有很多東西都不同
[00:00:17.600 --> 00:00:21.600]  無論是我們的生活方式
[00:00:21.600 --> 00:00:24.400]  生產方式都不一樣
[00:00:24.400 --> 00:00:29.600]  我們相信隨著那個經濟架構的改變
[00:00:29.600 --> 00:00:33.600]  包括了人與人之間來往的不同
[00:00:33.600 --> 00:00:36.600]  我們帶來真的改變
[00:00:36.600 --> 00:00:39.600]  不是我們這個世代的人
[00:00:39.600 --> 00:00:44.600]  是能夠策劃或甚至是監督的
[00:00:44.600 --> 00:00:48.600]  怎樣活在新世紀
[00:00:48.600 --> 00:00:53.600]  成了我近來一個很關心的問題
[00:00:56.600 --> 00:00:59.600]  想到怎樣活在新世紀
[00:00:59.600 --> 00:01:03.600]  我第一個念頭就是
[00:01:03.600 --> 00:01:09.600]  我一定要幫助、教導我的兒女
[00:01:09.600 --> 00:01:13.600]  知道怎樣為自己做選擇
[00:01:13.600 --> 00:01:18.600]  拒絕跟在群眾的後面
[00:01:18.600 --> 00:01:21.600]  做一個沒有面孔的雞蛋頭
[00:01:22.600 --> 00:01:27.600]  讓我由一個希臘故事來引起這個話題
[00:01:27.600 --> 00:01:30.600]  這是一個很美麗
[00:01:30.600 --> 00:01:36.600]  但也是很淒軟的一個希臘愛情小故事
[00:01:36.600 --> 00:01:41.600]  我們知道希臘神話目的不是講故事
[00:01:41.600 --> 00:01:45.600]  它為我們保留了古代的人
[00:01:45.600 --> 00:01:48.600]  他們的思想、感覺、理想
[00:01:48.600 --> 00:01:52.600]  和他們的悲哀
[00:01:52.600 --> 00:01:56.600]  是西方文明的源頭
[00:01:56.600 --> 00:01:59.600]  讓我們知道早期的人
[00:01:59.600 --> 00:02:03.600]  他們的智慧、藝術、政治
[00:02:03.600 --> 00:02:06.600]  和做人的原本面貌
[00:02:06.600 --> 00:02:10.600]  希臘神話是始於荷馬
[00:02:10.600 --> 00:02:12.600]  一個大詩人
[00:02:12.600 --> 00:02:14.600]  不像我們一般的神話
[00:02:14.600 --> 00:02:16.600]  或者說民間傳說
[00:02:16.600 --> 00:02:19.600]  有時是源自民間的無知
[00:02:19.600 --> 00:02:22.600]  所以希臘的神話
[00:02:22.600 --> 00:02:27.600]  早來是為學者研究的一個心愛的題目
[00:02:27.600 --> 00:02:31.600]  我們知道不同的年代
[00:02:31.600 --> 00:02:35.600]  他們會有不同版本的神話
[00:02:35.600 --> 00:02:39.600]  有時有些不同只是語言的不同
[00:02:39.600 --> 00:02:41.600]  修辭的不同
[00:02:41.600 --> 00:02:44.600]  有時連情節都改變了
[00:02:44.600 --> 00:02:48.600]  目的是為著表達不同的人
[00:02:48.600 --> 00:02:54.600]  他對社會和立真主義的不同
[00:02:54.600 --> 00:03:00.600]  所以希臘神話是一個有很大的承載力
[00:03:00.600 --> 00:03:06.600]  為我們講了非常豐富的做人道理
[00:03:06.600 --> 00:03:09.600]  我們要講這個故事
[00:03:09.600 --> 00:03:13.600]  男主角叫做皮拉莫斯
[00:03:13.600 --> 00:03:17.600]  是東方一個出名的俊男
[00:03:17.600 --> 00:03:21.600]  女主角叫做迪斯貝
[00:03:21.600 --> 00:03:25.600]  也是東方一個出名的美女
[00:03:25.600 --> 00:03:27.600]  他們住在巴比倫
[00:03:27.600 --> 00:03:32.600]  這兩個人事實上是比倫移居的
[00:03:32.600 --> 00:03:35.600]  大家共用同一個花園
[00:03:35.600 --> 00:03:38.600]  中間只是隔了一面牆
[00:03:39.600 --> 00:03:46.600]  這對青年男女的父母不贊成他們的戀情
[00:03:46.600 --> 00:03:48.600]  所以禁止他們來往
[00:03:48.600 --> 00:03:50.600]  也禁止他們相見
[00:03:50.600 --> 00:03:53.600]  但愛情是沒辦法禁止的
[00:03:53.600 --> 00:03:58.600]  他們發現在相隔的牆壁中
[00:03:58.600 --> 00:04:00.600]  有一條裂縫
[00:04:00.600 --> 00:04:06.600]  他們隔著裂縫互訴心曲
[00:04:06.600 --> 00:04:13.600]  但越說越增加他們一定要見面
[00:04:13.600 --> 00:04:16.600]  能夠彼此相擁的環境
[00:04:16.600 --> 00:04:19.600]  所以有一晚他們就決定
[00:04:19.600 --> 00:04:22.600]  他們約好離開花園
[00:04:22.600 --> 00:04:25.600]  要在外面很遼闊的草原
[00:04:25.600 --> 00:04:30.600]  要在一棵桑樹下面相見
[00:04:30.600 --> 00:04:35.600]  那棵桑樹是明明遠近的
[00:04:35.600 --> 00:04:41.600]  但因為它是一棵結滿了很多白色的桑樹
[00:04:41.600 --> 00:04:47.600]  大家知道現在的桑果是紅色的
[00:04:47.600 --> 00:04:52.600]  這個故事說原本的桑是雪白的
[00:04:52.600 --> 00:05:00.600]  這個小情人就約定要在滿了桑的樹下見面
[00:05:00.600 --> 00:05:03.600]  等了很久
[00:05:03.600 --> 00:05:07.600]  等到黃昏已來臨
[00:05:07.600 --> 00:05:11.600]  迪斯貝先走出家中
[00:05:11.600 --> 00:05:18.600]  一直向著這棵高的桑樹下等
[00:05:18.600 --> 00:05:20.600]  但他走到桑樹下
[00:05:20.600 --> 00:05:23.600]  剛好碰到一隻母獅子
[00:05:23.600 --> 00:05:27.600]  這隻母獅子剛好是獅子血
[00:05:27.600 --> 00:05:33.600]  它的下巴還流著剛好是獅子的那種瘦的血
[00:05:33.600 --> 00:05:37.600]  迪斯貝當然很害怕
[00:05:37.600 --> 00:05:39.600]  於是他逃命
[00:05:39.600 --> 00:05:40.600]  在逃走的時候
[00:05:40.600 --> 00:05:46.600]  慌忙之間就將他的手袍劃下
[00:05:46.600 --> 00:05:47.600]  他也不能扶持
[00:05:47.600 --> 00:05:52.600]  拼命走向另一個樹林
[00:05:52.600 --> 00:05:56.600]  獅子走近手袍
[00:05:56.600 --> 00:05:58.600]  聞到人的氣味
[00:05:58.600 --> 00:06:01.600]  但又看不到人
[00:06:01.600 --> 00:06:03.600]  他很生氣
[00:06:03.600 --> 00:06:05.600]  就咬起手袍
[00:06:05.600 --> 00:06:07.600]  將它撕到粉碎
[00:06:07.600 --> 00:06:10.600]  然後他才離開了桑樹
[00:06:10.600 --> 00:06:12.600]  在這個時候
[00:06:12.600 --> 00:06:15.600]  皮拉莫斯就走到桑樹下
[00:06:15.600 --> 00:06:17.600]  看不到他的愛人
[00:06:17.600 --> 00:06:23.600]  但就看見他愛人的手袍被撕到粉碎
[00:06:23.600 --> 00:06:28.600]  而地下也有獅子的爪痕
[00:06:28.600 --> 00:06:33.600]  他就認為一定是因為他遲來了
[00:06:33.600 --> 00:06:37.600]  他所愛的愛人被獅子吞噬了
[00:06:37.600 --> 00:06:39.600]  他很有自責的感覺
[00:06:39.600 --> 00:06:41.600]  他說我身為一個男人
[00:06:41.600 --> 00:06:46.600]  我不能夠保護這個弱小的愛人
[00:06:46.600 --> 00:06:51.600]  我怎能夠在夜深時約他出來
[00:06:51.600 --> 00:06:54.600]  而不能夠保護他
[00:06:54.600 --> 00:06:55.600]  他很傷心
[00:06:55.600 --> 00:06:57.600]  他就拿起劍
[00:06:57.600 --> 00:07:00.600]  一劍就刺到自己的胸膛
[00:07:00.600 --> 00:07:04.600]  血就噴到雪白的桑樹上
[00:07:04.600 --> 00:07:07.600]  他就倒在地上
[00:07:07.600 --> 00:07:08.600]  在這個時候
[00:07:08.600 --> 00:07:12.600]  迪斯貝當然是怕獅子
[00:07:12.600 --> 00:07:16.600]  但更怕看不到自己的情郎
[00:07:16.600 --> 00:07:19.600]  所以他很快就走到桑樹下
[00:07:19.600 --> 00:07:21.600]  他看不到甚麼人
[00:07:21.600 --> 00:07:26.600]  只看見地上有一堆會動的東西
[00:07:26.600 --> 00:07:28.600]  他走進去看
[00:07:28.600 --> 00:07:31.600]  然後才看見是他自己的愛人
[00:07:31.600 --> 00:07:35.600]  又看見在他的劍旁邊
[00:07:35.600 --> 00:07:38.600]  有一堆破布
