
[00:00:00.000 --> 00:00:06.000]  我們一起讀這幾節經文
[00:00:06.000 --> 00:00:11.000]  哈巴谷書只有三章,如果沒有記錯好像是46節加起來
[00:00:11.000 --> 00:00:14.000]  但是我們讀幾節吧
[00:00:14.000 --> 00:00:16.000]  我們一起讀吧
[00:00:16.000 --> 00:00:20.000]  在現場的弟兄姊妹可以大聲一點
[00:00:20.000 --> 00:00:24.000]  在線的弟兄姊妹希望可以發出一些聲音
[00:00:24.000 --> 00:00:26.000]  一章二節
[00:00:26.000 --> 00:00:30.000]  劉心耶和華,我懇求你不垂聽,要到幾時呢?
[00:00:30.000 --> 00:00:34.000]  我向你呼叫有狂暴的事,你不拯救
[00:00:34.000 --> 00:00:38.000]  你為什麼使我看見惡行有奸惡的事
[00:00:38.000 --> 00:00:42.000]  你為什麼見而不理,毀滅和強暴在我面前
[00:00:42.000 --> 00:00:45.000]  紛爭和相鬥常常發生
[00:00:45.000 --> 00:00:48.000]  我要站在哨桿立在城樓
[00:00:48.000 --> 00:00:51.000]  劉心耶和華在我裏面說的話
[00:00:51.000 --> 00:00:56.000]  怎樣使我答覆自己的怨愁
[00:00:56.000 --> 00:00:58.000]  我一聽見就全身發抖
[00:00:58.000 --> 00:01:03.000]  因此聲音嘴唇震電
[00:01:03.000 --> 00:01:05.000]  腐爛侵蝕我骨
[00:01:05.000 --> 00:01:09.000]  我再站立地戰驚
[00:01:09.000 --> 00:01:12.000]  我靜候災難之日,犯警的民上來
[00:01:12.000 --> 00:01:16.000]  無花果樹種不發芽,葡萄樹不結果
[00:01:16.000 --> 00:01:20.000]  橄欖樹無所出,田裡無收成
[00:01:20.000 --> 00:01:24.000]  圈內的羊被剪除,盤裡也沒有牛
[00:01:24.000 --> 00:01:28.000]  我卻要因耶和華歡喜,以救我的神為樂
[00:01:28.000 --> 00:01:30.000]  主耶穌使我的力量
[00:01:30.000 --> 00:01:33.000]  使我的腳快如舞鹿的蹄
[00:01:33.000 --> 00:01:35.000]  在高地上行走
[00:01:35.000 --> 00:01:37.000]  我們由一個簡單的題目開始
[00:01:37.000 --> 00:01:39.000]  基本上我們仰望你自己
[00:01:39.000 --> 00:01:41.000]  你說,我的日子如何
[00:01:41.000 --> 00:01:44.000]  我的生命,我的力量也必如何
[00:01:44.000 --> 00:01:47.000]  主我們多謝你留下寶貴的哈巴曲書給我們
[00:01:47.000 --> 00:01:49.000]  當我們再打開看的時候,不容易理解
[00:01:49.000 --> 00:01:51.000]  但是你的訊息在裡面
[00:01:51.000 --> 00:01:54.000]  所給我們看見的圖畫是很實在的
[00:01:54.000 --> 00:01:56.000]  力量也很大
[00:01:56.000 --> 00:01:58.000]  仰望你自己的恩典,幫助每一個弟兄姊妹
[00:01:58.000 --> 00:02:02.000]  今天聽的,說的,都得著主你自己的力量
[00:02:02.000 --> 00:02:05.000]  讓我們真的得著主你自己的訊息
[00:02:05.000 --> 00:02:07.000]  我們多謝你,眾主耶穌的名字,祈禱,阿門
[00:02:07.000 --> 00:02:12.000]  在哈巴曲之前有幾件事
[00:02:12.000 --> 00:02:15.000]  第一,我們知道打開聖經去看
[00:02:15.000 --> 00:02:18.000]  裡面有17卷的先知書
[00:02:18.000 --> 00:02:20.000]  有5卷的先知書,大家都很清楚
