
[00:00:00.000 --> 00:00:04.680]  請姐妹主禮平安
[00:00:04.680 --> 00:00:09.080]  抱歉上一堂可能興奮得太多
[00:00:09.080 --> 00:00:12.040]  講到長氣過了鐘
[00:00:12.040 --> 00:00:19.160]  所以看了教會的那個統計數字
[00:00:19.160 --> 00:00:21.760]  原來講到不可以超過40分鐘
[00:00:21.760 --> 00:00:23.200]  好 那我記住了
[00:00:23.200 --> 00:00:27.080]  今天是達半就是那個deadline
[00:00:27.080 --> 00:00:29.400]  不過上次講多了10分鐘
[00:00:29.400 --> 00:00:35.760]  所以今次我試下半個鐘頭可以講得完
[00:00:35.760 --> 00:00:38.720]  那就請大家原諒
[00:00:38.720 --> 00:00:49.320]  上主的僕人以龍硬核
[00:00:49.320 --> 00:00:52.720]  這個不單止是我們的主題
[00:00:52.720 --> 00:01:00.160]  亦是上一堂我們所討論以賽亞書的經文
[00:01:00.160 --> 00:01:03.440]  我們必須要很誠實地講
[00:01:03.440 --> 00:01:06.360]  這句不是我們的金句
[00:01:06.360 --> 00:01:09.280]  我們背以賽亞書從來
[00:01:09.280 --> 00:01:14.200]  不要說背 連讀都不會讀
[00:01:14.200 --> 00:01:21.120]  見到、讀到都不想知道究竟發生什麼事
[00:01:21.120 --> 00:01:25.680]  但其實這是以賽亞書的主題訊息
[00:01:25.680 --> 00:01:34.120]  所以上一堂我們嘗試在經文去理解
[00:01:34.120 --> 00:01:40.040]  這句我們覺得很不明白的說話
[00:01:40.040 --> 00:01:45.760]  其實它有很豐富的內容
[00:01:45.760 --> 00:01:48.960]  42章提到這個僕人
[00:01:48.960 --> 00:01:50.760]  沒有說是誰
[00:01:50.760 --> 00:01:56.880]  但前面一段41章第八節
[00:01:56.880 --> 00:02:04.000]  第一次提到以色列我的僕人
[00:02:04.000 --> 00:02:05.680]  懂得讀聖經嗎?
[00:02:05.680 --> 00:02:08.640]  不可以抽了一句出來
[00:02:08.640 --> 00:02:10.280]  沒有上文
[00:02:10.280 --> 00:02:13.880]  沒有下理任我們安上它
[00:02:13.880 --> 00:02:15.600]  它在說什麼呢?
[00:02:15.600 --> 00:02:19.040]  其實從41章一開始
[00:02:19.040 --> 00:02:21.560]  經文很清楚
[00:02:21.560 --> 00:02:25.560]  我們說一路去到49章
[00:02:25.560 --> 00:02:35.480]  不斷提到以色列、雅各是上主的僕人
[00:02:35.480 --> 00:02:39.720]  所以這個黑眼耳聾的僕人
[00:02:39.720 --> 00:02:43.360]  當然一定不是耶穌基督
[00:02:43.360 --> 00:02:44.960]  想都不要想
[00:02:44.960 --> 00:02:49.960]  Don't even think about it
[00:02:49.960 --> 00:02:53.560]  但它也不是說一個先知
[00:02:53.560 --> 00:02:55.680]  或者一個個人
[00:02:55.680 --> 00:02:59.600]  今天我們讀聖經很野蠻
[00:02:59.600 --> 00:03:03.680]  我們要所有的經文都跟我說
[00:03:03.680 --> 00:03:05.520]  那我才有心基督
[00:03:05.520 --> 00:03:08.200]  不是的
[00:03:08.200 --> 00:03:16.000]  使徒亞書面對的是上主的百姓
[00:03:16.000 --> 00:03:22.000]  耶和華的子民亡國被擄
[00:03:22.000 --> 00:03:26.600]  流散在巴比倫外邦
[00:03:26.600 --> 00:03:30.680]  為什麼他們會搞成這樣呢?
[00:03:30.680 --> 00:03:34.000]  使徒亞書其實在第六章
[00:03:34.000 --> 00:03:42.560]  就已經用了這個黑眼耳聾的比喻去解釋
[00:03:42.560 --> 00:03:46.720]  這個是因為他們恐怕迴轉
[00:03:46.720 --> 00:03:49.560]  不是不懂得迴轉
[00:03:49.560 --> 00:03:51.240]  是懂得的
[00:03:51.240 --> 00:03:54.160]  不過抗拒迴轉
[00:03:54.160 --> 00:03:56.120]  不肯迴轉
[00:03:56.120 --> 00:04:00.280]  明知道這樣是迴轉
[00:04:00.280 --> 00:04:02.280]  不肯
[00:04:02.280 --> 00:04:06.000]  因為迴轉會得到醫治
[00:04:06.000 --> 00:04:08.880]  這是上帝的應許
[00:04:08.880 --> 00:04:10.680]  那為什麼不迴轉呢?
[00:04:10.680 --> 00:04:13.360]  是不是要先得到醫治呢?
[00:04:13.360 --> 00:04:14.200]  我們不明白
[00:04:14.200 --> 00:04:16.520]  所以我多加半句
[00:04:16.520 --> 00:04:19.120]  你今天祈禱
[00:04:19.120 --> 00:04:23.600]  你患了一個大病
[00:04:23.600 --> 00:04:25.960]  你求什麼呢?
[00:04:25.960 --> 00:04:28.440]  上帝一定要醫好我
[00:04:28.440 --> 00:04:32.920]  找了教會弟兄姊妹二十四小時
[00:04:32.920 --> 00:04:36.960]  為我醫得好祈禱
[00:04:36.960 --> 00:04:40.800]  聖經從來沒有這樣教我們祈禱
[00:04:40.800 --> 00:04:43.200]  聖經教我們的祈禱
[00:04:43.200 --> 00:04:47.640]  主耶穌自己在赫西瑪尼的祈禱
[00:04:47.640 --> 00:04:48.680]  「父神」
[00:04:48.680 --> 00:04:50.040]  什麼意思呢?
[00:04:50.040 --> 00:04:53.880]  「照你的意思」
[00:04:53.880 --> 00:04:56.560]  下面那句才慘
[00:04:56.560 --> 00:05:02.360]  「不要照我的意思」
[00:05:02.360 --> 00:05:04.400]  你肯不肯這樣祈禱?
[00:05:04.400 --> 00:05:06.960]  一定不肯
[00:05:06.960 --> 00:05:08.440]  我寫包單
[00:05:08.440 --> 00:05:10.240]  你一定不肯
[00:05:10.240 --> 00:05:13.000]  上帝你聽我祈禱
[00:05:13.000 --> 00:05:18.200]  不是我聽你的意思
[00:05:18.200 --> 00:05:19.680]  你明白嗎?
[00:05:19.680 --> 00:05:22.280]  這個選擇
[00:05:22.280 --> 00:05:27.720]  以色列猶大神的百姓
[00:05:27.720 --> 00:05:29.440]  在希西加王的時候
[00:05:29.440 --> 00:05:32.040]  「以塞亞先知生平」
[00:05:32.040 --> 00:05:33.960]  他們就是這樣
[00:05:33.960 --> 00:05:36.240]  「以龍硬核」
[00:05:36.240 --> 00:05:37.800]  所以這句話
[00:05:37.800 --> 00:05:41.320]  我的僕人「以龍硬核」
[00:05:41.320 --> 00:05:44.920]  是沒有逃避到
[00:05:44.920 --> 00:05:50.080]  他們亡國被擄的慘況
[00:05:50.080 --> 00:05:51.680]  沒事了
[00:05:51.680 --> 00:05:53.520]  一切平安
[00:05:53.520 --> 00:05:58.960]  回到最開頭的原因是什麼?
