
[00:00:00.000 --> 00:00:05.000]  各位領姐妹平安
[00:00:05.000 --> 00:00:08.000]  創世記系列
[00:00:08.000 --> 00:00:11.000]  當我們講完洪水之後
[00:00:11.000 --> 00:00:14.000]  今日就要跟大家分享
[00:00:14.000 --> 00:00:17.000]  洪水後的新世界
[00:00:17.000 --> 00:00:19.000]  大家要想到的
[00:00:19.000 --> 00:00:24.000]  以前全部的事情都過去了
[00:00:24.000 --> 00:00:26.000]  現在由頭開始
[00:00:26.000 --> 00:00:29.000]  你可以說是人類的再開始
[00:00:29.000 --> 00:00:35.000]  亦是所有動物、活物的再開始
[00:00:35.000 --> 00:00:39.000]  今日集中要跟大家分享的
[00:00:39.000 --> 00:00:42.000]  就是創世記第九章
[00:00:42.000 --> 00:00:48.000]  首先我想很多人都會有一個疑惑
[00:00:48.000 --> 00:00:57.000]  就是人類為何會發展成這麼多不同的種族呢?
[00:00:57.000 --> 00:01:02.000]  人種到底在何時開始呢?
[00:01:02.000 --> 00:01:05.000]  有一個古老的傳說
[00:01:05.000 --> 00:01:10.000]  黑種人、白種人和黃種人
[00:01:10.000 --> 00:01:15.000]  是今日整個世界最主要的一種
[00:01:15.000 --> 00:01:20.000]  這個傳說說原來開始的時候
[00:01:20.000 --> 00:01:26.000]  一個造物主用泥土搓成為一個人
[00:01:26.000 --> 00:01:32.000]  然後用焗爐燒
[00:01:32.000 --> 00:01:34.000]  燒到差不多的時候
[00:01:34.000 --> 00:01:35.000]  他就以為夠了
[00:01:35.000 --> 00:01:36.000]  就拿出來
[00:01:36.000 --> 00:01:41.000]  誰知道原來實際上還不夠火候
[00:01:41.000 --> 00:01:45.000]  這個人就成為白種人
[00:01:45.000 --> 00:01:50.000]  然後第二個時間就用焗爐焗久一點
[00:01:50.000 --> 00:01:54.000]  焗久一點再拿出來的時候就焦了
[00:01:54.000 --> 00:01:57.000]  最後就成為黑種人
[00:01:57.000 --> 00:02:01.000]  經過兩次都不是太完美之後
[00:02:01.000 --> 00:02:03.000]  這個造物主就知道
[00:02:03.000 --> 00:02:07.000]  第三次就不要太短也不要太長
[00:02:07.000 --> 00:02:08.000]  中間吧
[00:02:08.000 --> 00:02:17.000]  最後就焗到好像白種人和黑種人的時間的一半左右
[00:02:17.000 --> 00:02:21.000]  最後焗出來就變成黃種人
[00:02:21.000 --> 00:02:24.000]  這個就是一個傳說
[00:02:24.000 --> 00:02:27.000]  但實際上大家都知道
[00:02:27.000 --> 00:02:30.000]  這個傳說就是傳說
[00:02:30.000 --> 00:02:34.000]  我們是不可能相信這個傳說是真的
[00:02:34.000 --> 00:02:38.000]  但今日當我們去到第九章創世記的時候
[00:02:38.000 --> 00:02:44.000]  我們會看見神在創世記的第九章
[00:02:44.000 --> 00:02:50.000]  是重新創造人類的時候
[00:02:50.000 --> 00:02:52.000]  創天造地的時候
[00:02:52.000 --> 00:02:53.000]  祂的命令
[00:02:53.000 --> 00:02:56.000]  在第九章裡面
[00:02:56.000 --> 00:03:01.000]  你會看到有什麼是不可不為的
[00:03:01.000 --> 00:03:05.000]  不可不為的就是你們要
[00:03:05.000 --> 00:03:11.000]  我們看見在創世記的第九章第一和第二節
[00:03:11.000 --> 00:03:17.000]  實際上是重覆了創世記的第一章27、28節
[00:03:17.000 --> 00:03:19.000]  為什麼我們這樣說呢?
[00:03:19.000 --> 00:03:23.000]  我們看第一和第二節
[00:03:23.000 --> 00:03:26.000]  神賜福給羅亞和他的兒子
[00:03:26.000 --> 00:03:29.000]  對他們說你們要生養眾多
[00:03:29.000 --> 00:03:31.000]  遍滿了地
[00:03:31.000 --> 00:03:36.000]  要生養眾多遍滿了地
[00:03:36.000 --> 00:03:38.000]  這個地方是非常清楚
[00:03:38.000 --> 00:03:41.000]  這是一個命令
[00:03:41.000 --> 00:03:43.000]  是對人被造了之後
[00:03:43.000 --> 00:03:45.000]  神給他們的命令
[00:03:45.000 --> 00:03:49.000]  不要只是兩夫婦在享受就算了
[00:03:49.000 --> 00:03:51.000]  你要生養的
[00:03:51.000 --> 00:03:55.000]  以至這個地能夠滿了你們的後代
[00:03:55.000 --> 00:03:58.000]  然後第二部分
[00:03:58.000 --> 00:04:02.000]  凡地上的走獸和空中的飛鳥
[00:04:02.000 --> 00:04:05.000]  都必驚恐懼怕你們
[00:04:05.000 --> 00:04:07.000]  換句話來說
[00:04:07.000 --> 00:04:14.000]  神在這個地方賜給他們管理權、治理權
[00:04:14.000 --> 00:04:17.000]  是一切的活物要聽他們的話的
[00:04:17.000 --> 00:04:19.000]  而實際上
[00:04:19.000 --> 00:04:21.000]  當我們去到第一章的時候
[00:04:21.000 --> 00:04:23.000]  你等一會兒就會發覺到
[00:04:23.000 --> 00:04:27.000]  這是人被造的時候
[00:04:27.000 --> 00:04:29.000]  一早神已經賜給他們
[00:04:29.000 --> 00:04:32.000]  然後第九章第二節後半段
[00:04:32.000 --> 00:04:35.000]  連地上一切的昆蟲
[00:04:35.000 --> 00:04:37.000]  並海裡一切的魚
[00:04:37.000 --> 00:04:40.000]  都交付在你的手中
[00:04:40.000 --> 00:04:45.000]  這裡所說的是地上的走獸
[00:04:45.000 --> 00:04:47.000]  空中的飛鳥
[00:04:47.000 --> 00:04:50.000]  和海裡一切的魚
