
[00:00:00.000 --> 00:00:02.000]  (字幕: 由於時間關係,所以不得不休息)
[00:00:02.000 --> 00:00:04.000]  (字幕: 請勿模仿)
[00:00:04.000 --> 00:00:06.000]  我們農曆新年剛開始的時候
[00:00:06.000 --> 00:00:10.000]  我們往往會想起一些新年的立志
[00:00:10.000 --> 00:00:12.000]  在羅馬人的傳統裏面
[00:00:12.000 --> 00:00:15.000]  他們有一些不同的假神
[00:00:15.000 --> 00:00:17.000]  有很多不同的神話
[00:00:17.000 --> 00:00:20.000]  其中一個神話的主角叫做Janet
[00:00:20.000 --> 00:00:23.000]  不知在座的有沒有姊妹叫Janet
[00:00:23.000 --> 00:00:29.000]  這個虛神或這個神話裏面的神
[00:00:29.000 --> 00:00:31.000]  是有兩塊臉的
[00:00:31.000 --> 00:00:33.000]  兩個臉孔的
[00:00:33.000 --> 00:00:35.000]  一個前一個後的
[00:00:35.000 --> 00:00:40.000]  所以他們認為這個神能夠去管理門戶
[00:00:40.000 --> 00:00:45.000]  所以在門口的門口神就是Janet
[00:00:45.000 --> 00:00:47.000]  但是有兩塊臉的緣故
[00:00:47.000 --> 00:00:52.000]  令人想起可能是回顧前瞻的意思
[00:00:52.000 --> 00:00:56.000]  所以慢慢地成為了一個新年的代表
[00:00:56.000 --> 00:01:00.000]  所以今天的一月January
[00:01:00.000 --> 00:01:05.000]  就是紀念羅馬的虛神Janet
[00:01:05.000 --> 00:01:07.000]  如果你的名字叫Janet
[00:01:07.000 --> 00:01:08.000]  你可能會覺得很開心
[00:01:08.000 --> 00:01:10.000]  因為你的名字代表了一月
[00:01:10.000 --> 00:01:15.000]  是在153年羅馬入一月為了一年的第一個月
[00:01:15.000 --> 00:01:17.000]  其實在之前的時候
[00:01:17.000 --> 00:01:20.000]  March 3月才是新年開始
[00:01:20.000 --> 00:01:24.000]  所以現在January成為了一年開始
[00:01:24.000 --> 00:01:26.000]  如果你的名字叫Janet
[00:01:26.000 --> 00:01:30.000]  你應該記住有另外一個字是同一個字出來的
[00:01:30.000 --> 00:01:34.000]  就叫做Janet 就是清潔工人
[00:01:34.000 --> 00:01:38.000]  Janet顧名思義是管理一個門戶的人
