
[00:00:00.000 --> 00:00:08.000]  再次打開但義理書去言讀主的說話
[00:00:08.000 --> 00:00:12.000]  讓我們同心低頭禱告仰望愛主愛的神
[00:00:12.000 --> 00:00:18.000]  天父多謝祢 讓我們在祢的當中有這樣的福氣
[00:00:18.000 --> 00:00:25.000]  有這樣的生命 有這樣的智慧 去明白祢的說話
[00:00:25.000 --> 00:00:32.000]  但願我們的福氣不是單純只是我們自己得著
[00:00:32.000 --> 00:00:40.000]  而是有更多的人可以去明白 了解上帝你的救恩的緣由
[00:00:40.000 --> 00:00:47.000]  並且看到上主你的心懷意念 求你的幫助
[00:00:47.000 --> 00:00:57.000]  讓我們今天活在這個世界當中 自己新鮮事卒地去明白你的說話
[00:00:57.000 --> 00:01:00.000]  並且經歷其當中的挑戰
[00:01:00.000 --> 00:01:06.000]  好使這個過程能夠成為更多未相信主
[00:01:06.000 --> 00:01:10.000]  但是被上帝你的聖靈所觸動的人
[00:01:10.000 --> 00:01:19.000]  可以看到一個真正有宿命生命的人的生命力是如何活在這個世界當中
[00:01:19.000 --> 00:01:28.000]  在你的創造裏面能夠一同去彰顯和反映出上帝你的榮美
[00:01:28.000 --> 00:01:35.000]  求你的幫助帶領我們去同心禱告奉靠主耶穌基督得勝的名字而求
[00:01:35.000 --> 00:01:43.000]  當你遇上一些不明白的事情
[00:01:43.000 --> 00:01:56.000]  而這些事情在你的生命裏面作出一些傷害或憂戚的時候
[00:01:56.000 --> 00:02:03.000]  你會用什麼樣的態度去應對這些情況呢?
[00:02:03.000 --> 00:02:07.000]  我喜歡聽故事的 所以今天講到這裏
[00:02:07.000 --> 00:02:11.000]  我會講一個我自己的故事給大家聽
[00:02:11.000 --> 00:02:17.000]  當我在讀中學的時候 活在一個很殘忍的世界裏面
[00:02:17.000 --> 00:02:20.000]  就是有一個東西叫做中學回考
[00:02:20.000 --> 00:02:28.000]  決定一個人究竟可不可以去到有更高的學習機會
[00:02:28.000 --> 00:02:35.000]  我記得中學的回考試問時我都很勤力的
[00:02:35.000 --> 00:02:39.000]  自己都有某程度上的把握
[00:02:39.000 --> 00:02:45.000]  當時因為我在香港讀一間港島區的名校
[00:02:45.000 --> 00:02:51.000]  所以我對於自己應該可以回到自己的學校繼續升讀
[00:02:51.000 --> 00:02:55.000]  預科中六中七都有些把握和期盼
[00:02:55.000 --> 00:03:02.000]  但是當經歷了接近兩年的學習中四中五
