
[00:00:00.000 --> 00:00:10.000]  如果要用兩個字去形容這幾年大多數香港人怎樣過呢?
[00:00:10.000 --> 00:00:14.000]  我用難過
[00:00:14.000 --> 00:00:18.000]  難過兩個字有兩重意思
[00:00:18.000 --> 00:00:22.000]  第一重是心境的難過
[00:00:22.000 --> 00:00:26.000]  或者我會替別人難過
[00:00:26.000 --> 00:00:30.000]  如果你是鏡粉也好,不是鏡粉也好
[00:00:30.000 --> 00:00:34.000]  你知道紅館的意外
[00:00:34.000 --> 00:00:36.000]  阿Mo仍在留醫
[00:00:36.000 --> 00:00:40.000]  很多宣傳活動都停下來
[00:00:40.000 --> 00:00:44.000]  你會感到心情很難過
[00:00:44.000 --> 00:00:46.000]  為傷者難過
[00:00:46.000 --> 00:00:52.000]  為你所愛的姜濤、Anson難過
[00:00:52.000 --> 00:01:00.000]  但如果你是傷者的父母、親人、女朋友
[00:01:00.000 --> 00:01:06.000]  你每一分每一秒其實都很難過
[00:01:06.000 --> 00:01:10.000]  其實不要說這些那麼矚目的新聞
[00:01:10.000 --> 00:01:16.000]  過去幾年我們有太多很難過的時刻
[00:01:16.000 --> 00:01:22.000]  至於今天疫情破萬
[00:01:22.000 --> 00:01:26.000]  我們可能安排好一些程序
[00:01:26.000 --> 00:01:30.000]  可能要大打折扣
[00:01:30.000 --> 00:01:36.000]  我們對很多安排現狀有很多不滿意
[00:01:36.000 --> 00:01:40.000]  不滿意你仍要跟著做
[00:01:40.000 --> 00:01:44.000]  可能我們很不滿意小朋友上學了
[00:01:44.000 --> 00:01:46.000]  很多課外活動沒有了
[00:01:46.000 --> 00:01:50.000]  很多跟朋友玩的時間沒有了
[00:01:50.000 --> 00:01:52.000]  又戴著口罩上學是很辛苦的
[00:01:52.000 --> 00:01:58.000]  你不滿意都要繼續做
[00:01:58.000 --> 00:02:00.000]  儘管我們在疫情底下
[00:02:00.000 --> 00:02:04.000]  慢慢慢慢似乎習慣了
[00:02:04.000 --> 00:02:06.000]  適應了
[00:02:06.000 --> 00:02:08.000]  其實是很不適應的
[00:02:08.000 --> 00:02:10.000]  我每天早上戴著口罩
[00:02:10.000 --> 00:02:12.000]  做兩個小時的電台直播
[00:02:12.000 --> 00:02:16.000]  講完之後差點氣絕身亡是很辛苦的
[00:02:16.000 --> 00:02:24.000]  那種困難你很難去適應很多東西
[00:02:24.000 --> 00:02:30.000]  其實我們都有很多不安全感
[00:02:30.000 --> 00:02:34.000]  越有錢你越害怕
[00:02:34.000 --> 00:02:36.000]  我身邊很多有錢朋友
[00:02:36.000 --> 00:02:40.000]  經常想一下錢怎麼擺好呢
[00:02:40.000 --> 00:02:42.000]  資產不斷貶值
[00:02:42.000 --> 00:02:46.000]  會不會有一天很多資產轉移都受限制呢
[00:02:46.000 --> 00:02:48.000]  於是開很多離岸戶口
[00:02:48.000 --> 00:02:50.000]  這裡擺那裡擺那裡擺
[00:02:50.000 --> 00:02:52.000]  擺到自己都不知道錢擺在哪裏
[00:02:52.000 --> 00:02:56.000]  有錢有錢的煩惱
[00:02:56.000 --> 00:03:00.000]  其實我們對明天也有很多不樂觀
[00:03:00.000 --> 00:03:02.000]  經濟不樂觀
[00:03:02.000 --> 00:03:04.000]  氣候不樂觀
[00:03:04.000 --> 00:03:08.000]  本來政情加疫情都對我們很辛苦
[00:03:08.000 --> 00:03:12.000]  突然有鵝窩戰爭物價高漲
[00:03:12.000 --> 00:03:15.000]  美國加息都不關我們事
[00:03:15.000 --> 00:03:17.000]  但好多人打到這樣
[00:03:17.000 --> 00:03:21.000]  其實更大的不樂觀
[00:03:21.000 --> 00:03:24.000]  就像我們這一代在戰後出生的
[00:03:24.000 --> 00:03:27.000]  在戰後長者經歷過大戰
[00:03:27.000 --> 00:03:29.000]  在我們這一代戰後依然潮
[00:03:29.000 --> 00:03:30.000]  我們本來很安全的
[00:03:30.000 --> 00:03:33.000]  我們覺得我們會在香港最好的時代
[00:03:33.000 --> 00:03:36.000]  我們一生一世都不會再見到打仗
[00:03:36.000 --> 00:03:38.000]  我現在不敢說了
[00:03:38.000 --> 00:03:41.000]  分分鐘擦槍走火
[00:03:41.000 --> 00:03:44.000]  兩岸突然間有矛盾衝突
[00:03:44.000 --> 00:03:49.000]  香港當然不能置身事外
[00:03:49.000 --> 00:03:53.000]  有太多太多很負面的消息
[00:03:53.000 --> 00:03:56.000]  每天在折磨我們
[00:03:56.000 --> 00:04:00.000]  於是我們心裏面其實有很多憂慮
[00:04:00.000 --> 00:04:04.000]  如果你的憂慮過了某一條防線
[00:04:04.000 --> 00:04:08.000]  其實你開始有很多恐懼
[00:04:08.000 --> 00:04:10.000]  就算你沒有憂慮恐懼
[00:04:10.000 --> 00:04:12.000]  你有很多埋怨
[00:04:12.000 --> 00:04:14.000]  其實抱怨憂慮恐懼
[00:04:14.000 --> 00:04:18.000]  都在磨食我們的心境
[00:04:18.000 --> 00:04:22.000]  於是我們快樂指數不斷下降
[00:04:22.000 --> 00:04:25.000]  我們很多天不開心
[00:04:25.000 --> 00:04:27.000]  當然有不少基督徒
[00:04:27.000 --> 00:04:28.000]  我認識不少基督徒
[00:04:28.000 --> 00:04:30.000]  我相信孫生堂不知道有沒有這個情況
[00:04:30.000 --> 00:04:34.000]  很多教會流失得很厲害
[00:04:34.000 --> 00:04:36.000]  我自己的教會流失得很厲害
[00:04:36.000 --> 00:04:39.000]  流失的都是比較精壯的
[00:04:39.000 --> 00:04:46.000]  那些只是最能打最能做的那班忠奸份子
[00:04:46.000 --> 00:04:50.000]  於是教會其實都很多問題要處理
[00:04:50.000 --> 00:04:58.000]  很多教會同工都黯然地悄悄地離開了
[00:04:58.000 --> 00:05:00.000]  很多年青人說
[00:05:00.000 --> 00:05:02.000]  我為什麼還要信上帝呢?
[00:05:02.000 --> 00:05:04.000]  為什麼還要祈禱呢?
[00:05:04.000 --> 00:05:06.000]  祈禱不是很靈的
[00:05:06.000 --> 00:05:11.000]  我所祈禱的情況是越來越差
[00:05:11.000 --> 00:05:13.000]  是不是?
[00:05:13.000 --> 00:05:15.000]  但是我會問一句
[00:05:15.000 --> 00:05:19.000]  在這個時代除了信仰之外
[00:05:19.000 --> 00:05:22.000]  除了神的恩典 神的話語之外
[00:05:22.000 --> 00:05:25.000]  你還去哪裡找到安全感?
[00:05:25.000 --> 00:05:28.000]  去哪裡找到平靜安慰呢?
[00:05:28.000 --> 00:05:33.000]  所以今天我選了詩篇131
[00:05:33.000 --> 00:05:35.000]  詩篇131只有三節
[00:05:35.000 --> 00:05:37.000]  是不是最短的?
[00:05:37.000 --> 00:05:38.000]  不是最短的
[00:05:38.000 --> 00:05:40.000]  有一篇詩篇
[00:05:40.000 --> 00:05:41.000]  只有兩節
[00:05:41.000 --> 00:05:42.000]  就是117
[00:05:42.000 --> 00:05:43.000]  只有兩節
[00:05:43.000 --> 00:05:46.000]  不過不要小看這三節聖經
[00:05:46.000 --> 00:05:48.000]  無論它在聖經神學
[00:05:48.000 --> 00:05:50.000]  或者在聖經文學
[00:05:50.000 --> 00:05:55.000]  都擁有極崇高的地位
[00:05:55.000 --> 00:05:57.000]  今天我想許牧師的手筆
[00:05:57.000 --> 00:05:59.000]  封面文章
[00:05:59.000 --> 00:06:01.000]  不過現在真的很慘
[00:06:01.000 --> 00:06:06.000]  教牧童工很用心去寫封面文章
[00:06:06.000 --> 00:06:09.000]  會細心閱讀多少個呢?
[00:06:09.000 --> 00:06:12.000]  可能花了一個小時寫一篇文章
[00:06:12.000 --> 00:06:15.000]  那你看都不會看的
[00:06:15.000 --> 00:06:17.000]  真的變得很浪費
[00:06:17.000 --> 00:06:20.000]  這篇文章都引述了
[00:06:20.000 --> 00:06:22.000]  可能許牧師很尊敬
[00:06:22.000 --> 00:06:23.000]  也是我很尊敬
[00:06:23.000 --> 00:06:25.000]  很欣賞的一位當代牧者
[00:06:25.000 --> 00:06:27.000]  幾年前去世了
[00:06:27.000 --> 00:06:29.000]  Eugene Peterson
[00:06:29.000 --> 00:06:31.000]  畢得生牧師
[00:06:31.000 --> 00:06:33.000]  他譬如說是牧師當中的牧師
[00:06:33.000 --> 00:06:36.000]  很受教牧童工的尊崇
[00:06:36.000 --> 00:06:38.000]  他的作品很獨特
[00:06:38.000 --> 00:06:42.000]  也有相當大量譯成中文
[00:06:42.000 --> 00:06:45.000]  基本上我都有看
[00:06:45.000 --> 00:06:46.000]  學很多東西
[00:06:46.000 --> 00:06:52.000]  我沒有機會能夠在大師門下聽書
[00:06:52.000 --> 00:06:55.000]  幸好透過閱讀
[00:06:55.000 --> 00:06:57.000]  可以偷到詩
[00:06:57.000 --> 00:07:01.000]  Eugene Peterson對詩篇
[00:07:01.000 --> 00:07:03.000]  有很獨特的看法
[00:07:03.000 --> 00:07:07.000]  是華人神學家或牧者看不到的角度
[00:07:07.000 --> 00:07:09.000]  他形容詩篇131
[00:07:09.000 --> 00:07:14.000]  是一首維護保養的詩
[00:07:14.000 --> 00:07:16.000]  如果你家中有輛車
[00:07:16.000 --> 00:07:18.000]  正常來說
[00:07:18.000 --> 00:07:20.000]  半年要檢查車輛
[00:07:20.000 --> 00:07:22.000]  檢查車輛的各方面
[00:07:22.000 --> 00:07:24.000]  你家中沒有車
[00:07:24.000 --> 00:07:26.000]  還要種幾棵盆栽
[00:07:26.000 --> 00:07:29.000]  每天早上都要淋上花
[00:07:29.000 --> 00:07:30.000]  因為天氣很熱
[00:07:30.000 --> 00:07:32.000]  會否曬死它呢
[00:07:32.000 --> 00:07:35.000]  很多東西都要維護保養
[00:07:35.000 --> 00:07:37.000]  你買的電器
[00:07:37.000 --> 00:07:38.000]  現在都有
[00:07:38.000 --> 00:07:40.000]  有保養卡
