
[00:00:00.000 --> 00:00:05.300]  各位頂屎妹主題評論
[00:00:05.300 --> 00:00:07.420]  後面聽到
[00:00:07.420 --> 00:00:14.580]  C篇121篇
[00:00:14.580 --> 00:00:19.100]  我給的題目象行屍屍
[00:00:19.100 --> 00:00:28.040]  其實C篇裏面從120到134篇
[00:00:28.040 --> 00:00:38.440]  這15篇的詩篇都是象行屍屍
[00:00:38.440 --> 00:00:42.240]  這個標題句大家有沒有留意到
[00:00:42.240 --> 00:00:46.640]  在經文前面細一點的字
[00:00:46.640 --> 00:00:54.720]  表明他不是作者本來寫的時候放在書裏的
[00:00:54.720 --> 00:01:02.000]  是後來編輯詩篇的人
[00:01:02.000 --> 00:01:08.400]  將這15首詩篇放在一起的時候
[00:01:08.400 --> 00:01:14.960]  就加上這個標題
[00:01:14.960 --> 00:01:20.320]  象行屍屍在和諧本
[00:01:20.320 --> 00:01:30.400]  環繞一個小字的插柱畫作登階
[00:01:30.400 --> 00:01:33.000]  這些中文不深
[00:01:33.000 --> 00:01:37.280]  上樓梯還是上斜坡你會問
[00:01:37.280 --> 00:01:48.200]  其實這個詞彙不在乎上些甚麼
[00:01:48.200 --> 00:01:53.320]  是在乎去哪裏
[00:01:53.320 --> 00:01:58.000]  象行是舊有聖經
[00:01:58.000 --> 00:02:01.520]  以色列記尼西米記
[00:02:01.520 --> 00:02:08.280]  講到被老回歸的百姓
[00:02:08.280 --> 00:02:13.040]  神的子民從外邦
[00:02:13.040 --> 00:02:20.400]  回到耶路撒冷 上到頂巔
[00:02:20.400 --> 00:02:23.840]  所以這個標題很重要
[00:02:23.840 --> 00:02:27.440]  要講的不是一路平平安安
[00:02:27.440 --> 00:02:29.360]  住在耶路撒冷
[00:02:29.360 --> 00:02:31.720]  如果你很熟悉這篇詩篇
[00:02:31.720 --> 00:02:34.440]  講甚麼呢? 出入平安
[00:02:34.440 --> 00:02:37.760]  你出你入 耶和華要保護你
[00:02:37.760 --> 00:02:41.040]  我都剛剛貼過一個這樣的徽章
[00:02:41.040 --> 00:02:44.600]  今年還要馬上平安
[00:02:44.600 --> 00:02:47.720]  都好過上一次十二年前
[00:02:47.720 --> 00:02:51.480]  看維園有基督徒的攀蕩
[00:02:51.480 --> 00:02:53.640]  「以馬內利」
[00:02:53.640 --> 00:02:56.400]  馬有甚麼關係呢?
[00:02:56.400 --> 00:02:59.480]  想到就出了
[00:02:59.480 --> 00:03:03.120]  不是那麼膚淺的電視片
[00:03:03.120 --> 00:03:11.600]  原因就是你回到他唱這首詩的人
