
[00:00:00.000 --> 00:00:07.000]  今天我們來到耶利米蘇的了陷
[00:00:07.000 --> 00:00:10.000]  已經來到第四堂了
[00:00:10.000 --> 00:00:13.000]  我們記得第一堂講了概論
[00:00:13.000 --> 00:00:16.000]  第二堂我們講了第一至第六章
[00:00:16.000 --> 00:00:18.000]  我們講概論的時候
[00:00:18.000 --> 00:00:21.000]  我們就說前面那三十九章
[00:00:21.000 --> 00:00:24.000]  是主要是一些講論、神諭
[00:00:24.000 --> 00:00:26.000]  我們就將前面那二十章
[00:00:26.000 --> 00:00:29.000]  分為一些一般的講論
[00:00:29.000 --> 00:00:31.000]  然後第二十一章之後
[00:00:31.000 --> 00:00:33.000]  到第三十九章
[00:00:33.000 --> 00:00:36.000]  就是一個有時代性的講論
[00:00:36.000 --> 00:00:38.000]  但是說它有時代性之中
[00:00:38.000 --> 00:00:42.000]  其實也不是真的這樣順序地講
[00:00:42.000 --> 00:00:43.000]  歷史地講
[00:00:43.000 --> 00:00:46.000]  因為主要是二十章之後
[00:00:46.000 --> 00:00:51.000]  開始會比較多講這篇講章是何時講的
[00:00:51.000 --> 00:00:53.000]  之前那些我們現在
[00:00:53.000 --> 00:00:55.000]  就算到我們今天結束這一堂
[00:00:55.000 --> 00:00:58.000]  我們都是比較沒有什麼特別提到
[00:00:58.000 --> 00:01:01.000]  何時講這一篇講章
[00:01:01.000 --> 00:01:03.000]  到二十章、二十一章
[00:01:03.000 --> 00:01:05.000]  直到第三十九章
[00:01:05.000 --> 00:01:07.000]  就會是有時代性一點
[00:01:07.000 --> 00:01:09.000]  然後就論到愛邦
[00:01:09.000 --> 00:01:14.000]  之後就講到以色列人怎樣來亡國
[00:01:14.000 --> 00:01:16.000]  所以去到第四十五章
[00:01:16.000 --> 00:01:18.000]  講到敗亡等等的信息的時候
[00:01:18.000 --> 00:01:20.000]  我們也有很多信息
[00:01:20.000 --> 00:01:22.000]  大家有些印象
[00:01:22.000 --> 00:01:23.000]  就應該記得耶利米蘇
[00:01:23.000 --> 00:01:26.000]  大約在我們中國歷史裡面的春秋時代
[00:01:26.000 --> 00:01:28.000]  春秋時代很長
[00:01:28.000 --> 00:01:30.000]  我當時給大家知道
[00:01:30.000 --> 00:01:32.000]  是主前627年
[00:01:32.000 --> 00:01:34.000]  如果大家還不記得的話
[00:01:34.000 --> 00:01:36.000]  大約是680年左右
[00:01:36.000 --> 00:01:38.000]  那個時代來講信息
[00:01:38.000 --> 00:01:41.000]  在我們第一至第六章
[00:01:41.000 --> 00:01:43.000]  我們就說為什麼
[00:01:43.000 --> 00:01:45.000]  那個主題會是什麼呢?
[00:01:45.000 --> 00:01:47.000]  就是講到以色列人來拜偶像
