
[00:00:00.000 --> 00:00:08.000]  我們感謝撒美主能夠回到神的家裏面
[00:00:08.000 --> 00:00:10.000]  一齊的來敬拜
[00:00:10.000 --> 00:00:13.000]  我們感謝主給我們一個敬拜團隊
[00:00:13.000 --> 00:00:19.000]  能夠將我們的心靈帶到上帝的寶座的面前
[00:00:19.000 --> 00:00:23.000]  我們今天來思想一個重要的題目
[00:00:23.000 --> 00:00:27.000]  特別我們將以西傑書來做一個總結
[00:00:27.000 --> 00:00:32.000]  我們今天會講述到好幾章
[00:00:32.000 --> 00:00:34.000]  一路講到最後一章
[00:00:34.000 --> 00:00:37.000]  希望大家有個完整的心
[00:00:37.000 --> 00:00:41.000]  將以西傑書展開在我們面前
[00:00:41.000 --> 00:00:43.000]  特別我們思想這個題目
[00:00:43.000 --> 00:00:48.000]  這個末世是不是會來呢
[00:00:48.000 --> 00:00:51.000]  如果主耶穌基督今天回來
[00:00:51.000 --> 00:00:58.000]  你和我有沒有預備好迎見我們的主呢
[00:00:58.000 --> 00:01:01.000]  我們不知道主耶穌基督何時回來
[00:01:01.000 --> 00:01:03.000]  如果今天回來的話
[00:01:03.000 --> 00:01:07.000]  你的心態你的生活是怎樣呢
[00:01:07.000 --> 00:01:15.000]  我們今天來思想這個從以西傑書來看末世的預言
[00:01:15.000 --> 00:01:19.000]  特別是我們進入這個21世紀
[00:01:19.000 --> 00:01:22.000]  在我們2022年一出現的時候
[00:01:22.000 --> 00:01:27.000]  2月份開始就是我們面對這一場的俄烏的戰爭
[00:01:27.000 --> 00:01:33.000]  在第二次大戰之後歐洲所出現的最嚴峻的這一場的戰爭
[00:01:33.000 --> 00:01:37.000]  而且為期這個半年到現在還沒有落幕
[00:01:37.000 --> 00:01:42.000]  將來是怎樣我們還是不知道未來的發展
[00:01:42.000 --> 00:01:46.000]  每一場戰爭都是很殘酷的
[00:01:46.000 --> 00:01:49.000]  很多人的生命因此而喪失
[00:01:49.000 --> 00:01:53.000]  很多的財產家園因此而破碎
[00:01:53.000 --> 00:01:58.000]  很多的難民幾百萬上千萬的難民
[00:01:58.000 --> 00:02:02.000]  就是這樣無家可歸離開他們的家園
[00:02:02.000 --> 00:02:05.000]  無論我們站在哪一邊來看
[00:02:05.000 --> 00:02:07.000]  我們都會問一個問題
[00:02:07.000 --> 00:02:11.000]  究竟俄羅斯會不會在這一場的戰爭裏面
[00:02:11.000 --> 00:02:14.000]  它的局勢會衰落呢?
[00:02:14.000 --> 00:02:17.000]  還是它會繼續持續下去呢?
[00:02:17.000 --> 00:02:23.000]  究竟俄羅斯在聖經裏面有沒有提到這個民族這個國家
[00:02:23.000 --> 00:02:26.000]  它在主耶穌基督再回來的時候
[00:02:26.000 --> 00:02:30.000]  這個民族這個國家會扮演一個什麼角色呢?
[00:02:30.000 --> 00:02:34.000]  今天我們進入了這個38章
[00:02:34.000 --> 00:02:37.000]  我們再來思想這個題目
[00:02:37.000 --> 00:02:42.000]  究竟俄羅斯它在聖經的預言裏面
[00:02:42.000 --> 00:02:45.000]  是怎樣來了解呢?
[00:02:45.000 --> 00:02:48.000]  38章一開始的時候
[00:02:48.000 --> 00:02:52.000]  就給我們看到一個景象
