
[00:00:00.000 --> 00:00:06.000]  今日和大家弟兄姊妹一起分享的經文是
[00:00:06.000 --> 00:00:10.000]  加拉太書第五章第24至第26節
[00:00:10.000 --> 00:00:16.000]  今日講到的題目是與神的靈平衡和平衡
[00:00:16.000 --> 00:00:20.000]  加拉太書第五章第24至第26節
[00:00:20.000 --> 00:00:42.000]  (天主教文)
[00:00:42.000 --> 00:00:49.000]  在法美洲生活中,我相信有一輛車可以說是一個必需品
[00:00:49.000 --> 00:00:56.000]  所以在加拿大或北美洲,一班人走在一起
[00:00:56.000 --> 00:00:59.000]  通常談論到汽車維修這個題目
[00:00:59.000 --> 00:01:05.000]  可以說是家常便飯和討論天氣沒有太大分別
[00:01:05.000 --> 00:01:08.000]  但不知道大家有沒有發現
[00:01:08.000 --> 00:01:11.000]  在我所認識的朋友當中
[00:01:11.000 --> 00:01:16.000]  每一次當我將車送到汽車維修中心的時候
[00:01:16.000 --> 00:01:23.000]  當地的職員通常馬上看完汽車維修紀錄後
[00:01:23.000 --> 00:01:25.000]  就會問一條問題
[00:01:25.000 --> 00:01:31.000]  你最近有沒有做過車輪的平衡
[00:01:31.000 --> 00:01:36.000]  我們通常說的就是wheel balance
[00:01:36.000 --> 00:01:42.000]  他們也會問有沒有做過車軸的平衡調節
[00:01:42.000 --> 00:01:46.000]  這個就更加普遍稱為alignment adjustment
[00:01:46.000 --> 00:01:48.000]  究竟這兩樣東西是什麼呢?
[00:01:48.000 --> 00:01:54.000]  或者這些問題經常被汽車維修交給老公處理
[00:01:54.000 --> 00:01:57.000]  自己未必清楚是什麼東西
[00:01:57.000 --> 00:01:59.000]  尤其是去到這些維修中心
[00:01:59.000 --> 00:02:02.000]  去到這些職員問到一條這樣的問題
[00:02:02.000 --> 00:02:04.000]  那麼有技術性的問題
[00:02:04.000 --> 00:02:06.000]  他們就不知道是什麼東西
[00:02:06.000 --> 00:02:09.000]  或者我在這裡簡單說一下
[00:02:09.000 --> 00:02:11.000]  什麼叫做車輪的平衡呢?
[00:02:11.000 --> 00:02:15.000]  這個衡是說到衡量
[00:02:15.000 --> 00:02:18.000]  用英文說就是weight
[00:02:18.000 --> 00:02:22.000]  是調節每個輪胎的旋轉
[00:02:22.000 --> 00:02:25.000]  當每個輪胎轉動的時候
[00:02:25.000 --> 00:02:27.000]  都有一個中心點
[00:02:27.000 --> 00:02:30.000]  那麼所謂車輪的平衡
[00:02:30.000 --> 00:02:33.000]  或者叫做wheel balance
[00:02:33.000 --> 00:02:34.000]  其實就是說
[00:02:34.000 --> 00:02:37.000]  究竟將車輪轉動的時候
[00:02:37.000 --> 00:02:41.000]  這個車輪會不會真的準確地圍繞著
[00:02:41.000 --> 00:02:45.000]  這個車輪的中心點而去旋轉
[00:02:45.000 --> 00:02:49.000]  這個就稱之為wheel balancing
[00:02:49.000 --> 00:02:51.000]  至於什麼叫做車輪的平衡呢?
[00:02:51.000 --> 00:02:54.000]  這個衡和先前的衡不是衡量的衡
[00:02:54.000 --> 00:02:56.000]  這個衡就是平衡的衡
[00:02:56.000 --> 00:02:58.000]  行動的衡
[00:02:58.000 --> 00:03:00.000]  是指到movement
[00:03:00.000 --> 00:03:03.000]  move into same direction的意思
[00:03:03.000 --> 00:03:05.000]  所以叫做alignment
[00:03:05.000 --> 00:03:08.000]  是指到所有的車輪
[00:03:08.000 --> 00:03:09.000]  轉動的時候
[00:03:09.000 --> 00:03:11.000]  它走的方向
[00:03:11.000 --> 00:03:14.000]  都是有沒有平衡地往同一個軌跡
[00:03:14.000 --> 00:03:17.000]  這樣去滾動向前行
[00:03:17.000 --> 00:03:19.000]  這兩樣東西聽起來
[00:03:19.000 --> 00:03:22.000]  就好像是一些很技術性的東西
[00:03:22.000 --> 00:03:25.000]  其實每輛車都需要做的東西
[00:03:25.000 --> 00:03:30.000]  通常做這些我們叫做wheel balance
[00:03:30.000 --> 00:03:35.000]  或者是做這些稱為alignment的調節
[00:03:35.000 --> 00:03:38.000]  其實每一項大約都是一百幾十元
[00:03:38.000 --> 00:03:39.000]  就可以做得到的
[00:03:39.000 --> 00:03:41.000]  不是一些很貴的東西
[00:03:41.000 --> 00:03:46.000]  也不是一個要經常做的一個維修程序
[00:03:46.000 --> 00:03:48.000]  可能說一年兩年
[00:03:48.000 --> 00:03:49.000]  甚至有時三年
[00:03:49.000 --> 00:03:51.000]  看你的里數多不多
[00:03:51.000 --> 00:03:56.000]  行的時候車的路面的凹凸情況
[00:03:56.000 --> 00:03:57.000]  如果你在一些路上
[00:03:57.000 --> 00:03:59.000]  經常都是平坦的柏油路
[00:03:59.000 --> 00:04:05.000]  當然車輪胎的轉動不會太走樣
[00:04:05.000 --> 00:04:06.000]  但如果不是的話
[00:04:06.000 --> 00:04:08.000]  通常這些都是兩三年
[00:04:08.000 --> 00:04:11.000]  才會做一次的一些調整
[00:04:11.000 --> 00:04:15.000]  因為這些調整
[00:04:15.000 --> 00:04:16.000]  有時做了之後
[00:04:16.000 --> 00:04:19.000]  很多人都覺得做了和沒做
[00:04:19.000 --> 00:04:21.000]  好像沒什麼大分別
[00:04:21.000 --> 00:04:24.000]  其中一個分別的只是可能
[00:04:24.000 --> 00:04:28.000]  就是說車輛行的時候比較震動一點
[00:04:28.000 --> 00:04:30.000]  又或者是談論到
[00:04:30.000 --> 00:04:33.000]  當車輛行的時候
[00:04:33.000 --> 00:04:35.000]  發覺為什麼越來越吃油
[00:04:35.000 --> 00:04:37.000]  用的汽油費會多了
[00:04:37.000 --> 00:04:40.000]  很多人就會自圓其說
[00:04:40.000 --> 00:04:42.000]  就會說車輛舊了
[00:04:42.000 --> 00:04:45.000]  當然車舊好像人也舊了
[00:04:45.000 --> 00:04:46.000]  機器壞了
[00:04:46.000 --> 00:04:50.000]  所以虧一點沒那麼順暢
[00:04:50.000 --> 00:04:52.000]  都是很正常的事
[00:04:52.000 --> 00:04:56.000]  於是很多人就當這些維修中心的職員
[00:04:56.000 --> 00:04:59.000]  問他們有沒有做這個平衡
[00:04:59.000 --> 00:05:01.000]  和做這個調整的時候
[00:05:01.000 --> 00:05:03.000]  他們就會說不用做了
[00:05:03.000 --> 00:05:05.000]  反正省下一百就一百
[00:05:05.000 --> 00:05:07.000]  幾十就幾十
[00:05:07.000 --> 00:05:09.000]  拖就拖
[00:05:09.000 --> 00:05:12.000]  這樣看上去就好像小意思
[00:05:12.000 --> 00:05:15.000]  不過其實大家如果有所不知
