
[00:00:00.000 --> 00:00:08.000]  建招拆招的意思是你要征戰
[00:00:08.000 --> 00:00:11.000]  人生不是一帆風順
[00:00:11.000 --> 00:00:14.000]  我相信大家無論年紀大年紀輕
[00:00:14.000 --> 00:00:17.000]  你都會知道人生是沒有一帆風順
[00:00:17.000 --> 00:00:20.000]  人生一定會遇到挫折
[00:00:20.000 --> 00:00:22.000]  一定會遇到困難
[00:00:22.000 --> 00:00:24.000]  即使你在順境當中
[00:00:24.000 --> 00:00:27.000]  你怎樣來應付順境所帶來
[00:00:27.000 --> 00:00:31.000]  一些可能令你驕傲令你跌倒
[00:00:31.000 --> 00:00:33.000]  當然在逆境當中
[00:00:33.000 --> 00:00:39.000]  你怎樣能夠不在一個灰心喪志的情況下
[00:00:39.000 --> 00:00:44.000]  覺得很憂鬱覺得很無望覺得很無助
[00:00:44.000 --> 00:00:48.000]  人生就是一連串的挑戰你要應付
[00:00:48.000 --> 00:00:52.000]  一連串的征戰你是沒有辦法不參與
[00:00:52.000 --> 00:00:55.000]  在建招拆招的過程當中
[00:00:55.000 --> 00:00:58.000]  如果我們是相信主耶穌的話
[00:00:58.000 --> 00:01:02.000]  是主耶穌的話語聖經的話語
[00:01:02.000 --> 00:01:06.000]  給我們力量來建招拆招
[00:01:06.000 --> 00:01:11.000]  建招拆招不是憑你和我那一點點的功夫
[00:01:11.000 --> 00:01:14.000]  那一點點的聰明那一點點的智慧
[00:01:14.000 --> 00:01:20.000]  那一點點的古惑來應付人生帶給我們的問題
[00:01:20.000 --> 00:01:22.000]  即使我們相信了主
[00:01:22.000 --> 00:01:27.000]  但我們每天都面對屬靈的挑戰
[00:01:27.000 --> 00:01:30.000]  因為有那惡者掌權
[00:01:30.000 --> 00:01:32.000]  我們生活在這個世界上
[00:01:32.000 --> 00:01:37.000]  我們每一天都要應付那惡者所帶來給我們的挑戰
[00:01:37.000 --> 00:01:40.000]  所以建招拆招我們在聖經裏面
[00:01:40.000 --> 00:01:48.000]  找一些例子去應付這些困難
[00:01:48.000 --> 00:01:50.000]  所以今天我要和大家思想的是
[00:01:50.000 --> 00:01:53.000]  在約書亞記我們要思想這個人叫約書亞
[00:01:53.000 --> 00:01:57.000]  今天的講題是當剛強壯膽
[00:01:57.000 --> 00:02:00.000]  是講到約書亞的故事
[00:02:00.000 --> 00:02:05.000]  約書亞的事件是發生在三千四百年前
[00:02:05.000 --> 00:02:07.000]  三千四百年
[00:02:07.000 --> 00:02:12.000]  是主耶穌來公元前的一千四百年
[00:02:12.000 --> 00:02:14.000]  你加上現在二零一六年
[00:02:14.000 --> 00:02:18.000]  即是總共有三千多年的歷史
[00:02:18.000 --> 00:02:21.000]  這麼久的歷史我們講來幹甚麼呢
[00:02:21.000 --> 00:02:25.000]  但神將這些歷史放在聖經裏面
[00:02:25.000 --> 00:02:31.000]  是讓你和我在任何時候都可以借鏡
[00:02:31.000 --> 00:02:33.000]  即是神特別將這些事件
[00:02:33.000 --> 00:02:36.000]  很清楚地記載在聖經裏面
[00:02:36.000 --> 00:02:40.000]  是讓你和我在當中能夠得益處
[00:02:40.000 --> 00:02:43.000]  雖然這件事已經發生了三千多年
[00:02:43.000 --> 00:02:45.000]  我每一年都去聖地
[00:02:45.000 --> 00:02:46.000]  起碼一次
[00:02:46.000 --> 00:02:47.000]  今年會去兩次
[00:02:47.000 --> 00:02:50.000]  我在約旦那裏所見到的
[00:02:50.000 --> 00:02:52.000]  就是一片的曠野
[00:02:52.000 --> 00:02:53.000]  一片的沙漠
[00:02:53.000 --> 00:02:56.000]  就是三千多年前的那些以色列人
[00:02:56.000 --> 00:02:59.000]  摩西帶領他們從埃及那裏出來
[00:02:59.000 --> 00:03:01.000]  Exodus 戲都可以看
[00:03:01.000 --> 00:03:02.000]  你都知道
[00:03:02.000 --> 00:03:05.000]  是以色列人神揀選的民族
[00:03:05.000 --> 00:03:07.000]  本來是要透過這個民族
