
[00:00:00.000 --> 00:00:08.000]  多謝主讓我們今天可以一齊歌頌昔日
[00:00:08.000 --> 00:00:13.000]  今天直到永遠是一樣的耶穌基督
[00:00:13.000 --> 00:00:22.000]  今天我們也可以一齊思念從前傳道給引領我們的人
[00:00:22.000 --> 00:00:25.000]  我不知道誰選擇這些詩歌
[00:00:25.000 --> 00:00:33.000]  我覺得今天我們相聚和思想絕對有神的心意
[00:00:33.000 --> 00:00:35.000]  希望聖靈在我們當中
[00:00:35.000 --> 00:00:40.000]  讓我們想起以前的一些先聖先賢
[00:00:40.000 --> 00:00:42.000]  特別是宣教士
[00:00:42.000 --> 00:00:46.000]  你知不知道福音入潮州有多久了?
[00:00:46.000 --> 00:00:57.000]  你知不知道上星期日是香港潮人生命堂紀念創堂多少年?
[00:00:57.000 --> 00:01:01.000]  入潮州就一百七十幾年以上
[00:01:01.000 --> 00:01:08.000]  我們第一間在香港成立的生命堂就已經一百一十五年
[00:01:08.000 --> 00:01:14.000]  這一段日子也是Halloween的過了不久
[00:01:14.000 --> 00:01:17.000]  其實Halloween和All Saints
[00:01:17.000 --> 00:01:25.000]  都是讓我們有機會思想一下我們的先聖先賢
[00:01:25.000 --> 00:01:31.000]  所以我今天跟大家說的就是很特別的一位人物
[00:01:31.000 --> 00:01:35.000]  叫做William Chalmers Burns
[00:01:35.000 --> 00:01:37.000]  是蘇格蘭人
[00:01:37.000 --> 00:01:47.000]  也是英國長老差會猜到中國第一位的來華宣教士
[00:01:47.000 --> 00:01:50.000]  當然之前有馬勵遜
[00:01:50.000 --> 00:01:53.000]  他是持他差不多四十年的時間
[00:01:53.000 --> 00:01:57.000]  但是他是這個差會所猜來的
[00:01:57.000 --> 00:02:00.000]  希望我們思念他
[00:02:00.000 --> 00:02:01.000]  聆聽他
[00:02:01.000 --> 00:02:04.000]  回歸一個正統
[00:02:04.000 --> 00:02:07.000]  是很重要的信仰
[00:02:07.000 --> 00:02:11.000]  我不知道你看今天這個世界你是怎麼看的
[00:02:11.000 --> 00:02:14.000]  你覺得今天的信仰是怎樣的?
[00:02:14.000 --> 00:02:19.000]  教會裡面有沒有吹起一些古靈精怪的教訓的風氣?
[00:02:19.000 --> 00:02:21.000]  我不知道你怎麼看
[00:02:21.000 --> 00:02:24.000]  我自己就非常之憂心
[00:02:24.000 --> 00:02:30.000]  有人以為我是一個很前衛很開放的人
[00:02:30.000 --> 00:02:34.000]  其實這個是完全對我不認識不了解的
[00:02:34.000 --> 00:02:36.000]  可以前衛可以開放
[00:02:36.000 --> 00:02:41.000]  我當然絕對是沒有任何的東西綁住我
[00:02:41.000 --> 00:02:47.000]  但是我希望我永遠都是有堅固的信仰的Now
[00:02:47.000 --> 00:02:55.000]  是在耶穌基督裡面絕對拒絕被勾引被迷惑
[00:02:55.000 --> 00:03:01.000]  William Burns是1815年出生
[00:03:01.000 --> 00:03:03.000]  1868年去世
[00:03:03.000 --> 00:03:06.000]  只不過是53年的時間
[00:03:06.000 --> 00:03:12.000]  但是我很想我們潮人生命堂的人
[00:03:12.000 --> 00:03:14.000]  其實你不要忘記
[00:03:14.000 --> 00:03:20.000]  豐盛生命堂原本的名字叫什麼?
[00:03:20.000 --> 00:03:22.000]  觀塘潮人生命堂
[00:03:22.000 --> 00:03:26.000]  是九龍城潮人生命堂
[00:03:26.000 --> 00:03:28.000]  觀塘之塘
[00:03:28.000 --> 00:03:32.000]  這個應該是我們以前的名字
[00:03:32.000 --> 00:03:36.000]  不知道我們的註冊裡面是不是AKA
[00:03:36.000 --> 00:03:38.000]  我們叫做豐盛生命堂
[00:03:38.000 --> 00:03:41.000]  Also known as AKA
[00:03:41.000 --> 00:03:43.000]  舊名在這裡
[00:03:43.000 --> 00:03:48.000]  我們不要忘記我們到底是什麼的傳統
[00:03:48.000 --> 00:03:50.000]  我很想告訴你
