
[00:00:00.000 --> 00:00:06.000]  日本的地震海嘯發生之後,
[00:00:06.000 --> 00:00:13.000]  我聽到有一些問題出來了。
[00:00:13.000 --> 00:00:17.000]  這些問題就是,第一,
[00:00:17.000 --> 00:00:20.000]  如果神是全能的,
[00:00:20.000 --> 00:00:25.000]  為什麼祂不制止這些災難發生呢?
[00:00:25.000 --> 00:00:33.000]  這是令我引起一些思想回憶。
[00:00:33.000 --> 00:00:37.000]  就是我從一個無神論、唯物論、進化論的人,
[00:00:37.000 --> 00:00:39.000]  我改變之前,
[00:00:39.000 --> 00:00:43.000]  其中卡住我最大的一個難題,
[00:00:43.000 --> 00:00:46.000]  就是有關苦難的問題。
[00:00:46.000 --> 00:00:52.000]  我記得那時候我曾經引用過David Hume的一句話,
[00:00:52.000 --> 00:00:56.000]  他說他不相信是有理由的,
[00:00:56.000 --> 00:01:01.000]  因為怎麼可能一個人可以相信神又是全能,又是慈愛,
[00:01:01.000 --> 00:01:03.000]  是不可能的。
[00:01:03.000 --> 00:01:04.000]  為什麼呢?
[00:01:04.000 --> 00:01:07.000]  他說,一,如果神是全能的,
[00:01:07.000 --> 00:01:12.000]  祂應該能夠制止無辜的人受苦;
[00:01:12.000 --> 00:01:16.000]  第二,如果神是慈愛的,
[00:01:16.000 --> 00:01:21.000]  祂應該制止無辜的人受苦;
[00:01:21.000 --> 00:01:28.000]  第三,這個世界仍然充滿著無辜的人受苦。
[00:01:28.000 --> 00:01:30.000]  是因為這樣的緣故,
[00:01:30.000 --> 00:01:34.000]  他就說,只有三個可能性。
[00:01:34.000 --> 00:01:36.000]  第一個可能性,
[00:01:36.000 --> 00:01:38.000]  神不是全能的,
[00:01:38.000 --> 00:01:40.000]  祂愛莫能助。
[00:01:40.000 --> 00:01:42.000]  第二個可能性,
[00:01:42.000 --> 00:01:44.000]  可能神是全能,
[00:01:44.000 --> 00:01:46.000]  但祂不是慈愛,
[00:01:46.000 --> 00:01:48.000]  祂在耍我們。
[00:01:48.000 --> 00:01:50.000]  第三個可能性,
[00:01:50.000 --> 00:01:56.000]  如果一個人仍然堅持說神是全能,又是慈愛的話,
[00:01:56.000 --> 00:02:00.000]  他說這樣的神根本就不存在,
[00:02:00.000 --> 00:02:04.000]  是在你的幻想裏面。
[00:02:04.000 --> 00:02:08.000]  我記得我讀神學的時候,
[00:02:08.000 --> 00:02:12.000]  曾經邀請了一個猶太的拉比,
[00:02:12.000 --> 00:02:17.000]  在神學院講解有關苦難的問題。
[00:02:17.000 --> 00:02:22.000]  這個拉比,他同樣說,
[00:02:22.000 --> 00:02:28.000]  他自己的父母是在納粹期間,
[00:02:28.000 --> 00:02:32.000]  在集中營死亡的。
[00:02:32.000 --> 00:02:36.000]  是因為這樣的緣故,
[00:02:36.000 --> 00:02:39.000]  他自己本身寫了一篇文章,
[00:02:39.000 --> 00:02:42.000]  這個文章的名字叫做
[00:02:42.000 --> 00:02:52.000]  「神啊,我會原諒祢的無能。」
[00:02:52.000 --> 00:02:55.000]  在我們當中講到這些事情的時候,
[00:02:55.000 --> 00:02:58.000]  我發覺引起很多人的共鳴,
[00:02:58.000 --> 00:03:00.000]  這個共鳴就是,
[00:03:00.000 --> 00:03:02.000]  因為這個世界的苦難實在太多,
[00:03:02.000 --> 00:03:05.000]  我們怎樣去解釋神的全能,
[00:03:05.000 --> 00:03:10.000]  又能夠解釋到神的慈愛呢?
[00:03:10.000 --> 00:03:13.000]  另外一個問題,
[00:03:13.000 --> 00:03:16.000]  最近在災難發生之後,
[00:03:16.000 --> 00:03:18.000]  傳到我的耳中。
[00:03:18.000 --> 00:03:21.000]  這個問題本身,他就說,
[00:03:21.000 --> 00:03:23.000]  舊約的時代,
[00:03:23.000 --> 00:03:27.000]  神透過十災懲罰埃及人,
[00:03:27.000 --> 00:03:30.000]  因為他逼迫神的子民。
[00:03:30.000 --> 00:03:33.000]  在今天,
[00:03:33.000 --> 00:03:37.000]  神是透過地震、海嘯懲罰日本人,
