
[00:00:00.460 --> 00:00:03.280]  在地上活了超過半個世紀
[00:00:03.280 --> 00:00:09.420]  如果有一件事可以說是跟這個世界結下不解緣
[00:00:09.420 --> 00:00:11.460]  這個應該就是書本了
[00:00:11.460 --> 00:00:15.060]  我是自小學開始喜歡看書
[00:00:15.060 --> 00:00:21.460]  大半生是跟書本一起度過
[00:00:21.460 --> 00:00:25.760]  我沒試過看那本書
[00:00:25.760 --> 00:00:30.300]  會追回那個逆文的原本
[00:00:30.300 --> 00:00:33.100]  最近看了一本書
[00:00:33.100 --> 00:00:36.100]  我是先注意英文本的
[00:00:36.100 --> 00:00:39.400]  但那本書英文本都是逆本來的
[00:00:39.400 --> 00:00:44.800]  它是逆至葡萄牙一本的書
[00:00:44.800 --> 00:00:47.300]  叫做O Alchemist
[00:00:47.300 --> 00:00:50.440]  就是英文逆作叫Alchemist
[00:00:50.440 --> 00:00:52.440]  連禁詩
[00:00:52.440 --> 00:00:54.920]  然後它有一個主題的
[00:00:54.920 --> 00:00:57.840]  那個主題就是一個
[00:00:57.840 --> 00:01:04.580]  追隨自己心裏面的夢想的現代神話
[00:01:04.580 --> 00:01:07.920]  中文的逆本大體上不錯
[00:01:07.920 --> 00:01:11.360]  但是很多逆錯
[00:01:11.360 --> 00:01:15.380]  這本書我預備用一些時間
[00:01:15.380 --> 00:01:18.260]  把故事告訴你
[00:01:18.260 --> 00:01:22.340]  那個故事是講一個牧羊人
[00:01:22.340 --> 00:01:25.960]  怎樣追隨自己的夢想
[00:01:25.960 --> 00:01:31.720]  而最終是夢想成真
[00:01:31.720 --> 00:01:35.840]  作者是一個世界級的
[00:01:35.840 --> 00:01:37.960]  一個有名的作家
[00:01:37.960 --> 00:01:42.580]  叫做Palo Coelho
[00:01:42.580 --> 00:01:45.380]  是一個巴西人
[00:01:45.380 --> 00:01:48.300]  他開始的時候
[00:01:48.300 --> 00:01:54.100]  就用一個人人都很熟悉的希臘神話的故事開始
[00:01:54.100 --> 00:01:58.560]  但是給他有一個很獨特的結尾
[00:01:58.560 --> 00:02:04.960]  這個神話就是一個少年太愛自己的美貌
[00:02:04.960 --> 00:02:08.380]  終日在湖邊看自己的倒影
[00:02:08.380 --> 00:02:14.080]  終於就掉進湖裡淹死了
[00:02:14.080 --> 00:02:19.040]  在湖邊就長出一朵水仙花
[00:02:19.040 --> 00:02:22.200]  水仙花就是這個名字
[00:02:22.200 --> 00:02:24.400]  湖水就變成了鹹
[00:02:24.400 --> 00:02:25.620]  但是呢
[00:02:25.620 --> 00:02:29.960]  是因為湖裡的鹹
[00:02:29.960 --> 00:02:34.160]  森林女神有一天來到
[00:02:34.160 --> 00:02:36.360]  看到湖裡變成了鹹就問她
[00:02:36.360 --> 00:02:40.120]  為什麼你要哭呢
[00:02:40.120 --> 00:02:46.400]  你是否很捨不得那個美貌的少年
[00:02:46.400 --> 00:02:48.820]  如果是的話也不奇怪的
[00:02:48.820 --> 00:02:54.080]  因為我們整個森林的人的活物
[00:02:54.080 --> 00:02:59.280]  都經常希望可以借一些意來親近他
[00:02:59.280 --> 00:03:01.880]  這個湖邊說
[00:03:01.880 --> 00:03:03.200]  哭我就真的哭
[00:03:03.200 --> 00:03:07.540]  但是不是真的因為那個少年人很美麗的
[00:03:07.540 --> 00:03:09.360]  他說你不知道嗎
[00:03:09.360 --> 00:03:14.360]  你天天都看到那個少年在你的倒影裡
[00:03:14.360 --> 00:03:17.840]  來欣賞他的美麗
[00:03:17.840 --> 00:03:19.680]  那個湖就說
[00:03:19.680 --> 00:03:25.640]  他說不是他看到我很美嗎
[00:03:25.640 --> 00:03:28.960]  我在他的眼神裡面
[00:03:28.960 --> 00:03:32.840]  我看到自己很美的
[00:03:32.840 --> 00:03:38.360]  這個女神就笑著離開了
[00:03:38.360 --> 00:03:40.080]  我覺得這個故事
[00:03:40.080 --> 00:03:43.200]  她給他一個新的演繹
[00:03:43.200 --> 00:03:48.640]  跟整個故事要帶出的意志很有關係
[00:03:48.640 --> 00:03:55.480]  話說在一個地方
[00:03:55.480 --> 00:03:58.520]  有一個少年人叫聖地牙哥
[00:03:58.520 --> 00:04:02.800]  他是一個牧羊人
[00:04:02.800 --> 00:04:04.240]  當他讀完書
