
[00:00:00.000 --> 00:00:02.000]  (字幕: 王子)
[00:00:03.000 --> 00:00:06.000]  上星期開始了《新命記》
[00:00:06.000 --> 00:00:10.280]  今天會繼續講《新命記》一至三章
[00:00:10.280 --> 00:00:14.280]  其實《新命記》給人的印象並不好
[00:00:14.280 --> 00:00:17.280]  好像一本古老十八代的書
[00:00:17.280 --> 00:00:19.760]  而且還是很沉氣的
[00:00:19.760 --> 00:00:23.360]  很多時候我們讀《新命記》時會發覺
[00:00:23.360 --> 00:00:26.400]  很多經文已經在《埃及記》
[00:00:26.400 --> 00:00:28.560]  已經在《文素記》出現過
[00:00:28.560 --> 00:00:31.240]  現在在《新命記》又重複
[00:00:31.520 --> 00:00:33.000]  沉氣得不得了
[00:00:33.000 --> 00:00:37.040]  所以也是原因在《摩西五經》當中
[00:00:37.040 --> 00:00:39.240]  除了《利美記》以外
[00:00:39.240 --> 00:00:41.840]  講了很多憲制
[00:00:41.840 --> 00:00:44.320]  除了《利美記》以外
[00:00:44.320 --> 00:00:46.000]  《新命記》是最少人讀的
[00:00:46.000 --> 00:00:49.680]  其實《新命記》很適合我們讀
[00:00:49.680 --> 00:00:52.680]  因為《新命記》有很多很多
[00:00:52.680 --> 00:00:54.680]  屬靈的信息在裏面
[00:00:54.680 --> 00:00:55.960]  很適合我們
[00:00:55.960 --> 00:00:58.120]  我叫今天的信息做
[00:00:58.120 --> 00:01:01.600]  從檢討過去到展望將來
[00:01:01.600 --> 00:01:04.120]  在《新命記》一至三章
[00:01:04.120 --> 00:01:09.560]  和大家看看一至三章的背景
[00:01:09.560 --> 00:01:13.440]  其實在《新命記》一章一節和一章五節
[00:01:13.440 --> 00:01:20.200]  已經說以色列人去到摩訶的平原
[00:01:20.200 --> 00:01:22.400]  是約旦河的東面
[00:01:22.400 --> 00:01:24.400]  是耶利哥城的對岸
[00:01:25.200 --> 00:01:29.320]  他們隨時都可以渡過河進入迦南地
[00:01:29.320 --> 00:01:33.080]  摩西在那裏將神的律例典章
[00:01:33.080 --> 00:01:35.600]  再一次頒發給第二代的以色列人
[00:01:35.600 --> 00:01:39.920]  在第一章他回顧他們去到一個地方
[00:01:39.920 --> 00:01:42.480]  叫加底斯班尼亞的地方
[00:01:42.480 --> 00:01:47.240]  加底斯班尼亞其實已經很近應許之地
[00:01:47.240 --> 00:01:48.600]  很近迦南地
[00:01:48.600 --> 00:01:52.360]  所以這也是他們派十二個探子
[00:01:52.360 --> 00:01:54.280]  進入迦南地的地方
