
[00:00:00.000 --> 00:00:03.960]  各位大兄弟姊妹
[00:00:03.960 --> 00:00:05.200]  各位朋友你們好
[00:00:05.200 --> 00:00:07.200]  歡迎大家參加我們三藩市
[00:00:07.200 --> 00:00:09.920]  播道會網上五堂崇拜
[00:00:09.920 --> 00:00:14.960]  今天我們繼續思想論盡人生系列
[00:00:14.960 --> 00:00:17.360]  來到第25講了
[00:00:17.360 --> 00:00:19.520]  題目叫做人情味
[00:00:19.520 --> 00:00:24.800]  天文記載在菲勒比書第四章十節至二十節
[00:00:24.800 --> 00:00:27.440]  未開始思想這段聖經之前
[00:00:27.440 --> 00:00:28.880]  請用同心低頭
[00:00:28.880 --> 00:00:30.880]  我們先說一通禱告
[00:00:30.880 --> 00:00:34.400]  是誰人可稱呼我們滿心感謝你
[00:00:34.400 --> 00:00:40.800]  感謝你因為耶穌基督為愛我們的緣故
[00:00:40.800 --> 00:00:43.120]  犧牲在十字架上
[00:00:43.120 --> 00:00:45.840]  又叫我們彼此相愛
[00:00:45.840 --> 00:00:49.360]  教導我們做一個很有人情味的人
[00:00:49.360 --> 00:00:52.960]  叫我們在教會裏充滿人情味
[00:00:52.960 --> 00:00:55.120]  能夠彼此相愛
[00:00:55.120 --> 00:00:58.640]  人家認出我們是你的門徒
[00:00:58.640 --> 00:01:02.160]  求你藉著今天這段聖經
[00:01:02.160 --> 00:01:06.000]  去提醒、勸勉、教導、安慰、督察我們
[00:01:06.000 --> 00:01:07.040]  我們這樣禱告
[00:01:07.040 --> 00:01:08.880]  那是奉耶穌基督命求
[00:01:08.880 --> 00:01:10.880]  阿們
[00:01:10.880 --> 00:01:14.240]  中國有個很出名的作家叫做冰心
[00:01:14.240 --> 00:01:16.640]  他講過一句非常有趣的話
[00:01:16.640 --> 00:01:19.120]  一粒沙裏看世界
[00:01:19.120 --> 00:01:22.160]  半塊花瓣說人情
[00:01:22.160 --> 00:01:25.360]  人情這東西在中國人眼中
[00:01:25.360 --> 00:01:27.360]  其實是有點怪怪的
[00:01:27.360 --> 00:01:29.360]  亦有神秘感
[00:01:29.360 --> 00:01:30.560]  人家請客
[00:01:30.560 --> 00:01:31.840]  我家賀禮
[00:01:31.840 --> 00:01:34.240]  我們叫做做人情
[00:01:34.240 --> 00:01:36.080]  我不禁問
