
[00:00:00.000 --> 00:00:02.000]  各位早晨
[00:00:02.000 --> 00:00:04.000]  後面聽到嗎?
[00:00:04.000 --> 00:00:06.000]  我都有時用手提咪
[00:00:06.000 --> 00:00:08.000]  不過暫時用這個先
[00:00:08.000 --> 00:00:10.000]  好多謝你們,特別昨晚夠不夠睡
[00:00:10.000 --> 00:00:12.000]  我知道有些很遠
[00:00:12.000 --> 00:00:14.000]  有些是在
[00:00:14.000 --> 00:00:16.000]  美國來的,有些是新加坡來的
[00:00:16.000 --> 00:00:18.000]  香港都好多遠
[00:00:18.000 --> 00:00:20.000]  馬灣
[00:00:20.000 --> 00:00:22.000]  馬鞍山
[00:00:22.000 --> 00:00:24.000]  我認識的人就好像
[00:00:24.000 --> 00:00:26.000]  告訴我這樣
[00:00:26.000 --> 00:00:28.000]  但我想遠不遠都不要緊
[00:00:28.000 --> 00:00:30.000]  你慢慢習慣了
[00:00:30.000 --> 00:00:32.000]  都覺得不遠
[00:00:32.000 --> 00:00:34.000]  但你剛才見到
[00:00:34.000 --> 00:00:36.000]  Yanny是我的拍檔
[00:00:36.000 --> 00:00:38.000]  我們還有手語傳譯
[00:00:38.000 --> 00:00:40.000]  不是說你聽不到
[00:00:40.000 --> 00:00:42.000]  而是想你留心一點
[00:00:42.000 --> 00:00:44.000]  一會你會發覺
[00:00:44.000 --> 00:00:46.000]  原來平時
[00:00:46.000 --> 00:00:48.000]  能夠集中聽
[00:00:48.000 --> 00:00:50.000]  想和看
[00:00:50.000 --> 00:00:52.000]  有幫助你對家人的關係
[00:00:52.000 --> 00:00:54.000]  不過Yanny有親戚
[00:00:54.000 --> 00:00:56.000]  需要手語傳譯
[00:00:56.000 --> 00:00:58.000]  所以他們幫我
[00:00:58.000 --> 00:01:00.000]  另外要交代
[00:01:00.000 --> 00:01:02.000]  多謝葉牧師
[00:01:02.000 --> 00:01:04.000]  原因是我們幾個月前
[00:01:04.000 --> 00:01:06.000]  好像做夢一樣
[00:01:06.000 --> 00:01:08.000]  可不可以想一些
