
[00:00:00.000 --> 00:00:04.400]  如果你熟悉聖經的話
[00:00:04.400 --> 00:00:09.600]  你都知道這段聖經記載耶穌進入耶路撒冷
[00:00:09.600 --> 00:00:18.400]  這段聖經可以說是聖經關於耶穌生命的高峰
[00:00:18.400 --> 00:00:22.000]  大家知道耶穌是最後一次進入耶路撒冷
[00:00:22.000 --> 00:00:24.800]  進入耶路撒冷之後大概四天多
[00:00:24.800 --> 00:00:27.800]  他就上十字架死了
[00:00:27.800 --> 00:00:31.600]  所以在他人生中可以說是最高峰
[00:00:31.600 --> 00:00:34.400]  甚至可以說是基督教信仰的高峰
[00:00:34.400 --> 00:00:37.800]  聖經記載耶穌生平的有
[00:00:37.800 --> 00:00:40.600]  馬太、馬可、路加、約翰四個福音書
[00:00:40.600 --> 00:00:47.200]  四個福音書有些會記載其他自己生平的事蹟
[00:00:47.200 --> 00:00:52.600]  但四個福音書同樣記載一件事其實不是很多
[00:00:52.600 --> 00:00:55.000]  這是其中一個罕有的
[00:00:55.000 --> 00:00:58.000]  所以是很重要的
[00:00:58.000 --> 00:01:01.400]  回看歷史,耶穌進入耶路撒冷之後
[00:01:01.400 --> 00:01:04.200]  就開始走上十字架
[00:01:04.200 --> 00:01:07.200]  在基督教信仰中最重要的時刻
[00:01:07.200 --> 00:01:11.600]  所以可以說是耶穌生命中最重要的時刻
[00:01:11.600 --> 00:01:13.400]  的一個序幕
[00:01:13.400 --> 00:01:15.600]  今天我們就要回到現場
[00:01:15.600 --> 00:01:18.600]  來看看他究竟發生了什麼事
[00:01:18.600 --> 00:01:21.000]  當中更加重要的是
[00:01:21.000 --> 00:01:27.000]  我們的神耶穌想我們了解一些什麼的真理
[00:01:27.000 --> 00:01:28.400]  你會覺得很特別
[00:01:28.400 --> 00:01:30.000]  因為我今天給了一個題目
[00:01:30.000 --> 00:01:34.400]  叫做政治角力和漩渦中的屬靈步伐
[00:01:34.400 --> 00:01:37.200]  我想你猜到我想說什麼
[00:01:37.200 --> 00:01:41.600]  我從來都不是對號入座的
[00:01:41.600 --> 00:01:44.600]  不過你喜歡對號入座的話就隨便
[00:01:44.600 --> 00:01:47.200]  我講的就是聖經
[00:01:47.200 --> 00:01:48.600]  聖經的意思是什麼
[00:01:48.600 --> 00:01:51.400]  我絕對不會硬要拿一些聖經
[00:01:51.400 --> 00:01:54.600]  或者信仰的東西來講我的立場
[00:01:54.600 --> 00:01:58.600]  今天我也不會告訴你我什麼政治立場
[00:01:58.600 --> 00:02:00.200]  不過大家都知道
[00:02:00.200 --> 00:02:04.600]  今天你和我在香港其實都是一個政治的漩渦
[00:02:04.600 --> 00:02:06.000]  和角力
[00:02:06.000 --> 00:02:07.600]  有時候很無辜的
[00:02:07.600 --> 00:02:11.000]  我們成為我們一個香港整個地方
[00:02:11.000 --> 00:02:14.600]  甚至你和我都成為一個受害者
[00:02:14.600 --> 00:02:18.000]  我們很不幸的
[00:02:18.000 --> 00:02:19.600]  如果是這樣的話
[00:02:19.600 --> 00:02:21.800]  究竟耶穌這件事有什麼關係呢
[00:02:21.800 --> 00:02:25.200]  我等一下用一點時間和大家交代一下
[00:02:25.200 --> 00:02:29.600]  我絕對不是強行遷就我們現在所面對的問題
[00:02:29.600 --> 00:02:32.000]  當然我們很想和大家講究竟
[00:02:32.000 --> 00:02:33.200]  神的真理
[00:02:33.200 --> 00:02:36.400]  耶穌有什麼對於我們現在所面對的
[00:02:36.400 --> 00:02:40.000]  政治的角力和漩渦有什麼東西要講
[00:02:40.000 --> 00:02:41.800]  這肯定是我今天的信息
[00:02:41.800 --> 00:02:43.000]  不過在這裡之前
[00:02:43.000 --> 00:02:45.000]  我們先帶我們回到現場
[00:02:45.000 --> 00:02:47.200]  看看這件事是不是這樣
[00:02:47.200 --> 00:02:48.800]  如果不是的話
[00:02:48.800 --> 00:02:50.600]  我們就強行曲解聖經
[00:02:50.600 --> 00:02:53.000]  所以我始終覺得我有責任
[00:02:53.000 --> 00:02:54.600]  和大家試一試
[00:02:54.600 --> 00:02:59.200]  找一點時間了解當時的政治角力和形勢
[00:02:59.200 --> 00:03:01.600]  剛才如果你看過聖經
[00:03:01.600 --> 00:03:02.800]  可能你沒有留意到
[00:03:02.800 --> 00:03:04.800]  或者以前就算你是一個基督徒
[00:03:04.800 --> 00:03:06.200]  你看聖經這麼多年
[00:03:06.200 --> 00:03:08.600]  可能沒有留意到這件事是一個政治角力
[00:03:08.600 --> 00:03:09.600]  一個很險
[00:03:09.600 --> 00:03:15.000]  和一個非常危機關鍵的時刻
[00:03:15.000 --> 00:03:17.000]  我們試試這樣看
[00:03:17.000 --> 00:03:19.400]  從一個政治角度來看
[00:03:19.400 --> 00:03:24.000]  絕對是一件很政治性的事件
[00:03:24.000 --> 00:03:25.400]  什麼政治性呢?
[00:03:25.400 --> 00:03:27.400]  耶穌進入耶路撒冷
[00:03:27.400 --> 00:03:30.200]  不過是那些人歡呼
[00:03:30.200 --> 00:03:32.800]  搖鬆鬆的女子
[00:03:32.800 --> 00:03:36.600]  還在叫喊好生
[00:03:36.600 --> 00:03:38.200]  大家唱聖詩都唱過了
[00:03:38.200 --> 00:03:39.600]  「我殺了」
[00:03:39.600 --> 00:03:42.600]  是一個歡呼的說話
[00:03:42.600 --> 00:03:45.000]  主名來的
[00:03:45.000 --> 00:03:46.800]  是應當稱頌的
[00:03:46.800 --> 00:03:51.400]  這些說話背後究竟有什麼政治的含義呢?
[00:03:51.400 --> 00:03:54.200]  我試試從幾個角度讓大家看見
[00:03:54.200 --> 00:03:58.400]  政治的含義那種很險
[00:03:58.400 --> 00:04:01.800]  和很有危機感的情況
[00:04:01.800 --> 00:04:05.600]  剛才我們說除了我們所讀的
[00:04:05.600 --> 00:04:07.800]  路加福音所記載之外
[00:04:07.800 --> 00:04:09.600]  其實四個福音都有記載
[00:04:09.600 --> 00:04:11.400]  約翰福音是這樣記載的
[00:04:11.400 --> 00:04:13.600]  第十二章同樣一件事
