
[00:00:00.000 --> 00:00:09.160]  今天我們一起看馬太福音第22章15-22節
[00:00:09.160 --> 00:00:13.320]  我給了一個題目叫別試圖坐上神的位置
[00:00:13.320 --> 00:00:15.320]  很有趣的一個題目
[00:00:15.320 --> 00:00:23.840]  其實在神學上很多信徒很容易陷入一種陷阱
[00:00:23.840 --> 00:00:30.400]  這個陷阱叫做象神一樣
[00:00:30.400 --> 00:00:34.640]  我記得在公元2000年的時候
[00:00:34.640 --> 00:00:37.040]  我去以色列讀書
[00:00:37.040 --> 00:00:42.080]  遇到一群天主教徒和基督徒
[00:00:42.080 --> 00:00:47.040]  當中主要是教會的領袖和一群教務
[00:00:47.040 --> 00:00:52.720]  其中有四個是做傳道人
[00:00:52.720 --> 00:00:54.720]  在基督教教會的領袖
[00:00:54.720 --> 00:01:00.800]  他們的靈情狀態都很不同
[00:01:00.800 --> 00:01:07.840]  有時我懷疑他們對聖經是否明白
[00:01:07.840 --> 00:01:13.840]  因為在課程裏面有一個拉比提出
[00:01:13.840 --> 00:01:16.240]  在舊約聖經詩篇裏面
[00:01:16.240 --> 00:01:18.720]  我們要像神一樣
[00:01:18.720 --> 00:01:20.720]  如一個小神
[00:01:20.720 --> 00:01:22.720]  a little god
[00:01:22.720 --> 00:01:25.760]  在這個陳述裏面
[00:01:25.760 --> 00:01:28.240]  他就帶出一個觀念
[00:01:28.240 --> 00:01:30.240]  我們要像上帝一樣
[00:01:30.240 --> 00:01:33.040]  像而已 不是完全一樣
[00:01:33.040 --> 00:01:38.000]  聽起來很像合聖經的教導
[00:01:38.000 --> 00:01:40.720]  也是我在教會多年的時間裏
[00:01:40.720 --> 00:01:42.720]  經常聽見教會的牧者
[00:01:42.720 --> 00:01:44.720]  我們要像上帝
[00:01:44.720 --> 00:01:46.720]  像我們的神
[00:01:46.720 --> 00:01:48.720]  好像很色情
[00:01:48.720 --> 00:01:50.720]  但當我們仔細看
[00:01:50.720 --> 00:01:52.720]  在詩篇裏面的介紹
[00:01:52.720 --> 00:01:54.720]  所謂的little god
[00:01:54.720 --> 00:01:56.720]  這個概念
[00:01:56.720 --> 00:01:58.720]  其實是說到的就是
[00:01:58.720 --> 00:02:00.720]  以色列文
[00:02:00.720 --> 00:02:04.720]  要像一個真正的以色列文一樣
[00:02:04.720 --> 00:02:06.720]  所以當大家在新約聖經裏面
[00:02:06.720 --> 00:02:08.720]  耶穌呼召門徒當中
[00:02:08.720 --> 00:02:10.720]  其中有一個
[00:02:10.720 --> 00:02:12.720]  他回答耶穌的時候
[00:02:12.720 --> 00:02:14.720]  耶穌給他的評語
[00:02:14.720 --> 00:02:16.720]  真正的以色列文
