
[00:00:00.000 --> 00:00:07.000]  新約聖經四卷福音書
[00:00:07.000 --> 00:00:11.000]  馬太、馬可、路加、約翰
[00:00:11.000 --> 00:00:15.000]  他們記載耶穌生平的事蹟
[00:00:15.000 --> 00:00:24.000]  都是用復活作為最後壓軸的總結
[00:00:24.000 --> 00:00:27.000]  剛才我們讀的馬可福音
[00:00:27.000 --> 00:00:31.000]  就是最短的一個版本
[00:00:31.000 --> 00:00:38.000]  如果你看一些很深入的賢經版聖經
[00:00:38.000 --> 00:00:43.000]  他就會告訴你最古老的馬可福音首抄本
[00:00:43.000 --> 00:00:46.000]  是停在第八節
[00:00:46.000 --> 00:00:53.000]  第九節之後是馬可福音的增訂版的結束
[00:00:53.000 --> 00:00:56.000]  所以我說馬可福音是四卷福音書當中
[00:00:56.000 --> 00:01:05.000]  記載耶穌復活經過最簡短的一個版本
[00:01:05.000 --> 00:01:08.000]  是從婦女開始的
[00:01:08.000 --> 00:01:11.000]  這裡記載三位的婦女
[00:01:11.000 --> 00:01:15.000]  穆迪拉的瑪利亞、雅各的母親瑪利亞
[00:01:15.000 --> 00:01:18.000]  我們知道還有第三個瑪利亞
[00:01:18.000 --> 00:01:21.000]  其實前面那一節,十五節最後那一句
[00:01:21.000 --> 00:01:25.000]  已經有一個若西的母親瑪利亞
[00:01:25.000 --> 00:01:28.000]  若西和雅各應該是兩個人
[00:01:28.000 --> 00:01:30.000]  扯大欖也拉不起來
[00:01:30.000 --> 00:01:32.000]  兩兄弟?不可能的
[00:01:32.000 --> 00:01:34.000]  為什麼一個會說這個一個會說那個呢?
[00:01:34.000 --> 00:01:35.000]  你沒有聖經在手上
[00:01:35.000 --> 00:01:37.000]  所以看不到這些很有興趣的地方
[00:01:37.000 --> 00:01:40.000]  不過這裡說的是第三個薩諾米
[00:01:40.000 --> 00:01:41.000]  不是叫做瑪利亞
[00:01:41.000 --> 00:01:43.000]  這三個婦女一早起床
[00:01:43.000 --> 00:01:48.000]  七天的第一天清早出太陽的時候
[00:01:48.000 --> 00:01:50.000]  天黑的時候出不了門
[00:01:50.000 --> 00:01:51.000]  你去過聖地
[00:01:51.000 --> 00:01:53.000]  你知道周圍都是石頭
[00:01:53.000 --> 00:01:55.000]  沒有街燈
[00:01:55.000 --> 00:01:58.000]  所以要看路、要辨認方向
[00:01:58.000 --> 00:02:01.000]  要找到耶穌的墳墓
[00:02:01.000 --> 00:02:05.000]  這樣他們就要趁天朦光起程
[00:02:05.000 --> 00:02:06.000]  去做什麼呢?
[00:02:06.000 --> 00:02:08.000]  聖經記載得很清楚
[00:02:08.000 --> 00:02:12.000]  他們不是去迎接耶穌復活的
[00:02:12.000 --> 00:02:14.000]  和我們今天不同
[00:02:14.000 --> 00:02:15.000]  今天為什麼這麼早起床?
[00:02:15.000 --> 00:02:17.000]  哎呀!復活節、清早堂
[00:02:17.000 --> 00:02:19.000]  有些教會要六點鐘
[00:02:19.000 --> 00:02:20.000]  還要很冷
[00:02:20.000 --> 00:02:22.000]  在外國最流行的
[00:02:22.000 --> 00:02:23.000]  在英國的時候
[00:02:23.000 --> 00:02:25.000]  六點鐘走去一個山頭那裡
[00:02:25.000 --> 00:02:27.000]  三月很冷
[00:02:27.000 --> 00:02:28.000]  不要緊啦
[00:02:28.000 --> 00:02:30.000]  我們慶祝耶穌復活
[00:02:30.000 --> 00:02:31.000]  不是不是
[00:02:31.000 --> 00:02:32.000]  這幾個婦女
[00:02:32.000 --> 00:02:34.000]  她們出門的時候
[00:02:34.000 --> 00:02:36.000]  她們在想的是
[00:02:36.000 --> 00:02:38.000]  她們買了香膏
[00:02:38.000 --> 00:02:43.000]  她們要去膏耶穌的身體
[00:02:43.000 --> 00:02:44.000]  屍體
[00:02:44.000 --> 00:02:45.000]  說得清楚一點
[00:02:45.000 --> 00:02:46.000]  耶穌已經死了
[00:02:46.000 --> 00:02:48.000]  路加福音昨天我們說
[00:02:48.000 --> 00:02:51.000]  她們等了整整24個小時
[00:02:51.000 --> 00:02:53.000]  等了安息日過了
[00:02:53.000 --> 00:02:55.000]  還要等天亮
[00:02:55.000 --> 00:02:57.000]  她們就拿著香膏
[00:02:57.000 --> 00:02:59.000]  沒有離哥弟那麼誇張
[00:02:59.000 --> 00:03:00.000]  100斤
[00:03:00.000 --> 00:03:01.000]  記得
[00:03:01.000 --> 00:03:03.000]  以後都不會忘記了
[00:03:03.000 --> 00:03:04.000]  沒有100斤
[00:03:04.000 --> 00:03:06.000]  三個婦女拿了多少斤呢?
[00:03:06.000 --> 00:03:07.000]  你想想
[00:03:07.000 --> 00:03:08.000]  你可以練習一下
[00:03:08.000 --> 00:03:10.000]  舉重
[00:03:10.000 --> 00:03:11.000]  不是很多
[00:03:11.000 --> 00:03:13.000]  但是她們的心意你明白
[00:03:13.000 --> 00:03:16.000]  她們很尊敬耶穌
