
[00:00:00.000 --> 00:00:06.000]  我1961年回到禮賢會大會堂
[00:00:06.000 --> 00:00:08.000]  所以回來很多年
[00:00:08.000 --> 00:00:13.000]  我在加拿大就是安立了宣道會牧師
[00:00:13.000 --> 00:00:15.000]  所以我就是禮賢會大會堂
[00:00:15.000 --> 00:00:17.000]  有宣道會牧師的身份
[00:00:17.000 --> 00:00:20.000]  今天很開心回來和大家分享這題目
[00:00:20.000 --> 00:00:22.000]  這題目是一個很複雜的題目
[00:00:22.000 --> 00:00:24.000]  我有一個朋友說完之後
[00:00:24.000 --> 00:00:27.000]  以色列領事找人和他談了談
[00:00:27.000 --> 00:00:30.000]  因為他的說話不正確
[00:00:30.000 --> 00:00:33.000]  我和你說我的說話都不正確
[00:00:33.000 --> 00:00:36.000]  這個爭議性是沒有歷史性
[00:00:36.000 --> 00:00:39.000]  不過大家今晚平心去聽
[00:00:39.000 --> 00:00:41.000]  我不是專家
[00:00:41.000 --> 00:00:42.000]  我和你一樣
[00:00:42.000 --> 00:00:45.000]  不過我比較早讀了一些書
[00:00:45.000 --> 00:00:47.000]  又讀多了一點書
[00:00:47.000 --> 00:00:48.000]  是這麼多
[00:00:48.000 --> 00:00:50.000]  今天是很多東西
[00:00:50.000 --> 00:00:52.000]  120多張powerpoint
[00:00:52.000 --> 00:00:54.000]  其實是200多張
[00:00:54.000 --> 00:00:55.000]  我已經縮到100多張
[00:00:55.000 --> 00:00:57.000]  所以你聽不完
[00:00:57.000 --> 00:01:00.000]  你回去可以拿一張copy慢慢看
[00:01:00.000 --> 00:01:02.000]  我們祈禱
[00:01:02.000 --> 00:01:06.000]  天父在今天歷史的時空上
[00:01:06.000 --> 00:01:08.000]  我們知道你有你的心意
[00:01:08.000 --> 00:01:09.000]  有你的大靈
[00:01:09.000 --> 00:01:13.000]  但是實際在世界上歷史的各樣變化
[00:01:13.000 --> 00:01:15.000]  都不是我們完全掌握
[00:01:15.000 --> 00:01:17.000]  唯有在主在來的時候
[00:01:17.000 --> 00:01:20.000]  我們知道事情的真正來龍去脈
[00:01:20.000 --> 00:01:23.000]  祝福今晚與我們同在
[00:01:23.000 --> 00:01:25.000]  祈禱奉傳明求
[00:01:25.000 --> 00:01:27.000]  題目叫做
[00:01:27.000 --> 00:01:29.000]  從歷史看
[00:01:29.000 --> 00:01:30.000]  200是歷史
[00:01:30.000 --> 00:01:32.000]  不是從聖經看
[00:01:32.000 --> 00:01:33.000]  也不是從神學看
[00:01:33.000 --> 00:01:34.000]  是從歷史看
[00:01:34.000 --> 00:01:36.000]  所以今晚我會先說
[00:01:36.000 --> 00:01:37.000]  第一個部分是
[00:01:37.000 --> 00:01:39.000]  以色列的2000年史
[00:01:39.000 --> 00:01:41.000]  從流散到建國
[00:01:41.000 --> 00:01:45.000]  第二個部分是巴勒斯坦人2000年歷史
[00:01:45.000 --> 00:01:48.000]  從聚居到流散
[00:01:48.000 --> 00:01:50.000]  剛剛相反
[00:01:50.000 --> 00:01:53.000]  說得快
[00:01:53.000 --> 00:01:55.000]  聽漏了不要緊
[00:01:55.000 --> 00:01:57.000]  因為放在網上
[00:01:57.000 --> 00:01:59.000]  你再慢慢看
[00:01:59.000 --> 00:02:02.000]  猶太人在流散
[00:02:02.000 --> 00:02:07.000]  其實就是在羅馬人滅了猶太國之後
[00:02:07.000 --> 00:02:10.000]  他們就已經沒有辦法再留在自己的地方
[00:02:10.000 --> 00:02:14.000]  他們在外面地方
[00:02:14.000 --> 00:02:17.000]  是不忘巴勒斯坦這個地方
[00:02:17.000 --> 00:02:19.000]  是他們祖國的地方
[00:02:19.000 --> 00:02:24.000]  所以他們一直要一些人留在自己的原居地
[00:02:24.000 --> 00:02:27.000]  以便將來回去重新建國
[00:02:27.000 --> 00:02:29.000]  這是他們一直以來沒有忘記的
[00:02:29.000 --> 00:02:33.000]  這個民族因為已經沒有了聖殿
[00:02:33.000 --> 00:02:35.000]  所以用什麼為系?
[00:02:35.000 --> 00:02:36.000]  就是用希伯來文
[00:02:36.000 --> 00:02:41.000]  這也是主後90年猶太人在尖尼亞開了一個很重要的會議
[00:02:41.000 --> 00:02:44.000]  將舊約聖經定為正典
[00:02:44.000 --> 00:02:46.000]  不要希列文的翻譯
[00:02:46.000 --> 00:02:50.000]  以希伯來文作為唯一的猶太人舊約聖經
[00:02:50.000 --> 00:02:54.000]  所有的猶太人生生世世一定要讀希伯來文
[00:02:54.000 --> 00:02:57.000]  否則他們就不會聖經
[00:02:57.000 --> 00:02:59.000]  也失去他們的民族
[00:02:59.000 --> 00:03:03.000]  而這種用希伯來文為系的統一性
[00:03:03.000 --> 00:03:06.000]  為了將來重新建國
[00:03:06.000 --> 00:03:08.000]  他們有統一的語言
[00:03:08.000 --> 00:03:10.000]  不是英文 不是其他文
[00:03:10.000 --> 00:03:12.000]  是希伯來文古老的文字
[00:03:12.000 --> 00:03:17.000]  還有如果在外面死了
[00:03:17.000 --> 00:03:20.000]  最好回到自己的故鄉
[00:03:20.000 --> 00:03:22.000]  這個叫做葬回故土
[00:03:22.000 --> 00:03:27.000]  也希望這種聯繫不要散失
[00:03:27.000 --> 00:03:34.000]  拉比一直強化聖殿的影響
[00:03:34.000 --> 00:03:36.000]  要記住聖殿被毀之後
[00:03:36.000 --> 00:03:42.000]  他們說我們一定會回去
[00:03:42.000 --> 00:03:45.000]  建國 重建聖殿
[00:03:45.000 --> 00:03:48.000]  是每一代猶太人一直的盼望
[00:03:48.000 --> 00:03:51.000]  到了三世紀
[00:03:51.000 --> 00:03:55.000]  巴比倫的猶太學者建立了一個神學院
[00:03:55.000 --> 00:03:57.000]  和巴比倫 即是今天的伊拉克
[00:03:57.000 --> 00:04:00.000]  兩個神學院去研究聖經
[00:04:00.000 --> 00:04:02.000]  為什麼這麼著重研究舊約
[00:04:02.000 --> 00:04:05.000]  因為只有舊約聖經可以維繫著這種民族
[00:04:05.000 --> 00:04:10.000]  所以這種在中東地方的猶太人
[00:04:10.000 --> 00:04:14.000]  一直以來沒有忘記讀聖經 研究聖經
