
[00:00:00.000 --> 00:00:04.520]  各位靈智們平安
[00:00:04.520 --> 00:00:09.020]  感謝神我們再有機會一起集合
[00:00:09.020 --> 00:00:10.280]  來去敬拜神
[00:00:10.280 --> 00:00:13.580]  我們和心臟將這段時間交託給主
[00:00:13.580 --> 00:00:14.460]  我們一起祈禱
[00:00:14.460 --> 00:00:18.560]  主人耶華 當地上洪水氾濫
[00:00:18.560 --> 00:00:21.940]  祢仍然助紂補助為王
[00:00:21.940 --> 00:00:25.080]  主人耶華 祢仍然掌管天地
[00:00:25.080 --> 00:00:26.940]  掌管人類的歷史
[00:00:26.940 --> 00:00:28.940]  掌管我們生命的歷史
[00:00:28.940 --> 00:00:30.940]  主人祢吩咐我們
[00:00:30.940 --> 00:00:34.940]  要去使萬民作祢的門徒
[00:00:34.940 --> 00:00:38.940]  祢吩咐我們要作祢自己的見證人
[00:00:38.940 --> 00:00:41.940]  主人今天我們一起集到祢的面前
[00:00:41.940 --> 00:00:42.940]  我們敬拜祢
[00:00:42.940 --> 00:00:44.940]  尊崇祢是天地的主
[00:00:44.940 --> 00:00:48.940]  也渴望祢自己賜下祢聖經的恩賢
[00:00:48.940 --> 00:00:51.940]  激勵我們的心來跟隨祢
[00:00:51.940 --> 00:00:54.940]  也叫我們作順服祢的子民
[00:00:54.940 --> 00:00:56.940]  一生聽從祢的話
[00:00:56.940 --> 00:00:58.940]  走祢自己的路
[00:00:58.940 --> 00:00:59.940]  求主賜福
[00:00:59.940 --> 00:01:01.940]  帶領我們這段時間
[00:01:01.940 --> 00:01:04.940]  我們說的聽的都一同蒙恩
[00:01:04.940 --> 00:01:06.940]  我們仰望祈禱
[00:01:06.940 --> 00:01:08.940]  奉主耶穌明治求
[00:01:08.940 --> 00:01:10.940]  阿們
[00:01:10.940 --> 00:01:14.940]  大家會留意到今天是九月份的第一個主日
[00:01:14.940 --> 00:01:19.940]  大家知道九月份是教會每年定為猜拳月的時間
