
[00:00:00.000 --> 00:00:02.680]  請節目早晨
[00:00:02.680 --> 00:00:05.080]  今天主給我機會繼續和大家分享一則說話
[00:00:05.080 --> 00:00:08.200]  我們一直在看《馬克福音》
[00:00:08.200 --> 00:00:09.700]  如果大家還記得的話
[00:00:09.700 --> 00:00:13.280]  《馬克福音》我們在說耶穌最後一個星期
[00:00:13.280 --> 00:00:18.180]  就是說祂在這條記載裏面過了一段很短的時間
[00:00:18.180 --> 00:00:24.160]  祂將會上到十字架裏面面對十字架的刑罰
[00:00:24.160 --> 00:00:25.320]  在這段時間裏面
[00:00:25.320 --> 00:00:28.480]  祂去到當時宗教的核心耶路撒冷
[00:00:28.480 --> 00:00:31.080]  在那裏面對很多的挑戰
[00:00:31.080 --> 00:00:33.200]  很多人喜歡問一些刁難的問題
[00:00:33.200 --> 00:00:38.520]  就是問一些很刁鑽不容易回答的問題
[00:00:38.520 --> 00:00:40.920]  而最難的地方就是問這個問題的人
[00:00:40.920 --> 00:00:43.260]  根本不是想知道答案
[00:00:43.260 --> 00:00:46.920]  問這個問題的原因是想令到耶穌答不出
[00:00:46.920 --> 00:00:49.840]  顯示祂自己更加有智慧
[00:00:49.840 --> 00:00:51.560]  或者祂的信仰更加對
[00:00:51.560 --> 00:00:53.000]  耶穌曾經被人問過
[00:00:53.000 --> 00:00:57.960]  你將著甚麼權柄來趕出聖殿的作賣賣的人
[00:00:57.960 --> 00:00:59.960]  當然他們的意思是
[00:00:59.960 --> 00:01:02.080]  為甚麼你查我的檔案
[00:01:02.080 --> 00:01:03.800]  然後又問一個很刁難的問題
[00:01:03.800 --> 00:01:08.360]  問耶穌說應不應該納粹給當時的羅馬政府改煞
[00:01:08.360 --> 00:01:12.320]  當然他真正的問題是想耶穌答不出
[00:01:12.320 --> 00:01:14.840]  然後就令到耶穌有麻煩
[00:01:14.840 --> 00:01:16.720]  現在他同樣問一個問題
[00:01:16.720 --> 00:01:18.920]  其實問刁難的問題
[00:01:18.920 --> 00:01:20.440]  似乎歷世歷代的人都有的
[00:01:20.440 --> 00:01:22.240]  我不知道你有沒有試過問過呢?
[00:01:22.240 --> 00:01:24.080]  特別那些未信耶穌的人
[00:01:24.080 --> 00:01:26.040]  在他信耶穌的過程裏面
[00:01:26.040 --> 00:01:28.440]  時時都喜歡問一些向基督徒
[00:01:28.440 --> 00:01:30.960]  甚至向全隊人提出一些挑戰的問題
[00:01:30.960 --> 00:01:32.800]  很難回答的問題
[00:01:32.800 --> 00:01:35.440]  等他答不出的時候就顯示自己答對了
[00:01:35.440 --> 00:01:38.920]  大家有沒有試過被人問過
[00:01:38.920 --> 00:01:44.760]  甚至你未信主的時候都問過一些刁難的問題?
[00:01:44.760 --> 00:01:47.120]  在歷史裏面有一個人這樣問
[00:01:47.120 --> 00:01:51.600]  問說在上帝創造世界之先
[00:01:51.600 --> 00:01:52.640]  那上帝做些甚麼的?
[00:01:52.640 --> 00:01:55.120]  好像沒有東西做那樣
[00:01:55.120 --> 00:01:56.400]  自有永有
[00:01:56.400 --> 00:01:58.840]  沒有世人之前想他做甚麼的呢?
[00:01:58.840 --> 00:02:01.920]  有沒有聽過人問過這些問題呢?
[00:02:01.920 --> 00:02:05.480]  原來這些問題是在奧古斯丁的時候問他
[00:02:05.480 --> 00:02:09.400]  後來在過了差不多一千年之後
[00:02:09.400 --> 00:02:12.440]  加爾文就複述了這些問題
[00:02:12.440 --> 00:02:14.480]  加爾文就說
[00:02:14.480 --> 00:02:16.920]  上帝為問這個問題的人
[00:02:16.920 --> 00:02:19.160]  在創造世界之先
[00:02:19.160 --> 00:02:22.320]  上帝就為將會問這個問題的人
[00:02:22.320 --> 00:02:24.280]  預備地獄
[00:02:24.280 --> 00:02:27.200]  當然這個答案是質問問題的人
[00:02:27.200 --> 00:02:30.200]  一個很不客氣的方法
[00:02:30.200 --> 00:02:33.320]  但是我想近代的人就問另外類似的問題
[00:02:33.320 --> 00:02:34.320]  我不知道有沒有被人問過
[00:02:34.320 --> 00:02:36.000]  我被人問過幾次
[00:02:36.000 --> 00:02:38.240]  以為覺得這個問題很有趣
[00:02:38.240 --> 00:02:39.840]  令到你答不出的
[00:02:39.840 --> 00:02:42.240]  如果上帝是全能的話
[00:02:42.240 --> 00:02:43.600]  那他可不可以做一塊
[00:02:43.600 --> 00:02:46.280]  他自己都舉不起的石頭呢?
[00:02:46.280 --> 00:02:48.680]  有沒有聽過這個石頭問題呢?
[00:02:48.680 --> 00:02:50.400]  你怎麼回答都問題的 是不是?
[00:02:50.400 --> 00:02:51.400]  上帝能夠
[00:02:51.400 --> 00:02:53.360]  那就證明了一件事不能夠
[00:02:53.360 --> 00:02:55.480]  就是他不能夠舉起這個石頭
[00:02:55.480 --> 00:02:56.680]  如果上帝不能夠做
[00:02:56.680 --> 00:02:57.920]  那就一件事他做不了
[00:02:57.920 --> 00:02:59.160]  那就是上帝不是全能
[00:02:59.160 --> 00:03:00.880]  我覺得這個問題很有趣
[00:03:00.880 --> 00:03:02.760]  但其實這個問題犯了一個邏輯上的
[00:03:02.760 --> 00:03:04.320]  很嚴重的問題 是不是?
[00:03:04.320 --> 00:03:07.400]  就是如果邏輯上的不可能
[00:03:07.400 --> 00:03:08.640]  就算你加上上帝
[00:03:08.640 --> 00:03:11.120]  那個邏輯都是不可能
[00:03:11.120 --> 00:03:13.720]  就等於上帝可不可以做一個
[00:03:13.720 --> 00:03:18.080]  畫一個三角形的圓形呢?
[00:03:18.080 --> 00:03:19.120]  你知道我說什麼
[00:03:19.120 --> 00:03:20.720]  上帝可不可以畫一個三角形的圓形呢?
[00:03:20.720 --> 00:03:21.760]  這個邏輯上不可能
[00:03:21.760 --> 00:03:24.120]  因為三角形是180度圓形 360度
[00:03:24.120 --> 00:03:26.240]  基本上兩件事是不可以並存的
[00:03:26.240 --> 00:03:27.880]  就算你加上上帝上去之後
[00:03:27.880 --> 00:03:29.440]  那些都是邏輯不可能的事
[00:03:29.440 --> 00:03:30.680]  那些和神蹟不相同
[00:03:30.680 --> 00:03:32.680]  神蹟是違反大自然定律的
[00:03:32.680 --> 00:03:35.880]  和邏輯上不可能是兩個層次的問題
[00:03:35.880 --> 00:03:40.880]  所以可能很多人喜歡問這些刁難問題
[00:03:40.880 --> 00:03:44.120]  但更難的地方就是問刁難的問題
[00:03:44.120 --> 00:03:46.800]  不是真的想求答案
[00:03:46.800 --> 00:03:50.680]  不過想令到聽到問題的人覺得很難堪
[00:03:50.680 --> 00:03:53.040]  這樣的刁難問題
[00:03:53.040 --> 00:03:58.080]  不單止發生在未信的朋友當中
[00:03:58.080 --> 00:04:02.080]  還發生在有信仰的人的心靈裏面
[00:04:02.080 --> 00:04:03.440]  那個問題更加複雜了
[00:04:03.440 --> 00:04:04.880]  這裏就是一個例子
[00:04:04.880 --> 00:04:08.160]  這裏提到有一班人叫殺都該人
[00:04:08.160 --> 00:04:10.760]  如果請你看《馬可方訊》那一章
[00:04:10.760 --> 00:04:13.240]  我希望大家習慣打開聖經聽道
[00:04:13.240 --> 00:04:15.160]  可能我們現在有不同的版本
[00:04:15.160 --> 00:04:17.240]  不過希望你盡量翻開聖經
[00:04:17.240 --> 00:04:22.560]  我知道電子版的和學本修訂本好像要錢的
[00:04:22.560 --> 00:04:24.240]  電子版不用嗎?是嗎?
[00:04:24.240 --> 00:04:27.960]  那麻煩告訴我 我好像下載不了
[00:04:27.960 --> 00:04:31.960]  我不用給錢 所以沒有下載
[00:04:31.960 --> 00:04:35.480]  請你們翻開《馬福音》第十二章
[00:04:35.480 --> 00:04:37.960]  這裏說殺都該人來見耶穌
[00:04:37.960 --> 00:04:42.680]  殺都該人在全本新的聖經裏面出現過14次
[00:04:42.680 --> 00:04:45.520]  馬可謝利茨出現最多就是在馬太
[00:04:45.520 --> 00:04:48.720]  馬太因為特別針對猶太人說的
[00:04:48.720 --> 00:04:50.840]  所以馬太猶太人的色彩
[00:04:50.840 --> 00:04:53.840]  或者猶太人背景的資料是多一些的
[00:04:53.840 --> 00:04:58.560]  但是路加和馬可的對象很可能是外邦人
[00:04:58.560 --> 00:05:02.520]  所以他寫的時間提到猶太人的事比較少一些
[00:05:02.520 --> 00:05:05.440]  這裏和路加福音
[00:05:05.440 --> 00:05:07.920]  都是只是在這些科幻書裏面出現過一次
[00:05:07.920 --> 00:05:10.160]  殺都該人 就是這個事件
[00:05:10.160 --> 00:05:13.800]  就是他問耶穌一個刁難的問題
[00:05:13.800 --> 00:05:15.720]  一會兒我講講殺都該人的背景
[00:05:15.720 --> 00:05:18.120]  不過先看看他的問題
