
[00:00:00.000 --> 00:00:06.200]  我想今天也是一個很特別的時間
[00:00:06.200 --> 00:00:08.700]  要戴著口罩跟大家講道
[00:00:08.700 --> 00:00:11.600]  我想我們香港人在這個時間
[00:00:11.600 --> 00:00:14.800]  都會覺得這個世界有很多的陰霾
[00:00:14.800 --> 00:00:17.800]  去年經歷過半年的動亂
[00:00:17.800 --> 00:00:22.300]  想著過年有新的氣象
[00:00:22.300 --> 00:00:24.600]  本來想著可以慶祝一下
[00:00:24.600 --> 00:00:29.900]  誰知又來了這個新的肺炎
[00:00:29.900 --> 00:00:33.900]  現在世衛給個名字是要沒有任何地方的
[00:00:33.900 --> 00:00:34.900]  避免其事
[00:00:34.900 --> 00:00:37.900]  就叫做新肺炎 COVID-19
[00:00:37.900 --> 00:00:41.400]  搞到市面很慘淡
[00:00:41.400 --> 00:00:43.900]  所以在這樣的環境之下
[00:00:43.900 --> 00:00:47.900]  今天我就選了一段經文
[00:00:47.900 --> 00:00:49.900]  都是講到人生一個比較
[00:00:49.900 --> 00:00:52.900]  所謂一個低谷的情況之下
[00:00:52.900 --> 00:00:56.900]  都想跟大家在這個時間裏面
[00:00:56.900 --> 00:00:57.900]  去反思一下
[00:00:57.900 --> 00:01:00.900]  我們怎樣去面對一些人生的低谷
[00:01:00.900 --> 00:01:03.900]  未必一定是因為這個肺炎
[00:01:03.900 --> 00:01:06.400]  無論是什麼原因
[00:01:06.400 --> 00:01:09.400]  當我們面對一些人生的幽谷的時候
[00:01:09.400 --> 00:01:12.900]  我們應該怎樣去面對它
[00:01:12.900 --> 00:01:14.900]  我們選了詩篇耶義篇
[00:01:14.900 --> 00:01:17.900]  詩篇耶義篇比較長
[00:01:17.900 --> 00:01:20.400]  所以我就不會一口氣讀完
[00:01:20.400 --> 00:01:22.900]  不過如果你有性偏
[00:01:22.900 --> 00:01:24.400]  打開這個詩篇耶義篇
[00:01:24.400 --> 00:01:26.900]  不如我們一起讀八節
[00:01:26.900 --> 00:01:29.900]  我們一起讀詩篇耶義篇
[00:01:29.900 --> 00:01:31.400]  頭的八節
[00:01:31.400 --> 00:01:32.400]  預備起
[00:01:32.400 --> 00:01:36.900]  我的神,我的神,為什麼離棄我?
[00:01:36.900 --> 00:01:39.400]  為什麼遠離不救我?
[00:01:39.400 --> 00:01:42.900]  不聽我哀慳的言語
[00:01:42.900 --> 00:01:45.900]  我的神啊,我白日呼求
[00:01:45.900 --> 00:01:47.400]  你不應允
[00:01:47.400 --> 00:01:48.900]  夜間呼求
[00:01:48.900 --> 00:01:51.400]  並不主聲
[00:01:51.400 --> 00:01:53.900]  但你是聖潔的
[00:01:53.900 --> 00:01:57.400]  是用以色列的讚美為寶座的
[00:01:57.400 --> 00:01:59.900]  我們的祖宗倚靠你
[00:01:59.900 --> 00:02:01.900]  他們倚靠你
[00:02:01.900 --> 00:02:03.900]  你便解救他們
[00:02:03.900 --> 00:02:05.900]  他們哀求你
[00:02:05.900 --> 00:02:07.400]  便蒙解救
[00:02:07.400 --> 00:02:08.900]  他們倚靠你
[00:02:08.900 --> 00:02:10.900]  就不羞愧
[00:02:10.900 --> 00:02:13.900]  但我是蟲,不是人
[00:02:13.900 --> 00:02:15.900]  被眾人羞辱
[00:02:15.900 --> 00:02:18.400]  被百姓藐視
[00:02:18.400 --> 00:02:21.900]  凡看見我的都癡笑我
[00:02:21.900 --> 00:02:24.900]  他們撇嘴搖頭說
[00:02:24.900 --> 00:02:27.900]  他把自己交託耶和華
[00:02:27.900 --> 00:02:30.400]  耶和華可以救他吧
[00:02:30.400 --> 00:02:32.900]  耶和華既喜悅他
[00:02:32.900 --> 00:02:34.900]  可以達救他吧
[00:02:34.900 --> 00:02:37.900]  我們待會再做一個禱告
[00:02:37.900 --> 00:02:39.900]  主耶穌我們來到祢的面前
[00:02:39.900 --> 00:02:42.900]  我們特別將我們當中
[00:02:42.900 --> 00:02:44.900]  假如有會友
[00:02:44.900 --> 00:02:47.900]  現在心中有很多擔子
[00:02:47.900 --> 00:02:50.900]  無論是因為新的肺炎
[00:02:50.900 --> 00:02:53.900]  或者是生命中其他的原因
[00:02:53.900 --> 00:02:55.400]  無論是家人
[00:02:55.400 --> 00:02:56.900]  無論是健康
[00:02:56.900 --> 00:02:58.400]  無論是職業
[00:02:58.400 --> 00:03:01.400]  求你都與我們同在
[00:03:01.400 --> 00:03:04.400]  給我們力量去面對每一天
[00:03:04.400 --> 00:03:05.900]  給我們信心
[00:03:05.900 --> 00:03:07.900]  相信你托著我們
[00:03:07.900 --> 00:03:09.400]  你與我們同行
[00:03:09.400 --> 00:03:10.900]  禱告奉耶穌基督名
[00:03:10.900 --> 00:03:14.900]  我們就看這段經文
[00:03:14.900 --> 00:03:15.900]  這段經文
[00:03:15.900 --> 00:03:18.900]  我建議你思想這段經文
[00:03:18.900 --> 00:03:20.900]  這段經文好像在形容
[00:03:20.900 --> 00:03:24.900]  詩人去到生命的低谷時的感受
[00:03:24.900 --> 00:03:26.900]  我覺得這首詩
[00:03:26.900 --> 00:03:29.900]  很生動地去形容了
[00:03:29.900 --> 00:03:31.900]  當一個人陷入一種
[00:03:31.900 --> 00:03:32.900]  所謂我們叫做depression
[00:03:32.900 --> 00:03:33.900]  我們今天會說
[00:03:33.900 --> 00:03:36.900]  一個抑鬱的狀態之下
[00:03:36.900 --> 00:03:38.900]  那一種的心路歷程
[00:03:38.900 --> 00:03:41.900]  而詩篇、耶義篇都給我們一些提示
[00:03:41.900 --> 00:03:44.900]  當我們跌落這些
[00:03:44.900 --> 00:03:46.900]  類似憂鬱的情況之下
[00:03:46.900 --> 00:03:49.900]  我們應該怎樣去面對
[00:03:49.900 --> 00:03:51.900]  我首先和大家分享一下
[00:03:51.900 --> 00:03:53.900]  在詩人的形容之下
[00:03:53.900 --> 00:03:56.900]  當我們跌落一些
[00:03:56.900 --> 00:03:58.900]  屬靈的低潮
[00:03:58.900 --> 00:04:00.900]  或者一些抑鬱的情況之下
[00:04:00.900 --> 00:04:02.900]  我們的感受是怎樣的
[00:04:02.900 --> 00:04:03.900]  換句話說
[00:04:03.900 --> 00:04:07.900]  撒旦通常會用什麼伎倆
[00:04:07.900 --> 00:04:11.220]  在我們的心靈裏裏面製造了甚麼思想
[00:04:11.220 --> 00:04:16.680]  讓我們覺得我們是完全無助或被遺棄的人
[00:04:16.680 --> 00:04:19.960]  《夜語篇》一開始就這樣說
[00:04:19.960 --> 00:04:22.460]  《夜語篇》一至二節已經說了
[00:04:22.460 --> 00:04:25.640]  私人的慘況
[00:04:25.640 --> 00:04:27.200]  他覺得他呼求神
[00:04:27.200 --> 00:04:29.420]  神就不在聽他說話
[00:04:29.420 --> 00:04:31.800]  然後他就繼續形容了
[00:04:31.800 --> 00:04:34.700]  第三節、四節就開始說了
[00:04:34.700 --> 00:04:39.500]  就說耶和華是聖潔的 他拯救了祖宗
[00:04:39.500 --> 00:04:45.640]  這個私人明顯是以色列成長的人
[00:04:45.640 --> 00:04:50.080]  他知道了整套所謂的正確神學是甚麼
[00:04:50.080 --> 00:04:57.720]  所以他聽過耶和華如何拯救摩西那時的猶太人等等的故事
[00:04:57.720 --> 00:05:01.100]  他知道耶和華對那些列祖是很忠誠
[00:05:01.100 --> 00:05:02.500]  拯救了他們
[00:05:02.900 --> 00:05:05.040]  不過對私人來說
[00:05:05.040 --> 00:05:07.180]  他覺得不知為何
[00:05:07.180 --> 00:05:08.600]  他說不出理由
[00:05:08.600 --> 00:05:11.480]  但他沒有列祖那種經驗
[00:05:11.480 --> 00:05:14.700]  耶和華恩待了列祖
[00:05:14.700 --> 00:05:16.700]  但耶和華沒有恩待他
[00:05:16.700 --> 00:05:18.240]  而不但如此
[00:05:18.240 --> 00:05:19.040]  私人就說
[00:05:19.040 --> 00:05:20.880]  但我是蟲
[00:05:20.880 --> 00:05:24.200]  我不知道有多少人會在生命的一個光景裏
[00:05:24.200 --> 00:05:26.960]  覺得自己是一條蟲一樣
[00:05:26.960 --> 00:05:29.460]  不過這個私人就覺得自己
[00:05:29.460 --> 00:05:31.720]  他照鏡子看自己
[00:05:31.720 --> 00:05:32.880]  就覺得是這樣
[00:05:32.880 --> 00:05:34.440]  他不過是一條蟲
[00:05:34.440 --> 00:05:35.440]  不是一個人
[00:05:35.440 --> 00:05:39.520]  如果套用今天的一些心理詞彙
[00:05:39.520 --> 00:05:40.160]  就會說
[00:05:40.160 --> 00:05:42.240]  現在我們聽到有些人
[00:05:42.240 --> 00:05:45.240]  當他抑鬱的時候
[00:05:45.240 --> 00:05:49.000]  他會有一些身體自殘的行為
[00:05:49.000 --> 00:05:52.320]  就好像當他割傷手的時候
[00:05:52.320 --> 00:05:53.760]  當他的身體
[00:05:53.760 --> 00:05:56.080]  那隻手感受到痛的時候
[00:05:56.080 --> 00:05:58.080]  反而幫助他抒發
[00:05:58.080 --> 00:06:00.320]  心中說不出那種痛
[00:06:00.320 --> 00:06:04.120]  好像讓他能夠體會到自己那種痛
[00:06:04.120 --> 00:06:06.400]  私人大概都是這個光景
[00:06:06.400 --> 00:06:09.560]  他覺得自己是一塊廢物
[00:06:09.560 --> 00:06:10.560]  不是一個人
[00:06:10.560 --> 00:06:13.560]  他覺得所有人都在取笑他
[00:06:13.560 --> 00:06:14.640]  被眾人羞辱
[00:06:14.640 --> 00:06:15.680]  被百姓藐視
[00:06:15.680 --> 00:06:16.480]  第六節
[00:06:16.480 --> 00:06:17.960]  然後第八節
[00:06:17.960 --> 00:06:20.240]  其實如果大家熟讀新約
[00:06:20.240 --> 00:06:22.000]  可能知道第八節
[00:06:22.000 --> 00:06:23.800]  他把自己交託耶和華
[00:06:23.800 --> 00:06:26.000]  耶和華可以答救他
[00:06:26.000 --> 00:06:27.360]  這個其實在《馬太福音》
[00:06:27.360 --> 00:06:29.720]  耶七章會引用這節經文
[00:06:29.720 --> 00:06:32.880]  形容耶穌在十字架上
[00:06:32.880 --> 00:06:35.040]  被人恥笑
[00:06:35.040 --> 00:06:36.840]  換句話說
[00:06:36.840 --> 00:06:40.520]  當一個人跌落一個屬靈的低潮的時候
[00:06:40.520 --> 00:06:42.000]  第一個感覺就是覺得
[00:06:42.000 --> 00:06:46.120]  他是世界上唯一一個這麼慘的人
[00:06:46.120 --> 00:06:47.960]  沒有人可以了解他
[00:06:47.960 --> 00:06:52.520]  他覺得周圍的人都比他好
[00:06:52.520 --> 00:06:53.800]  周圍的人都比他好
[00:06:53.800 --> 00:06:57.200]  唯有他跌落這個悲慘的光景之後
[00:06:57.240 --> 00:06:59.000]  所以他看到每個人
[00:06:59.000 --> 00:07:00.880]  無論是有意無意
[00:07:00.880 --> 00:07:03.120]  眾人都在取笑他
[00:07:03.120 --> 00:07:06.200]  這個不知道是否客觀的形容
[00:07:06.200 --> 00:07:07.720]  還是主觀的感受
[00:07:07.720 --> 00:07:09.280]  不過不重要的
[00:07:09.280 --> 00:07:10.240]  對於私人來說
[00:07:10.240 --> 00:07:12.400]  最重要的是他的感受
[00:07:12.400 --> 00:07:15.480]  有時候我們都會面對一些困難
[00:07:15.480 --> 00:07:18.480]  我們都會有這樣的感覺
[00:07:18.480 --> 00:07:21.680]  不要看得太極端的例子
[00:07:21.680 --> 00:07:24.080]  剛才我和一些同工聊天
[00:07:24.080 --> 00:07:26.680]  有一個第一層的同工提到
[00:07:26.800 --> 00:07:29.360]  他有一次去搭地鐵
