
[00:00:00.000 --> 00:00:06.000]  我們今天就踏入到第七章了
[00:00:06.000 --> 00:00:09.800]  正如我們一直不斷提出
[00:00:09.800 --> 00:00:14.200]  阿摩斯書的標題一章一節告訴我們
[00:00:14.200 --> 00:00:20.600]  阿摩斯看到針對以色列的一些說話
[00:00:20.600 --> 00:00:23.000]  他看到什麼呢?
[00:00:23.000 --> 00:00:29.000]  就是等到第七章才開估
[00:00:29.000 --> 00:00:31.000]  或者說入正題
[00:00:31.000 --> 00:00:35.000]  這個技巧其實是我們說很典型的
[00:00:35.000 --> 00:00:37.000]  阿摩斯書的一個技巧
[00:00:37.000 --> 00:00:41.000]  就是說我們在第一章開始的時候已經接觸過
[00:00:41.000 --> 00:00:46.000]  才知道是很喜歡用一些懸疑的手法
[00:00:46.000 --> 00:00:52.000]  來引起聽的人的注意力
[00:00:52.000 --> 00:00:58.000]  然後最後才將他要說的信息說清楚
[00:00:58.000 --> 00:01:02.000]  但我們也強調
[00:01:02.000 --> 00:01:04.000]  等到最後這一部分
[00:01:04.000 --> 00:01:07.000]  就是阿摩斯書的第三部分
[00:01:07.000 --> 00:01:14.000]  才陸續將阿摩斯所看到的異象說出來
[00:01:14.000 --> 00:01:18.000]  是因為這些異象是審判的異象
[00:01:18.000 --> 00:01:26.000]  是以色列聽的百姓不容易接納的
[00:01:26.000 --> 00:01:33.000]  所以一方面阿摩斯要引起他們的注意
[00:01:33.000 --> 00:01:37.000]  從一開始一聽就拒絕
[00:01:37.000 --> 00:01:40.000]  到起碼聽完
[00:01:40.000 --> 00:01:42.000]  這個在第一部分
[00:01:42.000 --> 00:01:45.000]  就是第一章第二節到三章第八節
[00:01:45.000 --> 00:01:47.000]  我們已經看得很清楚了
[00:01:47.000 --> 00:01:52.000]  阿摩斯有這個辦法來引起聽眾的注意力
[00:01:52.000 --> 00:01:58.000]  但第二部分就是從第三章第九節到六章十四節
[00:01:58.000 --> 00:02:02.000]  中間這一部分我們也發現了第二個原因
[00:02:02.000 --> 00:02:11.000]  就是阿摩斯不是一開始就宣佈耶和華上帝的審判
[00:02:11.000 --> 00:02:16.000]  就是他用了很多的方法
[00:02:16.000 --> 00:02:23.000]  不只是引起注意而是勸他的聽眾悔改
[00:02:23.000 --> 00:02:26.000]  這兩個是不同的原因
[00:02:26.000 --> 00:02:29.000]  所以希望你們分開
[00:02:29.000 --> 00:02:35.000]  之所以留到最後第三部分才說這些異象
[00:02:35.000 --> 00:02:39.000]  一方面是要引起聽眾注意
[00:02:39.000 --> 00:02:47.000]  另一方面也盡力讓阿摩斯所見到的不會發生
[00:02:47.000 --> 00:02:49.000]  不需要發生
[00:02:49.000 --> 00:02:56.000]  如果聽的以色列民他們能夠懂得回轉
[00:02:56.000 --> 00:02:59.000]  臨危立馬
[00:02:59.000 --> 00:03:05.000]  阿摩斯所見到的審判就不需要臨到他們
[00:03:05.000 --> 00:03:11.000]  所以在第二部分我們見到先知的訊息有一個結構
[00:03:11.000 --> 00:03:16.000]  我們稱這個為一個線形或倒影的結構
[00:03:16.000 --> 00:03:21.000]  即是說開頭的一段和結尾的一段是呼應的
[00:03:21.000 --> 00:03:24.000]  第二段和尾二段是呼應的
[00:03:24.000 --> 00:03:27.000]  而在這個結構的核心部分
[00:03:27.000 --> 00:03:34.000]  也同樣出現另一個倒影或線形的結構
[00:03:34.000 --> 00:03:38.000]  就是開頭結尾是前後呼應
[00:03:38.000 --> 00:03:43.000]  這個線形的結構給我們一個印象
[00:03:43.000 --> 00:03:48.000]  就是說的人雖然很努力
[00:03:48.000 --> 00:03:50.000]  說了很多東西
[00:03:50.000 --> 00:03:53.000]  但是聽的人沒有改變
[00:03:53.000 --> 00:03:55.000]  無動於衷
[00:03:55.000 --> 00:03:58.000]  開始的時候是怎樣
[00:03:58.000 --> 00:04:01.000]  結束的時候又是怎樣
[00:04:01.000 --> 00:04:05.000]  繞個大圈回到原本開頭的時候
[00:04:05.000 --> 00:04:07.000]  一點都沒有分別
[00:04:07.000 --> 00:04:09.000]  所以從結構本身
[00:04:09.000 --> 00:04:18.000]  也有和主題和阿摩斯想要表達的訊息是分不開的
[00:04:18.000 --> 00:04:25.000]  不過很可惜在這兩個部分完結之後
[00:04:25.000 --> 00:04:31.000]  我們被迫要面對一個事實
[00:04:31.000 --> 00:04:38.000]  就是阿摩斯所傳的訊息
[00:04:38.000 --> 00:04:42.000]  雖然聽的人明白了
[00:04:42.000 --> 00:04:44.000]  但是沒有反應
[00:04:44.000 --> 00:04:46.000]  沒有果效
[00:04:46.000 --> 00:04:49.000]  不是若拿
[00:04:49.000 --> 00:04:52.000]  說一句
[00:04:52.000 --> 00:04:55.000]  全城的人就悔改
[00:04:55.000 --> 00:05:01.000]  所以你發覺在福音書裡也有引用若拿的事跡
[00:05:01.000 --> 00:05:03.000]  記不記得在馬太和路加裡
[00:05:03.000 --> 00:05:08.000]  耶穌對著一群求神跡的猶太人
[00:05:08.000 --> 00:05:10.000]  他說沒有神跡給你們看
[00:05:10.000 --> 00:05:12.000]  為什麼沒有神跡給你們看呢
[00:05:12.000 --> 00:05:14.000]  耶穌就說了兩個故事 兩個典故
