
[00:00:00.000 --> 00:00:07.800]  我想跟你讀的是14章第一和第二節
[00:00:07.800 --> 00:00:14.400]  《新命記》第14章第一第二節
[00:00:14.400 --> 00:00:16.300]  很短而已
[00:00:16.300 --> 00:00:18.800]  我希望你懂得背了它
[00:00:18.800 --> 00:00:21.500]  雖然你從來都不會背這些金句
[00:00:21.500 --> 00:00:24.600]  這些經文都好像不是金句
[00:00:24.600 --> 00:00:29.200]  但其實這裡有一個很重要的關鍵
[00:00:29.200 --> 00:00:35.600]  我們希望今早可以明白、理解
[00:00:35.600 --> 00:00:39.900]  《新命記》第14章第一節第二節
[00:00:39.900 --> 00:00:41.900]  我們一起讀好嗎?
[00:00:41.900 --> 00:00:46.600]  你們是耶和華 你們神的兒女
[00:00:46.600 --> 00:00:50.600]  不可為死人用刀劃身
[00:00:50.600 --> 00:00:54.000]  也不可將額上剃光
[00:00:54.000 --> 00:00:59.000]  因為你歸耶和華 你神為聖潔的民
[00:00:59.000 --> 00:01:02.500]  耶和華從地上的萬民中
[00:01:02.500 --> 00:01:07.800]  揀選你特作自己的子民
[00:01:07.800 --> 00:01:11.100]  昨晚多謝幾位弟兄收留我
[00:01:11.100 --> 00:01:14.300]  在他們的反思的分享
[00:01:14.300 --> 00:01:17.500]  我在其中都很得到提醒
[00:01:17.500 --> 00:01:19.200]  有弟兄說:
[00:01:19.200 --> 00:01:22.100]  「怎樣會令到我離開上帝?
[00:01:22.100 --> 00:01:29.300]  如果帶我信耶穌的那個人離開神
[00:01:29.300 --> 00:01:31.800]  對我影響很大」
[00:01:31.800 --> 00:01:33.000]  我們很多時候說
[00:01:33.000 --> 00:01:36.800]  我們的信心要建立在神的身上
[00:01:36.800 --> 00:01:38.200]  在耶穌的身上
[00:01:38.200 --> 00:01:41.000]  但是說就容易
[00:01:41.000 --> 00:01:44.800]  真是影響我們信不信的
[00:01:44.800 --> 00:01:48.700]  很多時候是我們所尊敬
[00:01:48.700 --> 00:01:52.100]  對我們最有影響的人
[00:01:52.100 --> 00:01:54.600]  如果他也跌倒
[00:01:54.600 --> 00:01:58.200]  為什麼我要信耶穌?
[00:01:58.200 --> 00:02:00.300]  另外一位弟兄的分享
[00:02:00.300 --> 00:02:02.700]  又好像很弔詭
[00:02:02.700 --> 00:02:04.700]  很paradoxical
[00:02:04.700 --> 00:02:08.600]  他提到在侍奉忘祿的當中
[00:02:08.600 --> 00:02:12.000]  原來又是可以很容易離開神
[00:02:12.000 --> 00:02:14.000]  我很有共鳴
[00:02:14.000 --> 00:02:15.800]  昨天問我的問題
[00:02:15.800 --> 00:02:18.000]  說院長做什麼的
[00:02:18.000 --> 00:02:21.000]  院長每天都手忙腳亂
[00:02:21.000 --> 00:02:24.700]  很多事情發生都與你無關
[00:02:24.700 --> 00:02:29.500]  很容易就會自己用自己的方法
[00:02:29.500 --> 00:02:31.900]  去解決問題
[00:02:31.900 --> 00:02:34.100]  去處理問題
[00:02:34.100 --> 00:02:40.600]  甚至有時候會用自己的脾氣、血氣、習慣
[00:02:40.600 --> 00:02:43.300]  忘記了問
[00:02:43.300 --> 00:02:49.100]  到底神將我放在這個崗位上
[00:02:49.100 --> 00:02:51.600]  祂想我做什麼呢?
[00:02:51.600 --> 00:02:56.800]  離開上帝有些時候不是一定要公開登報紙
[00:02:56.800 --> 00:02:58.500]  脫離教會
[00:02:58.500 --> 00:03:00.500]  很少人這樣做的
[00:03:00.500 --> 00:03:05.800]  有時候是你慢慢越走越遠
[00:03:05.800 --> 00:03:06.800]  我大學的時候
[00:03:06.800 --> 00:03:10.000]  我們四位弟兄很老友
[00:03:10.000 --> 00:03:12.400]  雖然不是同一間中學畢業
[00:03:12.400 --> 00:03:14.300]  但是入了大學之後
[00:03:14.300 --> 00:03:16.600]  在團契我們一起查經
[00:03:16.600 --> 00:03:18.600]  一起成長
[00:03:18.600 --> 00:03:20.200]  打生打死
[00:03:20.200 --> 00:03:22.100]  大家都有很多侍奉
[00:03:22.100 --> 00:03:23.800]  感謝神
[00:03:23.800 --> 00:03:25.400]  但是曾幾何時
[00:03:25.400 --> 00:03:26.500]  畢了業十年
[00:03:26.500 --> 00:03:30.200]  再見到其中一位
[00:03:30.200 --> 00:03:34.300]  他說我現在叫做後基督徒
[00:03:34.300 --> 00:03:36.600]  Post-Christian
[00:03:36.600 --> 00:03:38.600]  等於Post-Modern
[00:03:38.600 --> 00:03:41.500]  我不否認我曾經是基督徒
[00:03:41.500 --> 00:03:44.400]  我不否認基督教對我有些影響
[00:03:44.400 --> 00:03:47.400]  不過現在我不再是基督徒
[00:03:47.400 --> 00:03:48.900]  我問他
[00:03:48.900 --> 00:03:53.600]  老友,什麼事對你這麼大打擊?
[00:03:53.600 --> 00:03:55.500]  發生了什麼?
[00:03:55.500 --> 00:03:57.200]  是不是在你生命當中
[00:03:57.200 --> 00:03:59.700]  上帝令你很失望?
[00:03:59.700 --> 00:04:00.500]  他想了一會兒
[00:04:00.500 --> 00:04:01.700]  他很認真的
[00:04:01.700 --> 00:04:03.400]  他讀Psychology
