
[00:00:00.000 --> 00:00:14.000]  各位午安!新年快樂!情人節快樂!生日快樂!三樂!
[00:00:14.000 --> 00:00:20.000]  我們今天繼續思想老家福音的訊息
[00:00:20.000 --> 00:00:24.000]  我們剛剛來到老家福音第十章25至37節
[00:00:24.000 --> 00:00:28.000]  人間有情,請我們再一次同心低頭,同祈禱
[00:00:28.000 --> 00:00:33.000]  天父我們再一次感謝祢,讓祢寶貴話語作為我們生命的指引
[00:00:33.000 --> 00:00:40.000]  求祢藉著祢的話語提醒、勸勉、教導、安慰、督責,改變我們
[00:00:40.000 --> 00:00:45.000]  讓祢的話語藏在我們心中,改變我們的生命
[00:00:45.000 --> 00:00:48.000]  祈禱奉耶穌名求,阿們
[00:00:48.000 --> 00:00:58.000]  1957年,英國有名導演大衛連拍了一套非常出色的電影
[00:00:58.000 --> 00:01:02.000]  叫《桂河橋》,我想問有多少人看過這套電影?
[00:01:02.000 --> 00:01:08.000]  桂河橋,大概有我這個年紀的,因為是1957年的作品
[00:01:08.000 --> 00:01:14.000]  事實上這套電影是獲得荷里活最佳電影七個大獎
[00:01:14.000 --> 00:01:22.000]  1997年美國國會圖書館列出這套電影是其中一部最偉大的電影
[00:01:22.000 --> 00:01:26.000]  可能在我們中間看的都記得這首歌,主題歌
[00:01:26.000 --> 00:01:30.000]  (唱歌)
[00:01:30.000 --> 00:01:34.000]  不可以走音的,不好聽,挺好聽的,最佳音樂
[00:01:34.000 --> 00:01:39.000]  故事是講到第二次世界大戰的時候,新加坡淪陷
[00:01:39.000 --> 00:01:47.000]  當時一隊由阿歷堅尼斯飾演的英國軍官,叫做Colonel Nicholson
[00:01:47.000 --> 00:01:49.000]  和他的手下被俘虜
[00:01:49.000 --> 00:01:54.000]  日本人就將這幫俘虜送到緬甸的叢林當中
[00:01:54.000 --> 00:01:58.000]  為日軍建造一條橋,還願桂河
[00:01:58.000 --> 00:02:01.000]  這條橋在軍事戰略裏面是非常重要
[00:02:01.000 --> 00:02:11.000]  因為過了這條橋就將日軍的軍資,士兵,坦克車運過去,甚至可以去到印度
[00:02:11.000 --> 00:02:19.000]  當時負責建橋的日本軍官叫做Colonel Sato
[00:02:19.000 --> 00:02:27.000]  當Colonel Nicholson被俘虜到英國士兵的叢林的時候
[00:02:27.000 --> 00:02:34.000]  他第一件事就是拿了日內瓦的法律,一個典章
[00:02:34.000 --> 00:02:39.000]  就告訴Sato,根據日內瓦國際的條約
[00:02:39.000 --> 00:02:47.000]  所有被俘虜的軍人,軍官高,即是軍界高的
[00:02:47.000 --> 00:02:52.000]  是不可以做苦工的,你不可以逼那些軍官做苦工的
[00:02:52.000 --> 00:02:58.000]  當時Sato一聽到他的要求就搶了日內瓦的那本東西
[00:02:58.000 --> 00:03:06.000]  然後兜頭蓋過去,然後罰他和所有軍界高的人站在太陽裏面足足有十個小時
[00:03:06.000 --> 00:03:11.000]  然後就將Nicholson關在黑房裏
[00:03:11.000 --> 00:03:17.000]  Nicholson是一個典型的英國人,很重視原則,很重視法律
[00:03:17.000 --> 00:03:21.000]  是一個很固執,很自豪,很固執的人
[00:03:21.000 --> 00:03:26.000]  他不肯妥協,他說法律是這樣就是這樣,你打死我我都是這樣做的
[00:03:26.000 --> 00:03:31.000]  我是不會屈服的,所以就將Nicholson關在那個
[00:03:31.000 --> 00:03:35.000]  他寧願沒有東西吃,就算餓死他都不會屈服
[00:03:35.000 --> 00:03:43.000]  但在這個時候,日本的軍方,最高的軍方就有電報下來Sato
[00:03:43.000 --> 00:03:48.000]  因為事情緊急,戰事緊急,就要在盡快的時候
[00:03:48.000 --> 00:03:57.000]  要建好這些橋,要用這些英國的工兵,是很出名的engineer去建這條橋
