
[00:00:00.000 --> 00:00:11.000]  多謝你讓我們有生命在你的面前繼續去認識你
[00:00:11.000 --> 00:00:15.000]  更加是直接認識主你的啟示
[00:00:15.000 --> 00:00:21.000]  明白你在這個世界裏面的拯救所帶來的種種的挑戰
[00:00:21.000 --> 00:00:35.000]  和在當中的掙扎 又可以明白到我們如何與主你同步一額的重要關係
[00:00:35.000 --> 00:00:44.000]  亦感謝你讓我們有生命再次可以看得明白當中你所有的教訓
[00:00:44.000 --> 00:00:49.000]  因為你的聖靈能夠幫助我們
[00:00:49.000 --> 00:00:59.000]  更重要的是讓我們能夠更體驗到你獨生兒子耶穌基督所帶來的拯救和重生的盼望
[00:00:59.000 --> 00:01:02.000]  為此要獻上感謝
[00:01:02.000 --> 00:01:10.000]  因此求你幫助我們每一個無論是在上或下的弟兄姊妹
[00:01:10.000 --> 00:01:21.000]  都能夠在主你的當中 一同在這段聆聽主導的過程裏面有一個活潑的靈來領受當中的教訓
[00:01:21.000 --> 00:01:27.000]  我們同心的祷告奉靠主耶穌基督得聖的名字 阿們
[00:01:27.000 --> 00:01:34.000]  今天做基督徒最大的挑戰是什麼呢?
[00:01:34.000 --> 00:01:42.000]  我相信其中一個在聖經裏面很明白的就是如何在一個滿有罪惡的世界當中
[00:01:42.000 --> 00:01:47.000]  我們的靈性仍然保持清醒的狀態
[00:01:47.000 --> 00:01:55.000]  因為在這個時代裏面有不少立心不良的假教徒
[00:01:55.000 --> 00:02:08.000]  或者是有私心的牧者在不同層面裏面 特別是在教會裏面迷惑信徒
[00:02:08.000 --> 00:02:17.000]  他們會利用一些很漂亮的建築或是一些使人興奮的事工
[00:02:17.000 --> 00:02:23.000]  甚至可能是用一些你很喜歡聽的吸引人的話
[00:02:23.000 --> 00:02:32.000]  使你漸漸跟隨這些人 離開了真正的救恩的主
[00:02:32.000 --> 00:02:39.000]  所以很多時候即使他們談論到神的真理
[00:02:39.000 --> 00:02:51.000]  或者所謂的福音 其實都只是針對於愈人眼目或者是讓人喜悅的事
[00:02:51.000 --> 00:02:58.000]  但在過去這麼多個主日記裏面 其實大家都聽我去透過聖經的分享
[00:02:58.000 --> 00:03:05.000]  會知道聖經裏面的啟示其實是一些很容易的信息
[00:03:05.000 --> 00:03:16.000]  甚至是易人意的一些信息 因為天國的福音是針對人的聚性來講的忠言
[00:03:16.000 --> 00:03:23.000]  所謂忠言就易耳 不是每個人都會去接受忠言的
[00:03:23.000 --> 00:03:27.000]  只有一些人有悟性的人才會去接受忠言
[00:03:27.000 --> 00:03:38.000]  而能夠接受拯救的信息更加是需要有聖靈內在的人才會去接受
[00:03:38.000 --> 00:03:48.000]  但無奈我們生活在現在這個世界當中的確很多教會的領袖
[00:03:48.000 --> 00:03:57.000]  都是只會用各種迷人而且宏偉的建築來吸引人回教會
[00:03:57.000 --> 00:04:10.000]  或者是說一些很煽情 虛無縹緲的話來帶來一種假的虛擬的屬靈需要給我們
[00:04:10.000 --> 00:04:19.000]  而在這種方法裏面我作為一個真正的信徒我們又應該怎樣去面對和掙扎呢?
[00:04:19.000 --> 00:04:24.000]  怎樣去釋透他們有這種做法呢?
[00:04:24.000 --> 00:04:35.000]  耶穌在今天我們一起所看的這段經文裏面進一步去介紹給每一個人知道
[00:04:35.000 --> 00:04:44.000]  而在這個介紹當中有一個主題這個主題在今天廣道的程序裏面
