
[00:00:00.000 --> 00:00:06.100]  今天是我太太38周年結婚的紀念
[00:00:06.100 --> 00:00:10.460]  多謝你
[00:00:10.460 --> 00:00:14.080]  不過太太已經回天堂8年了
[00:00:14.080 --> 00:00:16.700]  本來今天我去霍富林墳場
[00:00:16.700 --> 00:00:20.820]  不過我又上班 又去馬鞍山報道會 下午
[00:00:20.820 --> 00:00:23.240]  所以我還是去不了墳場
[00:00:23.240 --> 00:00:25.900]  但是今天也是很重要見你們
[00:00:25.900 --> 00:00:29.120]  因為這個題目 我想起很多人
[00:00:29.120 --> 00:00:32.260]  在香港裡面真的要聽一聽
[00:00:32.260 --> 00:00:37.960]  就是我們的肩膀背了很多很重的東西
[00:00:37.960 --> 00:00:43.000]  我的手拿著很多很不願意拿 但是正在拿的東西
[00:00:43.000 --> 00:00:47.520]  其實這段聖經是在說 在埃及的時候
[00:00:47.520 --> 00:00:50.320]  以色列人是奴隸
[00:00:50.320 --> 00:00:56.420]  這些奴隸就是被埃及人要他們背
[00:00:56.420 --> 00:00:59.340]  背的那些東西是什麼呢?
[00:00:59.340 --> 00:01:05.940]  就是那些用來建造房屋的泥土、泥沙
[00:01:05.940 --> 00:01:09.180]  泥土、泥沙是最重的東西
[00:01:09.180 --> 00:01:11.640]  他們就背著這些東西
[00:01:11.640 --> 00:01:14.840]  所以當時這段詩篇講的時候
[00:01:14.840 --> 00:01:18.640]  是在說你今天是一個奴隸
[00:01:18.640 --> 00:01:23.420]  奴隸 不是你自願 但是你都要做
[00:01:23.420 --> 00:01:27.960]  就是背你不願意背的重擔
[00:01:27.960 --> 00:01:34.640]  但是聖經說 我是會令你放下這些東西的
[00:01:34.640 --> 00:01:37.660]  所以今天想和大家研究一下
[00:01:37.660 --> 00:01:42.320]  其實你有沒有這個感覺呢?
[00:01:42.320 --> 00:01:45.120]  每一次完了崇拜
[00:01:45.120 --> 00:01:49.420]  就會有很多家長 特別是女士很喜歡走來
[00:01:49.420 --> 00:01:53.420]  講什麼都不用聽 第一句當然是說我兒子、我女兒
[00:01:53.420 --> 00:01:57.300]  說不讀書、打遊戲機、不知道怎麼搞
[00:01:57.300 --> 00:02:00.080]  其實我都沒有心情回答他們
[00:02:00.080 --> 00:02:02.540]  原因就是一塊布這麼長
[00:02:02.540 --> 00:02:05.800]  我只是想聽 你告訴我
[00:02:05.800 --> 00:02:08.240]  這個問題 到今天搞成這樣
[00:02:08.240 --> 00:02:11.740]  隨時我都可以問你半個小時
[00:02:11.740 --> 00:02:14.220]  所以隨時我都要回答你半個小時
[00:02:14.220 --> 00:02:18.420]  所以其實沒得談 沒得談 你不要找我 沒得談
[00:02:18.420 --> 00:02:22.000]  特別是打遊戲機 我問你遊戲機是誰買給他的
[00:02:22.000 --> 00:02:24.740]  又是你買給他的
[00:02:24.740 --> 00:02:28.600]  所以很多事情是你做出來的
[00:02:28.600 --> 00:02:32.620]  不關那個小孩的事 他頑皮 是你中他的
[00:02:32.620 --> 00:02:35.820]  你給的東西全部都是你先給的
[00:02:35.820 --> 00:02:38.240]  事實上香港還有一些很乖
[00:02:38.240 --> 00:02:41.460]  基督教家庭的十分仔 特別是男孩子
[00:02:41.460 --> 00:02:44.800]  在用的手機只有打出和打入
[00:02:44.800 --> 00:02:46.220]  沒有其它的功能
