
[00:00:00.000 --> 00:00:03.800]  主持:安主母早晨
[00:00:03.800 --> 00:00:06.980]  很高興有再一次在主日的時候
[00:00:06.980 --> 00:00:08.840]  和大家一起敬拜上帝
[00:00:08.840 --> 00:00:13.080]  分享聖經裡面的話語
[00:00:13.080 --> 00:00:15.540]  今天和大家讀那段經文
[00:00:15.540 --> 00:00:16.420]  剛才那段經文
[00:00:16.420 --> 00:00:19.620]  我不知道大家有沒有
[00:00:19.620 --> 00:00:23.120]  謝偉業老師有沒有機會來過這裡講道
[00:00:23.120 --> 00:00:24.420]  有沒有 還沒有
[00:00:24.420 --> 00:00:30.660]  他其實是香港華人界的
[00:00:30.660 --> 00:00:33.400]  猶太人智慧文學的專家
[00:00:33.400 --> 00:00:36.900]  所謂智慧文學
[00:00:36.900 --> 00:00:38.880]  大家知道舊約哪幾本書
[00:00:38.880 --> 00:00:44.080]  是屬於猶太人智慧文學的例子
[00:00:44.080 --> 00:00:47.540]  在詩篇之前的《約伯記》
[00:00:47.540 --> 00:00:51.880]  詩篇之後的《針研傳道書》
[00:00:51.880 --> 00:00:54.560]  這裡算是起碼這三本書
[00:00:54.560 --> 00:00:57.820]  但是其實在猶太人裡面
[00:00:57.820 --> 00:01:00.160]  智慧的說話
[00:01:00.160 --> 00:01:02.100]  智慧的內容
[00:01:02.100 --> 00:01:04.460]  不只是這三本書
[00:01:04.460 --> 00:01:05.740]  如果你看的話
[00:01:05.740 --> 00:01:07.300]  其實在先知書
[00:01:07.300 --> 00:01:11.580]  在詩篇裡面也有很多這類的說話
[00:01:11.580 --> 00:01:14.640]  大小先知書裡面也有
[00:01:14.640 --> 00:01:18.640]  我們今天思考的這段經文
[00:01:18.640 --> 00:01:22.520]  也是一段時間裡面對我比較困擾
[00:01:22.520 --> 00:01:25.120]  我不知道大家之前有沒有讀過
[00:01:25.120 --> 00:01:26.320]  如果你讀過
[00:01:26.320 --> 00:01:28.960]  或者今天才第一次接觸這段經文
[00:01:28.960 --> 00:01:31.060]  有沒有困擾你
[00:01:31.060 --> 00:01:33.200]  對我的困擾
[00:01:33.200 --> 00:01:35.600]  有些東西已經知道了
[00:01:35.600 --> 00:01:36.960]  一輩子都困擾
