
[00:00:00.000 --> 00:00:07.120]  他講年齡之前講下年紀大
[00:00:07.120 --> 00:00:12.000]  這些都是作家慣常的用法
[00:00:12.000 --> 00:00:16.320]  他說老人沒有夢
[00:00:16.320 --> 00:00:18.320]  發夢的夢
[00:00:18.320 --> 00:00:19.520]  他說不是的
[00:00:19.520 --> 00:00:21.520]  老人家晚上睡覺有很多夢
[00:00:21.520 --> 00:00:24.720]  一天到晚睡得不太好
[00:00:24.720 --> 00:00:29.200]  他就說有些人沒有夢也沒有夢想
[00:00:29.200 --> 00:00:33.520]  沒有不顧一切的堅持
[00:00:33.520 --> 00:00:39.120]  沒有值得為之生為之死的生命祭壇
[00:00:39.120 --> 00:00:44.720]  沒有失望也沒有希望
[00:00:44.720 --> 00:00:50.720]  老是一種可怕的沒有反應
[00:00:50.720 --> 00:01:00.720]  老是一種把一切都視為理所當然的默默接受
[00:01:00.720 --> 00:01:04.720]  我不用你舉手了
[00:01:04.720 --> 00:01:10.720]  我們是不是很多時候都落在這樣的境況裏面呢
[00:01:10.720 --> 00:01:12.720]  中國人不是有一句說話
[00:01:12.720 --> 00:01:16.720]  哀莫大於心死的
[00:01:16.720 --> 00:01:18.720]  我們縱然年輕
[00:01:18.720 --> 00:01:22.720]  但好像字句裏面所講的
[00:01:22.720 --> 00:01:28.720]  我們沒有夢想也沒有理想
[00:01:28.720 --> 00:01:32.720]  沒有不顧一切的堅持
[00:01:32.720 --> 00:01:34.720]  你問問你自己
[00:01:34.720 --> 00:01:38.720]  今天在你的生活在你的日常生命之中
[00:01:38.720 --> 00:01:42.720]  有沒有一些東西是你很堅持的呢
[00:01:42.720 --> 00:01:44.720]  或者會有的
[00:01:44.720 --> 00:01:46.720]  你看一看東張西望就知道了
[00:01:46.720 --> 00:01:52.720]  有些人上車就是要人讓座的那些
[00:01:52.720 --> 00:01:54.720]  他很堅持的就是叫你讓座的
[00:01:54.720 --> 00:01:58.720]  我們不知道為了什麼理由
[00:01:58.720 --> 00:02:04.720]  沒有值得為之生為之死的生命祭壇
[00:02:04.720 --> 00:02:06.720]  沒有失望沒有希望
[00:02:06.720 --> 00:02:10.720]  老是一種很可怕的沒有反應
[00:02:10.720 --> 00:02:12.720]  什麼都沒有反應
[00:02:12.720 --> 00:02:16.720]  一種將一切視為理所當然的默默接受
[00:02:16.720 --> 00:02:20.720]  煮到來就吃了
[00:02:20.720 --> 00:02:26.720]  這段說話和我們今天所讀的經文有什麼關係呢
[00:02:26.720 --> 00:02:30.720]  在馬拉夫音第二章裏說到
[00:02:30.720 --> 00:02:34.720]  有幾個有學問的人
[00:02:34.720 --> 00:02:36.720]  我稱呼他們為智者
[00:02:36.720 --> 00:02:44.720]  我們今天的經文就稱呼他們是在東方的幾個博學之士
[00:02:44.720 --> 00:02:48.720]  經文裏面留下了很多想像空間
[00:02:48.720 --> 00:02:50.720]  特別是我們讀福音書的時候
[00:02:50.720 --> 00:02:56.720]  作者很多時候留下了一些思維的空間給我們
[00:02:56.720 --> 00:02:58.720]  要我們去想像
[00:02:58.720 --> 00:03:00.720]  有些人說讀聖經真的很悶的
[00:03:00.720 --> 00:03:06.720]  當你留心聖經裏面所寫的東西
[00:03:06.720 --> 00:03:10.720]  將你自己投放在聖經裏面的場景裏面
[00:03:10.720 --> 00:03:14.720]  你會發覺到聖經經常和我們說的東西是我們出其不意
[00:03:14.720 --> 00:03:16.720]  很多時候我們都忘記了
[00:03:16.720 --> 00:03:22.720]  在這段聖經裏面我們從小就想豬日學日開始
[00:03:22.720 --> 00:03:24.720]  我們就說東方有多少個博士
